        i,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +3.847779873751e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 2.00e+00,        +1.294895607160e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 3.00e+00,        +1.256238850933e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 4.00e+00,        +8.494104662222e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 5.00e+00,        +8.950775653822e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 6.00e+00,        +2.763039517660e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 7.00e+00,        +2.464273082984e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 8.00e+00,        +1.619507317494e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 9.00e+00,        +1.733540038646e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 1.00e+01,        +8.603182245984e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 1.10e+01,        +7.818571023272e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 1.20e+01,        +4.898224444086e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 1.30e+01,        +2.503604217995e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 1.40e+01,        +1.689863358903e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 1.50e+01,        +5.289649066973e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 1.60e+01,        +4.208175867210e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 1.70e+01,        +8.545875256723e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 1.80e+01,        +1.418531149074e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 1.90e+01,        +1.340045739274e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
