        i,              Φ_elec[1] (C),              Φ_elec[2] (C),              Φ_elec[3] (C),              Φ_elec[4] (C),              Φ_elec[5] (C),              Φ_elec[6] (C),              Φ_elec[7] (C),              Φ_elec[8] (C),              Φ_elec[9] (C),             Φ_elec[10] (C),             Φ_elec[11] (C),             Φ_elec[12] (C),             Φ_elec[13] (C),             Φ_elec[14] (C),             Φ_elec[15] (C),             Φ_elec[16] (C),             Φ_elec[17] (C),             Φ_elec[18] (C),             Φ_elec[19] (C)
 1.00e+00,        +1.246882374830e-10,        -2.551179696673e-13,        -2.894417858449e-13,        -1.761900068789e-12,        -3.308159217791e-14,        -2.416855210752e-14,        -8.367380990482e-14,        -9.863215374419e-14,        -3.503629263073e-14,        -6.783103857584e-14,        -6.245359245110e-14,        -6.288017950242e-14,        -1.732411958367e-13,        -1.206400502545e-13,        -5.353450261556e-14,        -5.597375238859e-14,        -1.801084497317e-12,        -2.635728592218e-13,        -2.889584053923e-13
 2.00e+00,        -3.682785926401e-13,        +2.866820583182e-13,        -4.358951209419e-19,        -1.140935513626e-14,        -7.765464583651e-23,        -9.489808048981e-23,        -2.486964271910e-22,        -3.683883712688e-22,        -3.176770333284e-23,        -5.300090229901e-23,        -2.690407767310e-26,        -3.157950778996e-26,        -8.220668020183e-26,        -5.077717155528e-26,        -6.235227736147e-27,        -5.283334544741e-27,        -7.478570023975e-29,        -2.198008814121e-29,        -3.433779879612e-30
 3.00e+00,        -4.036728926538e-13,        -4.247110795403e-19,        +3.098445239072e-13,        -1.651565749498e-17,        -1.600983070142e-21,        -1.147931498655e-21,        -2.950321381447e-21,        -4.290808112246e-21,        -5.206941377428e-22,        -4.220403861281e-22,        -2.089585806656e-25,        -1.766300521627e-25,        -5.337252460830e-25,        -3.785687491997e-25,        -3.992040275116e-26,        -2.784590444665e-26,        -3.499724923367e-29,        -4.131822663685e-30,        -6.453015932463e-30
 4.00e+00,        -2.505617509994e-12,        -1.169262509185e-14,        -1.868788153231e-17,        +1.800777421841e-12,        -1.328135839593e-20,        -1.345120303353e-20,        -3.139679595816e-20,        -4.573351324463e-20,        -4.593904326261e-21,        -5.602954467534e-21,        -2.432777425564e-24,        -2.314275587574e-24,        -6.769067423004e-24,        -6.024567464937e-24,        -4.965591206259e-25,        -4.377669096278e-25,        +3.319658136231e-28,        +4.919488867395e-29,        +1.691955974082e-29
 5.00e+00,        -6.203655885432e-14,        -1.807523208584e-22,        -2.930860152998e-21,        -2.198979905293e-20,        +1.027937544711e-13,        -1.100805785344e-15,        -2.647816882290e-14,        -1.657228456561e-14,        -1.298585746367e-15,        -3.660800907367e-16,        -1.415286780833e-19,        -1.125292031668e-19,        -3.551633889017e-19,        -2.922457990624e-19,        -2.991954133991e-20,        -1.991793781727e-20,        -7.790706812150e-26,        +1.568940844296e-27,        +6.199383540237e-28
 6.00e+00,        -2.877096570278e-14,        -2.780866227869e-22,        -2.791233932133e-21,        -2.895383185527e-20,        -1.445782205659e-15,        +7.479398638848e-14,        -3.356726523674e-14,        -1.922559086445e-14,        -3.399660776513e-16,        -8.432929419553e-16,        -1.098870236862e-19,        -9.841610879225e-20,        -2.907202761789e-19,        -2.398925464782e-19,        -2.259854296992e-20,        -1.737761879140e-20,        -9.186927660044e-26,        -2.794028232962e-27,        -7.988847789134e-27
 7.00e+00,        -9.082347947890e-14,        -4.560196615869e-22,        -5.488336580153e-21,        -4.887458308767e-20,        -4.162136593001e-14,        -3.066680882152e-14,        +3.938234348924e-13,        -2.817240248780e-13,        -3.644499163669e-14,        -4.406569353830e-14,        -1.138928461014e-18,        -9.621997698612e-19,        -2.928483631432e-18,        -2.412647485041e-18,        -2.352758425000e-19,        -1.685777206101e-19,        -8.137615929298e-25,        -3.986395813302e-27,        -5.562954803700e-26
 8.00e+00,        -5.753462215418e-14,        -3.323614579907e-22,        -3.936669356912e-21,        -3.558357488517e-20,        -1.108222495543e-14,        -8.921726993423e-15,        -1.302651524649e-13,        +5.227104198048e-13,        -1.026644046463e-14,        -1.243061976382e-14,        -7.927454397572e-19,        -6.725167761904e-19,        -2.042388622585e-18,        -1.682825177292e-18,        -1.637040403307e-19,        -1.178761125791e-19,        -6.096664137062e-25,        -1.313814682336e-26,        -6.078575541212e-26
 9.00e+00,        -3.788129273768e-14,        -5.048713111173e-23,        -7.814326240406e-22,        -5.699135587810e-21,        -1.160393613401e-15,        -2.263480982608e-16,        -3.638234195619e-14,        -1.709092568295e-14,        +1.008509437490e-13,        -1.316198261632e-15,        -5.363764548514e-19,        -4.290257762124e-19,        -1.346010796025e-18,        -1.107435821317e-18,        -1.119444277427e-19,        -7.517170095148e-20,        -3.695786639324e-25,        -7.198017744739e-27,        -2.781520606399e-26
 1.00e+01,        -7.252454120815e-14,        -6.708703964923e-23,        -5.431486250774e-22,        -6.051645972507e-21,        -2.795678880629e-16,        -4.568842870744e-16,        -3.605681729723e-14,        -1.673375612013e-14,        -1.208298674334e-15,        +1.432326734367e-13,        -5.037165967010e-19,        -4.508650243182e-19,        -1.328585204710e-18,        -1.095919497188e-18,        -1.024078669691e-19,        -7.865536571167e-20,        -4.094765097197e-25,        -9.841068084555e-27,        -3.236310569381e-26
