        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F),            C⁻¹[i][3] (1/F),            C⁻¹[i][4] (1/F),            C⁻¹[i][5] (1/F),            C⁻¹[i][6] (1/F),            C⁻¹[i][7] (1/F),            C⁻¹[i][8] (1/F),            C⁻¹[i][9] (1/F),           C⁻¹[i][10] (1/F),           C⁻¹[i][11] (1/F),           C⁻¹[i][12] (1/F),           C⁻¹[i][13] (1/F),           C⁻¹[i][14] (1/F),           C⁻¹[i][15] (1/F),           C⁻¹[i][16] (1/F),           C⁻¹[i][17] (1/F),           C⁻¹[i][18] (1/F),           C⁻¹[i][19] (1/F)
 1.00e+00,        +6.683984723726e+10,        +6.344365943396e+10,        +6.349899884810e+10,        +6.599086590100e+10,        +6.584004812564e+10,        +6.654030445041e+10,        +5.305165058144e+10,        +5.018444296497e+10,        +6.634356344339e+10,        +6.592723562684e+10,        +6.578707220205e+10,        +6.527032311858e+10,        +4.831231702367e+10,        +4.538692034808e+10,        +6.526864640967e+10,        +6.499799186920e+10,        +6.595908168956e+10,        +6.366231430521e+10,        +6.369962611420e+10
 2.00e+00,        +6.344365943396e+10,        +1.467152230157e+13,        +6.030540777220e+10,        +4.418453673168e+11,        +6.249466724770e+10,        +6.315933919259e+10,        +5.035611940465e+10,        +4.763460897898e+10,        +6.297259377808e+10,        +6.257742163580e+10,        +6.244437676794e+10,        +6.195388413242e+10,        +4.585752833138e+10,        +4.308077347638e+10,        +6.195229261773e+10,        +6.169539025794e+10,        +6.260764631066e+10,        +6.042757957271e+10,        +6.046299553789e+10
 3.00e+00,        +6.349899884810e+10,        +6.030540777220e+10,        +1.505469954332e+13,        +6.279259149226e+10,        +6.254919330826e+10,        +6.321443448033e+10,        +5.040016673263e+10,        +4.767630318675e+10,        +6.302752555972e+10,        +6.263201058937e+10,        +6.249884454798e+10,        +6.200792407533e+10,        +4.589752806426e+10,        +4.311835115616e+10,        +6.200633117179e+10,        +6.174920472617e+10,        +6.266225650336e+10,        +6.048028817876e+10,        +6.051573503589e+10
 4.00e+00,        +6.599086590100e+10,        +4.418453673168e+11,        +6.279259149226e+10,        +2.292592978539e+12,        +6.500379485814e+10,        +6.569513912509e+10,        +5.237810410645e+10,        +4.954736865804e+10,        +6.550089275949e+10,        +6.508986043515e+10,        +6.495146292747e+10,        +6.444127745057e+10,        +4.769866731260e+10,        +4.481042822437e+10,        +6.443962203590e+10,        +6.417240527524e+10,        +6.512128759477e+10,        +6.285369311736e+10,        +6.289053100203e+10
 5.00e+00,        +6.584004812564e+10,        +6.249466724770e+10,        +6.254919330826e+10,        +6.500379485814e+10,        +2.176711416129e+12,        +6.851112806129e+10,        +3.163136697405e+11,        +2.681051953139e+11,        +6.961812043968e+10,        +7.237946404515e+10,        +6.480341588684e+10,        +6.429459064083e+10,        +4.759427981259e+10,        +4.471315656330e+10,        +6.429262527773e+10,        +6.402604550843e+10,        +6.497245718362e+10,        +6.271004514376e+10,        +6.274679883792e+10
 6.00e+00,        +6.654030445041e+10,        +6.315933919259e+10,        +6.321443448033e+10,        +6.569513912509e+10,        +6.851112806129e+10,        +7.486824663118e+11,        +1.344031749514e+11,        +1.181156893838e+11,        +6.720676612925e+10,        +6.808091375664e+10,        +6.549236181608e+10,        +6.497798988853e+10,        +4.809716187139e+10,        +4.518502680149e+10,        +6.497622498396e+10,        +6.470679252798e+10,        +6.566348605375e+10,        +6.337701163277e+10,        +6.341415622889e+10
 7.00e+00,        +5.305165058144e+10,        +5.035611940465e+10,        +5.040016673263e+10,        +5.237810410645e+10,        +3.163136697405e+11,        +1.344031749514e+11,        +9.948232808237e+12,        +5.814695630240e+12,        +1.793910208596e+11,        +3.033885354367e+11,        +5.222423925158e+10,        +5.181831033776e+10,        +3.844257958674e+10,        +3.613140799220e+10,        +5.181028197374e+10,        +5.159606423626e+10,        +5.235257558947e+10,        +5.052960162918e+10,        +5.055921649525e+10
 8.00e+00,        +5.018444296497e+10,        +4.763460897898e+10,        +4.767630318675e+10,        +4.954736865804e+10,        +2.681051953139e+11,        +1.181156893838e+11,        +5.814695630240e+12,        +1.504080306045e+13,        +1.543141599728e+11,        +2.641628455606e+11,        +4.940350265886e+10,        +4.902043037791e+10,        +3.638563225946e+10,        +3.420167887661e+10,        +4.901138917477e+10,        +4.880888253512e+10,        +4.952314989288e+10,        +4.779869963012e+10,        +4.782671394358e+10
 9.00e+00,        +6.634356344339e+10,        +6.297259377808e+10,        +6.302752555972e+10,        +6.550089275949e+10,        +6.961812043968e+10,        +6.720676612925e+10,        +1.793910208596e+11,        +1.543141599728e+11,        +1.154145876621e+12,        +6.956530066450e+10,        +6.529901686714e+10,        +6.478629985374e+10,        +4.795838733462e+10,        +4.505524398226e+10,        +6.478431494066e+10,        +6.451569541699e+10,        +6.546933755287e+10,        +6.318962359495e+10,        +6.322665836497e+10
 1.00e+01,        +6.592723562684e+10,        +6.257742163580e+10,        +6.263201058937e+10,        +6.508986043515e+10,        +7.237946404515e+10,        +6.808091375664e+10,        +3.033885354367e+11,        +2.641628455606e+11,        +6.956530066450e+10,        +2.261273942476e+12,        +6.488963579700e+10,        +6.438038942097e+10,        +4.766222738516e+10,        +4.477784033926e+10,        +6.437804746084e+10,        +6.411115753438e+10,        +6.505849579343e+10,        +6.279308779483e+10,        +6.282989015945e+10
 1.10e+01,        +6.578707220205e+10,        +6.244437676794e+10,        +6.249884454798e+10,        +6.495146292747e+10,        +6.480341588684e+10,        +6.549236181608e+10,        +5.222423925158e+10,        +4.940350265886e+10,        +6.529901686714e+10,        +6.488963579700e+10,        +2.479246777398e+12,        +7.454534656499e+10,        +2.676946265875e+11,        +2.239047047055e+11,        +7.359862324206e+10,        +7.408383353868e+10,        +6.492018243325e+10,        +6.265958856970e+10,        +6.269631356288e+10
 1.20e+01,        +6.527032311858e+10,        +6.195388413242e+10,        +6.200792407533e+10,        +6.444127745057e+10,        +6.429459064083e+10,        +6.497798988853e+10,        +5.181831033776e+10,        +4.902043037791e+10,        +6.478629985374e+10,        +6.438038942097e+10,        +7.454534656499e+10,        +3.922083958040e+12,        +3.892185975692e+11,        +3.219938894361e+11,        +7.657401580682e+10,        +8.013393755511e+10,        +6.441024474072e+10,        +6.216740610142e+10,        +6.220384285353e+10
 1.30e+01,        +4.831231702367e+10,        +4.585752833138e+10,        +4.589752806426e+10,        +4.769866731260e+10,        +4.759427981259e+10,        +4.809716187139e+10,        +3.844257958674e+10,        +3.638563225946e+10,        +4.795838733462e+10,        +4.766222738516e+10,        +2.676946265875e+11,        +3.892185975692e+11,        +9.692843806635e+12,        +5.469279828105e+12,        +3.744964691049e+11,        +4.480781006392e+11,        +4.767577946556e+10,        +4.601559870083e+10,        +4.604258970002e+10
 1.40e+01,        +4.538692034808e+10,        +4.308077347638e+10,        +4.311835115616e+10,        +4.481042822437e+10,        +4.471315656330e+10,        +4.518502680149e+10,        +3.613140799220e+10,        +3.420167887661e+10,        +4.505524398226e+10,        +4.477784033926e+10,        +2.239047047055e+11,        +3.219938894361e+11,        +5.469279828105e+12,        +1.424505486057e+13,        +3.108811460251e+11,        +3.695116887475e+11,        +4.478894082370e+10,        +4.322927665895e+10,        +4.325463681524e+10
 1.50e+01,        +6.526864640967e+10,        +6.195229261773e+10,        +6.200633117179e+10,        +6.443962203590e+10,        +6.429262527773e+10,        +6.497622498396e+10,        +5.181028197374e+10,        +4.901138917477e+10,        +6.478431494066e+10,        +6.437804746084e+10,        +7.359862324206e+10,        +7.657401580682e+10,        +3.744964691049e+11,        +3.108811460251e+11,        +3.636452001082e+12,        +8.050125857602e+10,        +6.440859358219e+10,        +6.216581005014e+10,        +6.220224766151e+10
 1.60e+01,        +6.499799186920e+10,        +6.169539025794e+10,        +6.174920472617e+10,        +6.417240527524e+10,        +6.402604550843e+10,        +6.470679252798e+10,        +5.159606423626e+10,        +4.880888253512e+10,        +6.451569541699e+10,        +6.411115753438e+10,        +7.408383353868e+10,        +8.013393755511e+10,        +4.480781006392e+11,        +3.695116887475e+11,        +8.050125857602e+10,        +4.556928023623e+12,        +6.414151104568e+10,        +6.190802396848e+10,        +6.194431037757e+10
 1.70e+01,        +6.595908168956e+10,        +6.260764631066e+10,        +6.266225650336e+10,        +6.512128759477e+10,        +6.497245718362e+10,        +6.566348605375e+10,        +5.235257558947e+10,        +4.952314989288e+10,        +6.546933755287e+10,        +6.505849579343e+10,        +6.492018243325e+10,        +6.441024474072e+10,        +4.767577946556e+10,        +4.478894082370e+10,        +6.440859358219e+10,        +6.414151104568e+10,        +2.289778768822e+12,        +5.873012533508e+11,        +6.295437917632e+10
 1.80e+01,        +6.366231430521e+10,        +6.042757957271e+10,        +6.048028817876e+10,        +6.285369311736e+10,        +6.271004514376e+10,        +6.337701163277e+10,        +5.052960162918e+10,        +4.779869963012e+10,        +6.318962359495e+10,        +6.279308779483e+10,        +6.265958856970e+10,        +6.216740610142e+10,        +4.601559870083e+10,        +4.322927665895e+10,        +6.216581005014e+10,        +6.190802396848e+10,        +5.873012533508e+11,        +1.346317083184e+13,        +6.070713456827e+10
 1.90e+01,        +6.369962611420e+10,        +6.046299553789e+10,        +6.051573503589e+10,        +6.289053100203e+10,        +6.274679883792e+10,        +6.341415622889e+10,        +5.055921649525e+10,        +4.782671394358e+10,        +6.322665836497e+10,        +6.282989015945e+10,        +6.269631356288e+10,        +6.220384285353e+10,        +4.604258970002e+10,        +4.325463681524e+10,        +6.220224766151e+10,        +6.194431037757e+10,        +6.295437917632e+10,        +6.070713456827e+10,        +1.411732838158e+13
