        i,              C_m[i][1] (F),              C_m[i][2] (F),              C_m[i][3] (F),              C_m[i][4] (F),              C_m[i][5] (F),              C_m[i][6] (F),              C_m[i][7] (F),              C_m[i][8] (F),              C_m[i][9] (F),             C_m[i][10] (F),             C_m[i][11] (F),             C_m[i][12] (F),             C_m[i][13] (F),             C_m[i][14] (F),             C_m[i][15] (F),             C_m[i][16] (F),             C_m[i][17] (F),             C_m[i][18] (F),             C_m[i][19] (F)
 1.00e+00,        +1.486571859121e-11,        +5.369633813645e-14,        +6.335521712324e-14,        +4.340990933118e-13,        +4.564080423114e-13,        +1.449237438610e-12,        +2.475223590172e-14,        +1.469656127294e-14,        +9.027481319327e-13,        +4.399802791600e-13,        +4.007189243961e-13,        +2.463826737822e-13,        +2.984438499480e-14,        +1.669397375387e-14,        +2.664047545992e-13,        +2.097029934767e-13,        +4.307954438735e-13,        +5.420731313308e-14,        +6.779553899590e-14
 2.00e+00,        +5.369633813645e-14,        +3.344279818438e-15,        +7.242530676698e-20,        +1.170321244869e-14,        +2.990732178894e-23,        +4.625638008020e-23,        +7.534632485399e-23,        +5.535604166003e-23,        +8.342108148736e-24,        +1.119480788979e-23,        +4.116317962763e-27,        +5.071392756810e-27,        +1.449205269214e-26,        +9.587088988058e-27,        +1.015264066041e-27,        +1.040387339460e-27,        +1.396279089185e-32,        +6.725202927821e-34,        +5.064219422387e-34
 3.00e+00,        +6.335521712324e-14,        +7.242530676698e-20,        +3.333400537265e-15,        +2.985940127107e-18,        +4.757640991245e-22,        +4.530806977330e-22,        +8.908307936475e-22,        +6.392082801729e-22,        +1.269273701388e-22,        +8.810600591268e-23,        +2.897967624827e-26,        +2.712928242937e-26,        +8.792573138689e-26,        +5.777354905097e-26,        +7.249674261311e-27,        +5.131176449204e-27,        +3.178839918789e-32,        +5.335380445194e-34,        +2.276010681394e-33
 4.00e+00,        +4.340990933118e-13,        +1.170321244869e-14,        +2.985940127107e-18,        +5.132890091106e-15,        +4.232627940435e-21,        +5.588096481680e-21,        +9.419569073132e-21,        +6.861258558461e-21,        +1.097839103444e-21,        +1.169848759908e-21,        +3.463878593946e-25,        +3.731340740705e-25,        +1.125951133769e-24,        +7.421142307245e-25,        +8.467264167759e-26,        +7.200156954525e-26,        +5.637729219288e-31,        +1.417477819132e-32,        +3.093683266413e-32
 5.00e+00,        +4.564080423114e-13,        +2.990732178894e-23,        +4.757640991245e-22,        +4.232627940435e-21,        +4.150862251232e-15,        +4.716512576002e-16,        +1.111658512618e-14,        +2.641449644622e-15,        +3.140844751896e-16,        +7.930136336197e-17,        +2.087707631828e-20,        +1.844179536687e-20,        +6.144205599236e-20,        +4.031250612927e-20,        +5.173945966245e-21,        +3.417523766458e-21,        +1.872832910603e-26,        +2.471908616586e-28,        +1.492706586570e-27
 6.00e+00,        +1.449237438610e-12,        +4.625638008020e-23,        +4.530806977330e-22,        +5.588096481680e-21,        +4.716512576002e-16,        +3.740939277383e-15,        +1.055227819435e-14,        +2.591974973234e-15,        +8.397491893793e-17,        +1.743834118571e-16,        +1.621305619063e-20,        +1.613212330975e-20,        +5.031622392847e-20,        +3.308488276143e-20,        +3.906666142345e-21,        +2.980803937742e-21,        +1.732964622980e-26,        +2.608659853801e-28,        +1.214821258942e-27
 7.00e+00,        +2.475223590172e-14,        +7.534632485399e-23,        +8.908307936475e-22,        +9.419569073132e-21,        +1.111658512618e-14,        +1.055227819435e-14,        +1.411821722865e-14,        +4.993046253211e-14,        +1.034733903908e-14,        +1.000588923590e-14,        +1.680232372154e-19,        +1.577023043479e-19,        +5.067782340756e-19,        +3.327855930793e-19,        +4.068289447167e-20,        +2.891956531635e-20,        +1.595110537494e-25,        +2.190095903942e-27,        +1.200923021789e-26
 8.00e+00,        +1.469656127294e-14,        +5.535604166003e-23,        +6.392082801729e-22,        +6.861258558461e-21,        +2.641449644622e-15,        +2.591974973234e-15,        +4.993046253211e-14,        +1.101822256933e-14,        +2.418102867503e-15,        +2.679368438634e-15,        +1.169540132353e-19,        +1.102251310336e-19,        +3.534473719359e-19,        +2.321233160270e-19,        +2.830575224766e-20,        +2.022180525712e-20,        +1.118764706165e-25,        +1.544884546572e-27,        +8.382897236450e-27
 9.00e+00,        +9.027481319327e-13,        +8.342108148736e-24,        +1.269273701388e-22,        +1.097839103444e-21,        +3.140844751896e-16,        +8.397491893793e-17,        +1.034733903908e-14,        +2.418102867503e-15,        +4.086771541980e-15,        +3.092561179409e-16,        +7.912562693735e-20,        +7.031052177672e-20,        +2.328907367702e-19,        +1.527740921589e-19,        +1.935877978593e-20,        +1.289785265072e-20,        +6.916176189838e-26,        +8.908794898510e-28,        +5.514433241554e-27
 1.00e+01,        +4.399802791600e-13,        +1.119480788979e-23,        +8.810600591268e-23,        +1.169848759908e-21,        +7.930136336197e-17,        +1.743834118571e-16,        +1.000588923590e-14,        +2.679368438634e-15,        +3.092561179409e-16,        +3.499922259189e-15,        +7.431981379771e-20,        +7.389880511845e-20,        +2.299664310229e-19,        +1.511544902046e-19,        +1.770293210091e-20,        +1.349187778544e-20,        +7.564210019846e-26,        +1.083836072099e-27,        +5.398492974157e-27
 1.10e+01,        +4.007189243961e-13,        +4.116317962763e-27,        +2.897967624827e-26,        +3.463878593946e-25,        +2.087707631828e-20,        +1.621305619063e-20,        +1.680232372154e-19,        +1.169540132353e-19,        +7.912562693735e-20,        +7.431981379771e-20,        +3.569925810727e-15,        +2.249319038727e-16,        +8.288828948865e-15,        +2.054990993203e-15,        +1.734717080244e-16,        +4.367782735975e-17,        +1.671869110044e-22,        +1.502505229827e-24,        +1.701533420734e-23
 1.20e+01,        +2.463826737822e-13,        +5.071392756810e-27,        +2.712928242937e-26,        +3.731340740705e-25,        +1.844179536687e-20,        +1.613212330975e-20,        +1.577023043479e-19,        +1.102251310336e-19,        +7.031052177672e-20,        +7.389880511845e-20,        +2.249319038727e-16,        +3.222041006989e-15,        +8.082716232668e-15,        +1.982509280198e-15,        +4.492413683166e-17,        +9.853086843005e-17,        +2.031795041785e-22,        +2.297035069013e-24,        +1.407456792509e-23
 1.30e+01,        +2.984438499480e-14,        +1.449205269214e-26,        +8.792573138689e-26,        +1.125951133769e-24,        +6.144205599236e-20,        +5.031622392847e-20,        +5.067782340756e-19,        +3.534473719359e-19,        +2.328907367702e-19,        +2.299664310229e-19,        +8.288828948865e-15,        +8.082716232668e-15,        +1.997967567888e-14,        +5.022925924612e-14,        +8.339753211717e-15,        +8.146222267842e-15,        +2.866397960474e-21,        +2.677519128958e-23,        +2.481469148462e-22
 1.40e+01,        +1.669397375387e-14,        +9.587088988058e-27,        +5.777354905097e-26,        +7.421142307245e-25,        +4.031250612927e-20,        +3.308488276143e-20,        +3.327855930793e-19,        +2.321233160270e-19,        +1.527740921589e-19,        +1.511544902046e-19,        +2.054990993203e-15,        +1.982509280198e-15,        +5.022925924612e-14,        +1.468820464127e-14,        +2.069603178443e-15,        +1.992613634501e-15,        +1.871565828108e-21,        +1.761624918743e-23,        +1.606245297100e-22
 1.50e+01,        +2.664047545992e-13,        +1.015264066041e-27,        +7.249674261311e-27,        +8.467264167759e-26,        +5.173945966245e-21,        +3.906666142345e-21,        +4.068289447167e-20,        +2.830575224766e-20,        +1.935877978593e-20,        +1.770293210091e-20,        +1.734717080244e-16,        +4.492413683166e-17,        +8.339753211717e-15,        +2.069603178443e-15,        +3.616740105045e-15,        +1.695083275095e-16,        +6.728313242807e-22,        +5.459365480826e-24,        +7.154090348220e-23
 1.60e+01,        +2.097029934767e-13,        +1.040387339460e-27,        +5.131176449204e-27,        +7.200156954525e-26,        +3.417523766458e-21,        +2.980803937742e-21,        +2.891956531635e-20,        +2.022180525712e-20,        +1.289785265072e-20,        +1.349187778544e-20,        +4.367782735975e-17,        +9.853086843005e-17,        +8.146222267842e-15,        +1.992613634501e-15,        +1.695083275095e-16,        +3.251587370855e-15,        +1.015218641986e-21,        +9.981295900016e-24,        +7.542047186918e-23
