Terminal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,2.042723792998e-11,-5.369633813645e-14,-6.335521712324e-14,-4.340990933118e-13,-4.564080423114e-13,-1.44923743861e-12,-2.4752235901719998e-14,-1.4696561272939998e-14,-9.027481319327e-13,-4.3998027915999997e-13,-4.0071892439609996e-13,-2.463826737822e-13,-2.98443849948e-14,-1.669397375387e-14,-2.6640475459919996e-13,-2.0970299347669998e-13,-4.3079544387349996e-13,-5.4207313133079996e-14,-6.77955389959e-14
2,-5.369633813645e-14,6.874390305531999e-14,-7.242530676698e-20,-1.170321244869e-14,-2.9907321788940004e-23,-4.62563800802e-23,-7.534632485399e-23,-5.535604166003e-23,-8.342108148736e-24,-1.119480788979e-23,-4.116317962763e-27,-5.0713927568100006e-27,-1.449205269214e-26,-9.587088988058e-27,-1.015264066041e-27,-1.04038733946e-27,-1.396279089185e-32,-6.725202927821e-34,-5.064219422387e-34
3,-6.335521712324e-14,-7.242530676698e-20,6.669167870007e-14,-2.985940127107e-18,-4.7576409912450005e-22,-4.53080697733e-22,-8.908307936475e-22,-6.392082801729e-22,-1.269273701388e-22,-8.810600591268001e-23,-2.897967624827e-26,-2.7129282429370003e-26,-8.792573138689e-26,-5.777354905097001e-26,-7.249674261311e-27,-5.131176449204e-27,-3.178839918789e-32,-5.335380445194e-34,-2.2760106813940003e-33
4,-4.340990933118e-13,-1.170321244869e-14,-2.985940127107e-18,4.5093821016369997e-13,-4.2326279404350005e-21,-5.5880964816800006e-21,-9.419569073132e-21,-6.861258558461e-21,-1.0978391034440001e-21,-1.1698487599080001e-21,-3.463878593946e-25,-3.731340740705e-25,-1.125951133769e-24,-7.421142307245001e-25,-8.467264167759e-26,-7.200156954525e-26,-5.637729219288e-31,-1.4174778191319998e-32,-3.093683266413e-32
5,-4.564080423114e-13,-2.9907321788940004e-23,-4.7576409912450005e-22,-4.2326279404350005e-21,4.751821308328e-13,-4.716512576002e-16,-1.111658512618e-14,-2.641449644622e-15,-3.140844751896e-16,-7.930136336197001e-17,-2.0877076318279998e-20,-1.844179536687e-20,-6.144205599236e-20,-4.031250612927e-20,-5.1739459662450005e-21,-3.417523766458e-21,-1.872832910603e-26,-2.471908616586e-28,-1.49270658657e-27
6,-1.44923743861e-12,-4.62563800802e-23,-4.53080697733e-22,-5.5880964816800006e-21,-4.716512576002e-16,1.466852769364e-12,-1.055227819435e-14,-2.591974973234e-15,-8.397491893793e-17,-1.7438341185710002e-16,-1.621305619063e-20,-1.613212330975e-20,-5.0316223928469997e-20,-3.308488276143e-20,-3.906666142345e-21,-2.980803937742e-21,-1.73296462298e-26,-2.608659853801e-28,-1.2148212589420001e-27
7,-2.4752235901719998e-14,-7.534632485399e-23,-8.908307936475e-22,-9.419569073132e-21,-1.111658512618e-14,-1.055227819435e-14,1.308242525357e-13,-4.993046253211e-14,-1.034733903908e-14,-1.00058892359e-14,-1.6802323721540001e-19,-1.577023043479e-19,-5.067782340756e-19,-3.3278559307930003e-19,-4.0682894471669997e-20,-2.8919565316349996e-20,-1.595110537494e-25,-2.190095903942e-27,-1.200923021789e-26
8,-1.4696561272939998e-14,-5.535604166003e-23,-6.392082801729e-22,-6.861258558461e-21,-2.641449644622e-15,-2.591974973234e-15,-4.993046253211e-14,8.597701113171e-14,-2.418102867503e-15,-2.679368438634e-15,-1.169540132353e-19,-1.102251310336e-19,-3.5344737193590003e-19,-2.3212331602700003e-19,-2.830575224766e-20,-2.022180525712e-20,-1.118764706165e-25,-1.544884546572e-27,-8.382897236450001e-27
9,-9.027481319327e-13,-8.342108148736e-24,-1.269273701388e-22,-1.0978391034440001e-21,-3.140844751896e-16,-8.397491893793e-17,-1.034733903908e-14,-2.418102867503e-15,9.203082294841e-13,-3.092561179409e-16,-7.912562693735e-20,-7.031052177672e-20,-2.328907367702e-19,-1.527740921589e-19,-1.935877978593e-20,-1.289785265072e-20,-6.916176189838e-26,-8.90879489851e-28,-5.514433241554001e-27
10,-4.3998027915999997e-13,-1.119480788979e-23,-8.810600591268001e-23,-1.1698487599080001e-21,-7.930136336197001e-17,-1.7438341185710002e-16,-1.00058892359e-14,-2.679368438634e-15,-3.092561179409e-16,4.567289617905e-13,-7.431981379770999e-20,-7.389880511845e-20,-2.299664310229e-19,-1.511544902046e-19,-1.770293210091e-20,-1.349187778544e-20,-7.564210019846e-26,-1.083836072099e-27,-5.398492974157e-27
