cell,layer,datatype,area_mm2,xmin_mm,ymin_mm,xmax_mm,ymax_mm,cx_mm,cy_mm,Qubit,distance_mm
TOP_main_1,1,11,0.009320342539000166,-3.3779779999999997,0.393966,-3.210582,1.222883,-3.2942799999999997,0.8084245,Q1,0.8603202256138408
TOP_main_1,1,11,0.006532835081999908,-2.9042749999999997,0.393966,-2.743559,0.9580489999999999,-2.823917,0.6760075,Q1,0.6985637858816116
ground_main_1,1,0,0.5019885695899997,-3.88964,-0.550202,-1.508405,-0.330802,-2.6990225,-0.44050199999999995,Q1,0.5335067642591329
ground_main_1,1,0,0.07866320219999995,-3.88964,-0.330802,-1.672199,-0.295192,-2.7809195,-0.31299699999999997,Q1,0.3820515508269139
ground_main_1,1,0,0.05606639189000001,-3.88964,-0.295192,-1.689041,-0.269652,-2.7893405,-0.282422,Q1,0.3523345158003259
ground_main_1,1,0,0.04192431862549999,-3.88964,-0.269652,-1.6991209999999999,-0.250483,-2.7943805,-0.2600675,Q1,0.3315335327481973
ground_main_1,1,0,0.19307242206350006,-3.88964,-0.250483,-1.7059799999999998,-0.161495,-2.79781,-0.205989,Q1,0.28863863951487845
ground_main_1,1,0,0.324204993193,-3.933652,-0.161495,-1.731787,-0.011,-2.8327195,-0.0862475,Q1,0.18820573034979562
ground_main_1,1,0,0.607632570451,-5.0,-0.011,-1.725499,0.186599,-3.3627495,0.08779949999999999,Q1,0.3732237290828385
ground_main_1,1,0,0.07551755125400003,-5.0,0.186599,-1.719727,0.209641,-3.3598635,0.19812,Q1,0.4107959019175458
ground_main_1,1,0,0.073348148187,-5.0,0.209641,-1.7126009999999998,0.231979,-3.3563004999999997,0.22081,Q1,0.4191743102818323
ground_main_1,1,0,0.06288423160749995,-5.0,0.231979,-1.7057639999999998,0.251088,-3.352882,0.24153349999999998,Q1,0.42762616564734446
ground_main_1,1,0,0.07595784032400008,-5.0,0.251088,-1.697524,0.274117,-3.348762,0.26260249999999996,Q1,0.43657187913360823
ground_main_1,1,0,0.3789641550074999,-5.0,0.274117,-1.640811,0.387966,-3.3204055,0.3310415,Q1,0.46070398213223646
ground_main_1,1,0,0.006789210567000001,-2.8650439999999997,0.387966,-2.467044,0.410006,-2.666044,0.39898599999999995,Q1,0.5203041784687108
ground_main_1,1,0,0.006789210567000001,-3.265044,0.387966,-2.867044,0.410006,-3.0660439999999998,0.39898599999999995,Q1,0.40441518039262564
ground_main_1,1,0,0.03720300400000001,-5.0,0.387966,-3.267044,0.410006,-4.133522,0.39898599999999995,Q1,1.2016912884264412
TOP_main_1_Cheese_diff,1,101,0.0006249999999999984,-3.0124999999999997,0.38749999999999996,-2.9875,0.4125,-3.0,0.39999999999999997,Q1,0.39999999999999997
TOP_main_1_Cheese_diff,1,101,0.0006249999999999984,-2.6125,0.38749999999999996,-2.5875,0.4125,-2.5999999999999996,0.39999999999999997,Q1,0.5656854249492382
TOP_main_1_Cheese_diff,1,101,0.0006249999999999984,-3.1125,0.38749999999999996,-3.0875,0.4125,-3.0999999999999996,0.39999999999999997,Q1,0.41231056256176596
TOP_main_1_Cheese_diff,1,101,0.0006249999999999984,-2.7125,0.38749999999999996,-2.6875,0.4125,-2.7,0.39999999999999997,Q1,0.4999999999999999
TOP_main_1_Cheese_diff,1,101,0.0006249999999999984,-3.4124999999999996,0.38749999999999996,-3.3874999999999997,0.4125,-3.3999999999999995,0.39999999999999997,Q1,0.5656854249492377
TOP_main_1_Cheese_diff,1,101,1.1650000000000715e-05,-2.9125,0.38749999999999996,-2.8874999999999997,0.387966,-2.9,0.387733,Q1,0.4004208776887139
TOP_main_1_Cheese_diff,1,101,1.1650000000000507e-05,-2.8125,0.38749999999999996,-2.7875,0.387966,-2.8,0.387733,Q1,0.436276150263798
TOP_main_1_Cheese_diff,1,101,1.1650000000000715e-05,-3.3125,0.38749999999999996,-3.2874999999999996,0.387966,-3.3,0.387733,Q1,0.49024165397179365
TOP_main_1_Cheese_diff,1,101,1.1650000000000507e-05,-3.2125,0.38749999999999996,-3.1875,0.387966,-3.2,0.387733,Q1,0.436276150263798
TOP_main_1_Cheese_diff,1,101,0.0006249999999999984,-3.4124999999999996,0.2875,-3.3874999999999997,0.3125,-3.3999999999999995,0.3,Q1,0.49999999999999956
TOP_main_1_Cheese_diff,1,101,0.0006250000000000094,-3.3125,0.2875,-3.2874999999999996,0.3125,-3.3,0.3,Q1,0.4242640687119284
TOP_main_1_Cheese_diff,1,101,0.0006250000000000094,-2.9125,0.2875,-2.8874999999999997,0.3125,-2.9,0.3,Q1,0.31622776601683794
TOP_main_1_Cheese_diff,1,101,0.0006249999999999984,-2.6125,0.2875,-2.5875,0.3125,-2.5999999999999996,0.3,Q1,0.5000000000000002
TOP_main_1_Cheese_diff,1,101,0.0006249999999999984,-3.1125,0.2875,-3.0875,0.3125,-3.0999999999999996,0.3,Q1,0.31622776601683783
TOP_main_1_Cheese_diff,1,101,0.0006249999999999984,-2.8125,0.2875,-2.7875,0.3125,-2.8,0.3,Q1,0.360555127546399
TOP_main_1_Cheese_diff,1,101,0.0006249999999999984,-2.7125,0.2875,-2.6875,0.3125,-2.7,0.3,Q1,0.4242640687119284
TOP_main_1_Cheese_diff,1,101,0.0006249999999999984,-3.2125,0.2875,-3.1875,0.3125,-3.2,0.3,Q1,0.360555127546399
TOP_main_1_Cheese_diff,1,101,0.0006249999999999984,-3.0124999999999997,0.2875,-2.9875,0.3125,-3.0,0.3,Q1,0.3
TOP_main_1_Cheese_diff,1,101,0.0006249999999999976,-3.1125,0.1875,-3.0875,0.2125,-3.0999999999999996,0.2,Q1,0.22360679774997883
TOP_main_1_Cheese_diff,1,101,0.0006249999999999976,-2.8125,0.1875,-2.7875,0.2125,-2.8,0.2,Q1,0.2828427124746191
TOP_main_1_Cheese_diff,1,101,0.0006249999999999976,-2.7125,0.1875,-2.6875,0.2125,-2.7,0.2,Q1,0.3605551275463988
TOP_main_1_Cheese_diff,1,101,0.0006249999999999976,-3.2125,0.1875,-3.1875,0.2125,-3.2,0.2,Q1,0.2828427124746191
