JC_index,JC_frequency_GHz
0,5.570851514297
1,5.666259124642
2,5.681751713662
3,5.821776500398
4,5.876664594072
5,5.981589543296
6,6.832612991191
7,6.890922915515
8,6.987460169349
9,7.761073653743
10,8.091680255463
11,8.723732611927
12,8.791548571182
13,9.193955950172
14,9.277046159931
15,9.675939233058
16,9.711981681561
17,9.908285613387
18,9.97584816551
19,10.4941939082
20,10.56194950597
21,10.61830919196
22,10.68604520495
23,10.76518692908
24,10.76986161536
25,10.77239100396
26,10.79959315776
27,10.80061726084
28,10.8011342194
29,10.80613061487
30,10.80876323758
31,10.82350221656
32,10.83205792037
