mode,frequency_GHz,imag_frequency_GHz,Q_numeric,dominant_qubit,dominant_qubit_participation,total_JJ_participation,mode_class
1.0,5.570851514297,-1.338627746443e-10,20808068296.44,Q4,9.6646565140582e-07,9.699928149696895e-07,electromagnetic
2.0,5.666259124642,-4.351727283944e-10,6510356411.29,Q3,1.4203363117313998e-08,2.3428044554122198e-08,electromagnetic
3.0,5.681751713662,8.430018940718e-10,3369951926.334,Q3,8.367092755997e-08,8.758606965958824e-08,electromagnetic
4.0,5.821776500398,1.849373546022e-09,1573986097.325,Q4,0.999774783867459,0.999774783868285,qubit-like
5.0,5.876664594072,5.582178029675e-10,5263773891.509,Q4,3.4198841853369485e-07,4.69472308013357e-07,electromagnetic
6.0,5.981589543296,-6.852634809429e-09,436444499.7904,Q4,1.05577472345168e-05,1.0562648721269253e-05,electromagnetic
7.0,6.652832452088,1.861777337291e-08,178668853.6495,Q2,0.999644479311083,0.9996444793247841,qubit-like
8.0,6.807000960044,1.829077516728e-08,186077432.4158,Q4,0.999755237132912,0.9997552373510928,qubit-like
9.0,6.832612991191,-1.696500705063e-09,2013737150.477,Q1,0.999839704714449,0.9998397047744136,qubit-like
10.0,6.890922915515,-9.118469576238e-09,377855234.2529,Q2,0.99977956318654,0.9997795634675468,qubit-like
11.0,6.987460169349,-4.224623515187e-09,826992055.5322,Q3,0.9998410915782799,0.9998410916426227,qubit-like
12.0,7.018249314955,1.68956838248e-08,207693556.1688,Q1,0.9998304202939939,0.9998304206510797,qubit-like
13.0,7.168394141588,2.496882387806e-09,1435468922.484,Q3,0.99978796132278,0.9997879613382092,qubit-like
14.0,7.761073653743,-1.497059903892e-09,2592105243.606,Q2,3.7380149895040004e-07,3.7465712726486953e-07,electromagnetic
15.0,8.091680255463,7.363373268573e-12,549454710519.6,Q1,2.643714420313e-07,2.743318836855571e-07,electromagnetic
16.0,8.723732611927,-8.605579500019e-10,5068649131.594,Q4,4.8909662352293e-08,8.04651901568493e-08,electromagnetic
17.0,8.791548571182,-1.210540298291e-09,3631249857.437,Q1,6.9850587944e-08,9.753284843302981e-08,electromagnetic
18.0,9.193955950172,1.169981205516e-10,39291041201.46,Q2,8.873376805673e-08,1.650856682685887e-07,electromagnetic
19.0,9.277046159931,-1.710763665073e-09,2711375729.252,Q4,4.089688192224e-09,4.474526522955874e-09,electromagnetic
20.0,9.675939233058,-5.204742007705e-09,929531110.162,Q1,2.2638529466691e-08,2.2751599167131107e-08,electromagnetic
21.0,9.711981681561,1.384507931201e-11,350737668694.1,Q1,5.628333566964999e-10,1.3739832155889398e-09,electromagnetic
22.0,9.908285613387,-8.197448600432e-09,604351798.7331,Q1,6.758796316602e-08,1.44614317052165e-07,electromagnetic
23.0,9.97584816551,2.247972960909e-09,2218854127.471,Q2,6.636855161551e-09,7.51827606385691e-09,electromagnetic
24.0,10.4941939082,3.024449236057e-09,1734893378.783,Q4,4.021108022523e-10,5.055380674477377e-10,electromagnetic
25.0,10.56194950597,-5.380757550787e-08,98145562.27706,Q4,0.00031033365759909647,0.00031033366092279765,electromagnetic
26.0,10.61830919196,6.372722586099e-08,83310618.40916,Q4,1.991383438891576e-05,1.9913834656163575e-05,electromagnetic
27.0,10.68604520495,-5.274129458696e-10,10130624673.36,Q3,8.677544667299e-09,8.780151756155186e-09,electromagnetic
28.0,10.76518692908,-1.442077274693e-09,3732527763.245,Q2,0.003702456511939304,0.0037024565182517677,electromagnetic
29.0,10.76986161536,2.356571043085e-07,22850704.30395,Q3,0.00033186364732893986,0.00033186813725177226,electromagnetic
30.0,10.77239100396,-6.463171199308e-08,83336729.53856,Q1,0.0001502590384846103,0.0001502591057180106,electromagnetic
31.0,10.79959315776,-7.096065620328e-08,76095640.42662,Q4,0.0012338934930404412,0.0012338996502162184,electromagnetic
32.0,10.80061726084,-2.590643698851e-07,20845431.70801,Q2,0.0017241896250620211,0.00172420185591546,electromagnetic
33.0,10.8011342194,-6.070144057556e-08,88969340.0765,Q2,2.6524524568973002e-05,2.652631037972064e-05,electromagnetic
34.0,10.80613061487,1.345285328241e-08,401629691.0411,Q1,9.421764060331187e-05,9.421788775027467e-05,electromagnetic
35.0,10.80876323758,6.37652493112e-08,84754339.97625,Q1,0.0006292393514282191,0.0006292395322928014,electromagnetic
36.0,10.82350221656,-1.718086186211e-07,31498717.30369,Q3,0.00012197052916339351,0.00012197055430906157,electromagnetic
37.0,10.83205792037,-2.063200289599e-07,26250621.36473,Q4,0.00024415619272631406,0.000244156211437885,electromagnetic
