mode,frequency_GHz,dominant_qubit,dominant_qubit_participation,total_JJ_participation,mode_class
1.0,5.570851514,Q4,9.66e-07,9.7e-07,electromagnetic
2.0,5.666259125,Q3,1.4e-08,2.3e-08,electromagnetic
3.0,5.681751714,Q3,8.4e-08,8.8e-08,electromagnetic
4.0,5.8217765,Q4,0.999774784,0.999774784,qubit-like
5.0,5.876664594,Q4,3.42e-07,4.69e-07,electromagnetic
6.0,5.981589543,Q4,1.0558e-05,1.0563e-05,electromagnetic
7.0,6.652832452,Q2,0.999644479,0.999644479,qubit-like
8.0,6.80700096,Q4,0.999755237,0.999755237,qubit-like
9.0,6.832612991,Q1,0.999839705,0.999839705,qubit-like
10.0,6.890922916,Q2,0.999779563,0.999779563,qubit-like
11.0,6.987460169,Q3,0.999841092,0.999841092,qubit-like
12.0,7.018249315,Q1,0.99983042,0.999830421,qubit-like
13.0,7.168394142,Q3,0.999787961,0.999787961,qubit-like
14.0,7.761073654,Q2,3.74e-07,3.75e-07,electromagnetic
15.0,8.091680255,Q1,2.64e-07,2.74e-07,electromagnetic
16.0,8.723732612,Q4,4.9e-08,8e-08,electromagnetic
17.0,8.791548571,Q1,7e-08,9.8e-08,electromagnetic
18.0,9.19395595,Q2,8.9e-08,1.65e-07,electromagnetic
19.0,9.27704616,Q4,4e-09,4e-09,electromagnetic
20.0,9.675939233,Q1,2.3e-08,2.3e-08,electromagnetic
21.0,9.711981682,Q1,1e-09,1e-09,electromagnetic
22.0,9.908285613,Q1,6.8e-08,1.45e-07,electromagnetic
23.0,9.975848166,Q2,7e-09,8e-09,electromagnetic
24.0,10.494193908,Q4,0.0,1e-09,electromagnetic
25.0,10.561949506,Q4,0.000310334,0.000310334,electromagnetic
26.0,10.618309192,Q4,1.9914e-05,1.9914e-05,electromagnetic
27.0,10.686045205,Q3,9e-09,9e-09,electromagnetic
28.0,10.765186929,Q2,0.003702457,0.003702457,electromagnetic
29.0,10.769861615,Q3,0.000331864,0.000331868,electromagnetic
30.0,10.772391004,Q1,0.000150259,0.000150259,electromagnetic
31.0,10.799593158,Q4,0.001233893,0.0012339,electromagnetic
32.0,10.800617261,Q2,0.00172419,0.001724202,electromagnetic
33.0,10.801134219,Q2,2.6525e-05,2.6526e-05,electromagnetic
34.0,10.806130615,Q1,9.4218e-05,9.4218e-05,electromagnetic
35.0,10.808763238,Q1,0.000629239,0.00062924,electromagnetic
36.0,10.823502217,Q3,0.000121971,0.000121971,electromagnetic
37.0,10.83205792,Q4,0.000244156,0.000244156,electromagnetic
