JC_index,JC_frequency_GHz,Q1_weight,Q2_weight,Q3_weight,Q4_weight,dominant_qubit
0,5.570851514297,0.0,0.0,0.0,0.0,Q1
1,5.666259124642,0.0,0.0,0.0,0.0,Q1
2,5.681751713662,0.0,0.0,0.0,0.0,Q1
3,5.821776500398,0.0,0.0,0.0,1.0,Q4
4,5.876664594072,0.0,0.0,0.0,0.0,Q1
5,5.981589543296,0.0,0.0,0.0,0.0,Q1
6,6.832612991191,1.0,0.0,0.0,0.0,Q1
7,6.890922915515,0.0,1.0,0.0,0.0,Q2
8,6.987460169349,0.0,0.0,1.0,0.0,Q3
9,7.761073653743,0.0,0.0,0.0,0.0,Q1
10,8.091680255463,0.0,0.0,0.0,0.0,Q1
11,8.723732611927,0.0,0.0,0.0,0.0,Q1
12,8.791548571182,0.0,0.0,0.0,0.0,Q1
13,9.193955950172,0.0,0.0,0.0,0.0,Q1
14,9.277046159931,0.0,0.0,0.0,0.0,Q1
15,9.675939233058,0.0,0.0,0.0,0.0,Q1
16,9.711981681561,0.0,0.0,0.0,0.0,Q1
17,9.908285613387,0.0,0.0,0.0,0.0,Q1
18,9.97584816551,0.0,0.0,0.0,0.0,Q1
19,10.4941939082,0.0,0.0,0.0,0.0,Q1
20,10.56194950597,0.0,0.0,0.0,0.0,Q1
21,10.61830919196,0.0,0.0,0.0,0.0,Q1
22,10.68604520495,0.0,0.0,0.0,0.0,Q1
23,10.76518692908,0.0,0.0,0.0,0.0,Q1
24,10.76986161536,0.0,0.0,0.0,0.0,Q1
25,10.77239100396,0.0,0.0,0.0,0.0,Q1
26,10.79959315776,0.0,0.0,0.0,0.0,Q1
27,10.80061726084,0.0,0.0,0.0,0.0,Q1
28,10.8011342194,0.0,0.0,0.0,0.0,Q1
29,10.80613061487,0.0,0.0,0.0,0.0,Q1
30,10.80876323758,0.0,0.0,0.0,0.0,Q1
31,10.82350221656,0.0,0.0,0.0,0.0,Q1
32,10.83205792037,0.0,0.0,0.0,0.0,Q1
