Mode,Frequency_GHz,ImagFrequency_GHz,Q,Linewidth_MHz,Photon_lifetime_ns,JJ1_EPR,JJ2_EPR,JJ3_EPR,JJ4_EPR,JJ5_EPR,JJ6_EPR,JJ7_EPR,JJ8_EPR,JJ1_absEPR,JJ2_absEPR,JJ3_absEPR,JJ4_absEPR,JJ5_absEPR,JJ6_absEPR,JJ7_absEPR,JJ8_absEPR,Total_abs_JJ_EPR,Dominant_JJ,Dominant_JJ_fraction,Mode_localization,Q1_pair_abs_EPR,Q1_JJ_balance,Q1_dominant_fraction,Q1_two_JJ_balanced,Q2_pair_abs_EPR,Q2_JJ_balance,Q2_dominant_fraction,Q2_two_JJ_balanced,Q3_pair_abs_EPR,Q3_JJ_balance,Q3_dominant_fraction,Q3_two_JJ_balanced,Q4_pair_abs_EPR,Q4_JJ_balance,Q4_dominant_fraction,Q4_two_JJ_balanced,Dominant_qubit,E_electric_J,E_magnetic_J,E_capacitive_J,E_inductive_J,substrate_electric_fraction,vacuum_electric_fraction,substrate_magnetic_fraction,vacuum_magnetic_fraction,Port1_Vmag_V,Port1_Imag_A,Port1_Zmag_Ohm,Port2_Vmag_V,Port2_Imag_A,Port2_Zmag_Ohm,Port3_Vmag_V,Port3_Imag_A,Port3_Zmag_Ohm,Port4_Vmag_V,Port4_Imag_A,Port4_Zmag_Ohm,Port5_Vmag_V,Port5_Imag_A,Port5_Zmag_Ohm,Port6_Vmag_V,Port6_Imag_A,Port6_Zmag_Ohm,Port7_Vmag_V,Port7_Imag_A,Port7_Zmag_Ohm,Port8_Vmag_V,Port8_Imag_A,Port8_Zmag_Ohm
1,5.570851514297,-1.338627746443e-10,20808068296.44,2.67725549288499e-07,594470507.2596235,-8.173416227917e-12,-2.43106500322e-11,-1.883892828771e-09,-1.58661069966e-09,1.093032472149e-11,-1.324564445674e-11,9.398632978377e-07,2.660235356812e-08,8.173416227917e-12,2.43106500322e-11,1.883892828771e-09,1.58661069966e-09,1.093032472149e-11,1.324564445674e-11,9.398632978377e-07,2.660235356812e-08,9.699928149696893e-07,7,0.9689384120510925,single-JJ localized,3.2484066260117e-11,0.3362072267541644,0.7483869118333845,False,3.470503528431e-09,0.8421979612794966,0.5428298266628474,False,2.4175969178230003e-11,0.8252014280760904,0.5478847345928721,False,9.6646565140582e-07,0.028304492397269693,0.9724746000756216,False,Q4,1.667820079509e-11,1.6678188581340003e-11,3.964155818693e-18,1.617773878306e-17,0.9135075514529,0.08649244854711,0.4806027959049,0.5193972040951,8.173496961389601e-05,8.814582089668709e-08,927.2699350057102,0.00014096275638275207,1.5201911661447574e-07,927.2699350058527,0.0012408925983444234,1.3382215377625448e-06,927.2699350057901,0.0011387838173433811,1.228103893324824e-06,927.269935005557,9.45197642558688e-05,1.0193338604828407e-07,927.2699350053616,0.00010405013411630352,1.1221126684725053e-07,927.2699350052211,0.02771650354603641,2.9890436969544777e-05,927.2699350055211,0.004663007653612246,5.028748887004137e-06,927.2699350056869
2,5.666259124642,-4.351727283944e-10,6510356411.29,8.703454567887865e-07,182864105.109609,-2.129313832074e-09,-1.724040066244e-09,-4.863994829750001e-11,-2.1397235455100002e-11,2.188048465584e-09,-1.201531465173e-08,-5.150792218962e-09,1.504981357756e-10,2.129313832074e-09,1.724040066244e-09,4.863994829750001e-11,2.1397235455100002e-11,2.188048465584e-09,1.201531465173e-08,5.150792218962e-09,1.504981357756e-10,2.3428044554122198e-08,6,0.5128603295922914,distributed/mixed,3.853353898318e-09,0.8096693123740927,0.5525871457079121,False,7.003718375260001e-11,0.43991073601120123,0.6944874949472013,False,1.4203363117313998e-08,0.18210496595434217,0.8459485653143126,False,5.3012903547376e-09,0.02921844434367977,0.9716110369919458,False,Q3,1.6678204660530003e-11,1.667820436769e-11,9.905306943747e-20,3.907377241901e-19,0.9196606528644,0.08033934713559,0.4844024005948,0.5155975994052,0.0013418401539583515,1.406768799432483e-06,953.8455462615286,0.0012074095967664366,1.2658334480875616e-06,953.8455462609298,0.0002028044585329262,2.1261771292836536e-07,953.8455462610239,0.00013451161250941726,1.4102032874892512e-07,953.8455462609502,0.0013602208101681668,1.4260388545086574e-06,953.845546260962,0.0031874877204104194,3.3417231258300004e-06,953.8455462610258,0.0020869784357727987,2.1879626570085402e-06,953.8455462609171,0.0003567356451207904,3.739972855344808e-07,953.8455462610598
3,5.681751713662,8.430018940718e-10,3369951926.334,1.6860037881439126e-06,94397737.54429449,4.40200871762e-10,2.728288994398e-10,1.281171744232e-12,-1.818435472377e-12,3.089304099632e-08,-5.277788656365e-08,3.128819256729e-09,7.019346447083e-11,4.40200871762e-10,2.728288994398e-10,1.281171744232e-12,1.818435472377e-12,3.089304099632e-08,5.277788656365e-08,3.128819256729e-09,7.019346447083e-11,8.758606965958824e-08,6,0.602583113602156,distributed/mixed,7.130297712017999e-10,0.6197827331593934,0.6173667489648416,False,3.0996072166090003e-12,0.7045461682274013,0.586666421033303,False,8.367092755997e-08,0.5853406228963539,0.6307792694878657,False,3.19901272119983e-09,0.02243449004600324,0.9780577726353952,False,Q3,1.667820438725e-11,1.667820329813e-11,3.723390404741e-19,1.46077840387e-18,0.9180546480416,0.0819453519584,0.488371356553,0.511628643447,0.0006117756899251377,6.384398690624118e-07,958.2354103661601,0.00048162824918706297,5.026199658004644e-07,958.235410366219,3.300429363144804e-05,3.444278230005955e-08,958.2354103661066,3.9320199588853795e-05,4.103396635470366e-08,958.2354103662364,0.005125038080841445,5.348412326866023e-06,958.2354103660764,0.006698734482341645,6.990698120602058e-06,958.2354103662442,0.0016310114289269772,1.7020988906098662e-06,958.2354103659522,0.0002442952964386397,2.549428812542398e-07,958.235410366364
4,5.821776500398,1.849373546022e-09,1573986097.325,3.6987470920436645e-06,43029420.26889372,7.040644833103e-15,-5.256059546005e-15,9.884321523189e-14,-6.868026189560999e-14,3.9603061000109997e-13,2.502029901495e-13,0.9985714254427,-0.001203358424759,7.040644833103e-15,5.256059546005e-15,9.884321523189e-14,6.868026189560999e-14,3.9603061000109997e-13,2.502029901495e-13,0.9985714254427,0.001203358424759,0.9997747838682851,7,0.9987963704976343,single-JJ localized,1.2296704379107999e-14,0.7465309883680802,0.5725635597994043,False,1.675234771275e-13,0.6948404271803932,0.590026048448491,False,6.462336001506e-13,0.6317768976211335,0.6128288747425202,False,0.999774783867459,0.0012050799713455762,0.9987963704984596,False,Q4,1.221584314734e-11,3.276612374888e-15,4.4621863917640005e-12,1.66742733778e-11,0.941031547037,0.05896845296304,0.7683078037719,0.2316921962281,2.5069402345565643e-06,2.50969854725266e-09,998.9009386409714,2.1660471223327744e-06,2.1684303603512644e-09,998.9009386411174,9.393148624609444e-06,9.403483630107148e-09,998.9009386410145,7.829855250607755e-06,7.838470210328906e-09,998.9009386410885,1.8801917358629027e-05,1.882260455597162e-08,998.9009386410326,1.4944590175385487e-05,1.496103326894819e-08,998.9009386405932,29.85570489062,0.02988855424566,998.9009386412603,1.036418755377536,0.0010375590964885387,998.9009386406402
5,5.876664594072,5.582178029675e-10,5263773891.509,1.1164356059350601e-06,142556312.46962658,1.058290957874e-09,1.259109799583e-09,-1.457665532296e-10,7.638969881558001e-11,-4.320533331706e-08,-8.17389991531e-08,-3.419791833186e-07,9.23521509484e-12,1.058290957874e-09,1.259109799583e-09,1.457665532296e-10,7.638969881558001e-11,4.320533331706e-08,8.17389991531e-08,3.419791833186e-07,9.23521509484e-12,4.6947230801335706e-07,7,0.7284331311589741,distributed/mixed,2.317400757457e-09,0.8405072839751478,0.5433284663998662,False,2.2215625204518e-10,0.5240550532553031,0.6561442763265353,False,1.2494433247016e-07,0.528576735275837,0.6542033362947569,False,3.4198841853369485e-07,2.7005196647411557e-05,0.9999729955326135,False,Q4,1.667820262449e-11,1.667819692548e-11,2.135063631879e-18,7.829955281987e-18,0.9161712962736,0.0838287037264,0.4720765248102,0.5279234751898,0.0009811105864192939,9.662808605161541e-07,1015.3472209883348,0.0010701563212743772,1.0539806473612002e-06,1015.3472209889956,0.0003641198552896415,3.586160948322419e-07,1015.3472209884341,0.0002635923597242704,2.5960809689094886e-07,1015.3472209882389,0.006268795450133451,6.17404107732841e-06,1015.3472209883713,0.00862243793560492,8.492107682346334e-06,1015.3472209884386,0.017636615812531183,1.7370034061211914e-05,1015.3472209887346,9.165136270623037e-05,9.026602999613082e-08,1015.3472209884376
6,5.981589543296,-6.852634809429e-09,436444499.7904,1.3705269618860185e-05,11612682.385531329,2.035269606919e-10,2.638359739101e-10,9.193229077038e-10,9.783038841649e-10,9.435417377675e-10,1.592955288216e-09,-1.042470660671e-05,-1.330406278068e-07,2.035269606919e-10,2.638359739101e-10,9.193229077038e-10,9.783038841649e-10,9.435417377675e-10,1.592955288216e-09,1.042470660671e-05,1.330406278068e-07,1.0562648721269253e-05,7,0.986940575399285,single-JJ localized,4.673629346020001e-10,0.7714147455920859,0.5645205350629252,False,1.8976267918687e-09,0.9397109861099576,0.5155407208397965,False,2.5364970259835e-09,0.5923215452106014,0.6280138600195474,False,1.05577472345168e-05,0.012762050082173694,0.9873987674783645,False,Q4,1.667815496269e-11,1.6678028597030002e-11,4.9767415381560005e-17,1.7616601786560002e-16,0.9207720598018,0.07922794019822,0.4697519966045,0.5302480033955,0.00043793746122753756,4.1802837193308124e-07,1047.6261675789876,0.0004986182019845027,4.7595050354350393e-07,1047.6261675788455,0.0009307545410492891,8.884414783188896e-07,1047.6261675788307,0.0009601476242928136,9.164983216406052e-07,1047.6261675788699,0.0009429348361629016,9.000680446365608e-07,1047.6261675789744,0.0012251885113847539,1.1694901762680562e-06,1047.6261675787955,0.09911355262809597,9.460774815996527e-05,1047.6261675789194,0.011196783107146226,1.0687765782924666e-05,1047.626167578896
7,6.652832452088,1.861777337291e-08,178668853.6495,3.723554674581983e-05,4274274.369551524,-4.951465784135e-12,6.144657099746e-12,-0.9905223531757,0.009122126135383,-4.545502480803e-14,5.035071839994999e-13,-1.434518583967e-13,1.9124743682430002e-12,4.951465784135e-12,6.144657099746e-12,0.9905223531757,0.009122126135383,4.545502480803e-14,5.035071839994999e-13,1.434518583967e-13,1.9124743682430002e-12,0.9996444793247841,3,0.9908746295930673,single-JJ localized,1.1096122883881e-11,0.80581645220523,0.5537661365189238,False,0.999644479311083,0.009209409667673503,0.9908746296066482,False,5.489622088075299e-13,0.09027681481516885,0.9171982623234327,False,2.0559262266397e-12,0.07500851293943873,0.9302251916737478,False,Q2,1.0850640062770001e-11,2.5006995569529998e-15,5.825722733252e-12,1.667043400426e-11,0.9063709098285,0.09362909017152,0.7089372726007,0.2910627273993,7.596857999312627e-05,5.911376840809726e-08,1285.1249723866408,8.462836365922451e-05,6.5852244316798e-08,1285.1249723866583,33.97811311836569,0.026439540004634426,1285.1249723864287,3.260732364029804,0.002537288150251973,1285.1249723867536,7.27877118335274e-06,5.663862534578723e-09,1285.1249723867343,2.4225344024234477e-05,1.88505744925745e-08,1285.1249723862354,1.2930645542334695e-05,1.006178062069624e-08,1285.1249723868398,4.721336222367182e-05,3.6738343148045426e-08,1285.1249723868862
8,6.807000960044,1.829077516728e-08,186077432.4158,3.6581550334558524e-05,4350688.848240036,7.084436366571999e-14,2.121169774008e-10,-3.989943043679e-12,1.09109898057e-12,-5.467214117805e-14,8.572240879765999e-13,-0.001204695605612,0.9985505415273,7.084436366571999e-14,2.121169774008e-10,3.989943043679e-12,1.09109898057e-12,5.467214117805e-14,8.572240879765999e-13,0.001204695605612,0.9985505415273,0.9997552373510928,8,0.9987950092394767,single-JJ localized,2.121878217644657e-10,0.0003339872391819817,0.999666124271051,False,5.081042024249e-12,0.27346229473088723,0.7852607840354816,False,9.1189622915465e-13,0.06377812049950515,0.9400456549439485,False,0.999755237132912,0.0012064442965194306,0.998795009457448,False,Q4,1.057755338463e-11,2.855815054124e-15,6.0999457097730004e-12,1.6673417065550003e-11,0.934218886368,0.065781113632,0.752272083961,0.247727916039,9.297876870433229e-06,6.893044689887106e-09,1348.8780776475003,0.0005087669058996297,3.77177829731623e-07,1348.8780776474523,6.977735241470235e-05,5.1729918048926186e-08,1348.878077647579,3.6489105216449833e-05,2.7051448030115058e-08,1348.8780776477581,8.167970869675627e-06,6.055381138613321e-09,1348.8780776474935,3.2342852626168646e-05,2.3977595278718836e-08,1348.8780776475255,1.2124666501600696,0.0008988704540850583,1348.878077647145,34.90729245173013,0.02587876030471906,1348.8780776475098
9,6.832612991191,-1.696500705063e-09,2013737150.477,3.3930014101257147e-06,46906830.81266343,0.006188726256049,0.9936509784584,1.732830852576e-12,3.1628422238800004e-11,-2.964227377325e-13,-2.1290815472330002e-12,5.282128196742e-14,-2.4125015569830002e-11,0.006188726256049,0.9936509784584,1.732830852576e-12,3.1628422238800004e-11,2.964227377325e-13,2.1290815472330002e-12,5.282128196742e-14,2.4125015569830002e-11,0.9998397047744136,2,0.9938102815016634,single-JJ localized,0.999839704714449,0.006228269674378523,0.9938102815612664,False,3.336125309137601e-11,0.05478714175158123,0.9480585801789339,False,2.4255042849655e-12,0.13922563845322755,0.8777892335338767,False,2.4177836851797422e-11,0.0021894817773082252,0.9978153015800711,False,Q1,1.053141175004e-11,2.4622259258859998e-15,6.1466690351840005e-12,1.6675407368510002e-11,0.906920672028,0.09307932797203,0.7151902573211,0.2848097426789,2.75848330288905,0.002028493186832772,1359.8681626316243,34.95317692043184,0.025703357046601347,1359.8681626318362,4.615808779615522e-05,3.394306085291807e-08,1359.8681626317455,0.00019720071577386064,1.4501458390808044e-07,1359.8681626315538,1.9090859436213198e-05,1.4038757550782909e-08,1359.8681626315674,5.11641626554317e-05,3.7624355111323255e-08,1359.8681626315388,8.058870770201738e-06,5.926214754969674e-09,1359.8681626317434,0.0001722279071019594,1.2665044438475334e-07,1359.8681626315151
10,6.890922915515,-9.118469576238e-09,377855234.2529,1.8236939152476788e-05,8727064.435606249,1.906395865678e-12,1.691767553444e-10,-0.00912206782874,-0.9906574953578,-3.871501068687e-13,-3.3066153297680005e-11,-1.0755750007049999e-14,7.645953707382001e-11,1.906395865678e-12,1.691767553444e-10,0.00912206782874,0.9906574953578,3.871501068687e-13,3.3066153297680005e-11,1.0755750007049999e-14,7.645953707382001e-11,0.9997795634675468,4,0.9908759206098307,single-JJ localized,1.71083151210078e-10,0.011268663131628647,0.988856904656046,False,0.99977956318654,0.009208094494298802,0.9908759208883349,False,3.3453303404548704e-11,0.011708350329817872,0.9884271486678934,False,7.647029282382706e-11,0.0001406724447816831,0.9998593473411717,False,Q2,1.0425965088710001e-11,2.236632536058e-15,6.251375102432e-12,1.6673663896100003e-11,0.9175467851873,0.08245321481268,0.7233925970527,0.2766074029474,4.8826679802677105e-05,3.5245363806216695e-08,1385.3362408494957,0.00045996098498922265,3.320211883774937e-07,1385.3362408493851,3.3775150917578602,0.002438047162966514,1385.336240849517,35.19754837968019,0.025407224139385103,1385.336240849648,2.200342774040742e-05,1.588309544757901e-08,1385.3362408497837,0.00020334920885221292,1.4678689754596202e-07,1385.3362408490177,3.6675074050851833e-06,2.647377074923665e-09,1385.336240849231,0.00030921922103409224,2.2320878636980314e-07,1385.3362408493658
