Mode,Frequency_GHz,Q,Pair_abs_EPR,JJ_balance,Pair_dominant_fraction,Dominant_JJ,Qubit,JJ_pair,two_JJ_balanced,single_JJ_localized
1,5.570851514297,20808068296.44,3.2484066260117e-11,0.3362072267541644,0.7483869118333845,7,Q1,JJ1+JJ2,False,False
2,5.666259124642,6510356411.29,3.853353898318e-09,0.8096693123740927,0.5525871457079121,6,Q1,JJ1+JJ2,False,False
3,5.681751713662,3369951926.334,7.130297712017999e-10,0.6197827331593934,0.6173667489648416,6,Q1,JJ1+JJ2,False,False
4,5.821776500398,1573986097.325,1.2296704379107999e-14,0.7465309883680802,0.5725635597994043,7,Q1,JJ1+JJ2,False,False
5,5.876664594072,5263773891.509,2.317400757457e-09,0.8405072839751478,0.5433284663998662,7,Q1,JJ1+JJ2,False,False
6,5.981589543296,436444499.7904,4.673629346020001e-10,0.7714147455920859,0.5645205350629252,7,Q1,JJ1+JJ2,False,False
7,6.652832452088,178668853.6495,1.1096122883881e-11,0.80581645220523,0.5537661365189238,3,Q1,JJ1+JJ2,False,False
8,6.807000960044,186077432.4158,2.121878217644657e-10,0.0003339872391819817,0.999666124271051,8,Q1,JJ1+JJ2,False,False
9,6.832612991191,2013737150.477,0.999839704714449,0.006228269674378523,0.9938102815612664,2,Q1,JJ1+JJ2,False,True
10,6.890922915515,377855234.2529,1.71083151210078e-10,0.011268663131628647,0.988856904656046,4,Q1,JJ1+JJ2,False,False
11,6.987460169349,826992055.5322,4.491234740847001e-11,0.33567119565876086,0.7486872542061477,6,Q1,JJ1+JJ2,False,False
12,7.018249314955,207693556.1688,0.9998304202939939,0.006230293410215935,0.9938082828046244,1,Q1,JJ1+JJ2,False,True
13,7.168394141588,1435468922.484,1.440253063313054e-11,0.0056044919929719795,0.9944267432796918,5,Q1,JJ1+JJ2,False,False
14,7.761073653743,2592105243.606,3.6196747946617006e-11,0.21904250013604148,0.820315944594551,4,Q1,JJ1+JJ2,False,False
15,8.091680255463,549454710519.6,2.643714420313e-07,0.8370543356992024,0.5443497127804819,1,Q1,JJ1+JJ2,False,False
16,8.723732611927,5068649131.594,3.791907918613e-10,0.5073183029088874,0.6634298794555584,8,Q1,JJ1+JJ2,False,False
17,8.791548571182,3631249857.437,6.9850587944e-08,0.3852315277642884,0.72190098186255,2,Q1,JJ1+JJ2,False,False
18,9.193955950172,39291041201.46,2.1969035472087e-09,0.7137208725602057,0.5835255997705474,3,Q1,JJ1+JJ2,False,False
19,9.277046159931,2711375729.252,2.728623850301e-11,0.8656624541364043,0.5360026395894265,7,Q1,JJ1+JJ2,False,False
20,9.675939233058,929531110.162,2.2638529466691e-08,0.3469800676339201,0.7424014831612031,1,Q1,JJ1+JJ2,False,False
21,9.711981681561,350737668694.1,5.628333566964999e-10,0.5263737941686518,0.6551475161722465,1,Q1,JJ1+JJ2,False,False
22,9.908285613387,604351798.7331,6.758796316602e-08,0.7037248314652464,0.5869492429361229,2,Q1,JJ1+JJ2,False,False
23,9.97584816551,2218854127.471,4.656591069642e-10,0.9074080989296042,0.5242716545878033,4,Q1,JJ1+JJ2,False,False
24,10.4941939082,1734893378.783,3.98793000069728e-12,0.022717097914640837,0.9777875054978921,7,Q1,JJ1+JJ2,False,False
25,10.56194950597,98145562.27706,9.087139910508e-13,0.7665584881361093,0.5660723982340925,7,Q1,JJ1+JJ2,False,False
26,10.61830919196,83310618.40916,6.759057027902999e-14,0.08852638309611098,0.9186731856288921,7,Q1,JJ1+JJ2,False,False
27,10.68604520495,10130624673.36,4.1180612506580004e-11,0.8065193184791152,0.5535506815625347,6,Q1,JJ1+JJ2,False,False
28,10.76518692908,3732527763.245,1.9955722127855e-12,0.6986465769099621,0.5887039797408108,3,Q1,JJ1+JJ2,False,False
29,10.76986161536,22850704.30395,2.367647104476726e-10,0.0033478705520208116,0.9966633002866904,6,Q1,JJ1+JJ2,False,False
30,10.77239100396,83336729.53856,0.0001502590384846103,6.697815726359198e-06,0.9999933022291341,2,Q1,JJ1+JJ2,False,False
31,10.79959315776,76095640.42662,5.032532241309e-11,0.27064793885285016,0.7870000567606532,8,Q1,JJ1+JJ2,False,False
32,10.80061726084,20845431.70801,2.2683079261912e-10,0.61162263707695,0.6204926494540502,4,Q1,JJ1+JJ2,False,False
33,10.8011342194,88969340.0765,5.937970565545e-11,0.7077982940738993,0.5855492440003154,3,Q1,JJ1+JJ2,False,False
34,10.80613061487,401629691.0411,9.421764060331187e-05,1.1073877450582435e-05,0.9999889262451788,2,Q1,JJ1+JJ2,False,False
35,10.80876323758,84754339.97625,0.0006292393514282191,1.4076073974743706e-06,0.9999985923945839,1,Q1,JJ1+JJ2,False,False
36,10.82350221656,31498717.30369,7.280532413537799e-13,0.045541827005962175,0.9564418889520884,6,Q1,JJ1+JJ2,False,False
37,10.83205792037,26250621.36473,9.73238212598e-12,0.1866737022997751,0.8426916329754327,8,Q1,JJ1+JJ2,False,False
1,5.570851514297,20808068296.44,3.470503528431e-09,0.8421979612794966,0.5428298266628474,7,Q2,JJ3+JJ4,False,False
2,5.666259124642,6510356411.29,7.003718375260001e-11,0.43991073601120123,0.6944874949472013,6,Q2,JJ3+JJ4,False,False
3,5.681751713662,3369951926.334,3.0996072166090003e-12,0.7045461682274013,0.586666421033303,6,Q2,JJ3+JJ4,False,False
4,5.821776500398,1573986097.325,1.675234771275e-13,0.6948404271803932,0.590026048448491,7,Q2,JJ3+JJ4,False,False
5,5.876664594072,5263773891.509,2.2215625204518e-10,0.5240550532553031,0.6561442763265353,7,Q2,JJ3+JJ4,False,False
6,5.981589543296,436444499.7904,1.8976267918687e-09,0.9397109861099576,0.5155407208397965,7,Q2,JJ3+JJ4,False,False
7,6.652832452088,178668853.6495,0.999644479311083,0.009209409667673503,0.9908746296066482,3,Q2,JJ3+JJ4,False,True
8,6.807000960044,186077432.4158,5.081042024249e-12,0.27346229473088723,0.7852607840354816,8,Q2,JJ3+JJ4,False,False
9,6.832612991191,2013737150.477,3.336125309137601e-11,0.05478714175158123,0.9480585801789339,2,Q2,JJ3+JJ4,False,False
10,6.890922915515,377855234.2529,0.99977956318654,0.009208094494298802,0.9908759208883349,4,Q2,JJ3+JJ4,False,True
11,6.987460169349,826992055.5322,1.5779258072315804e-11,0.010574515583827632,0.989536134722615,6,Q2,JJ3+JJ4,False,False
12,7.018249314955,207693556.1688,7.516953422621001e-12,0.5306955244057211,0.6532977878721119,1,Q2,JJ3+JJ4,False,False
13,7.168394141588,1435468922.484,7.346809317765999e-13,0.45672885996531826,0.6864695465865953,5,Q2,JJ3+JJ4,False,False
14,7.761073653743,2592105243.606,3.7380149895040004e-07,0.5653516512649832,0.6388340914911264,4,Q2,JJ3+JJ4,False,False
15,8.091680255463,549454710519.6,9.08617268895e-09,0.7348454265877619,0.5764202301105771,1,Q2,JJ3+JJ4,False,False
16,8.723732611927,5068649131.594,4.11044922764e-10,0.6687368994325388,0.5992556408023664,8,Q2,JJ3+JJ4,False,False
17,8.791548571182,3631249857.437,2.7411343751646e-08,0.4482312649652122,0.6904974531288143,2,Q2,JJ3+JJ4,False,False
18,9.193955950172,39291041201.46,8.873376805673e-08,0.7079682495557846,0.5854909775167566,3,Q2,JJ3+JJ4,False,False
19,9.277046159931,2711375729.252,3.5146798696520003e-10,0.72576566538631,0.5794529466294321,7,Q2,JJ3+JJ4,False,False
20,9.675939233058,929531110.162,5.7580417589057006e-11,0.07895110144658933,0.9268260615882067,1,Q2,JJ3+JJ4,False,False
21,9.711981681561,350737668694.1,3.285481811945e-11,0.9730119927828804,0.5068392912247466,1,Q2,JJ3+JJ4,False,False
22,9.908285613387,604351798.7331,1.4231165114281e-08,0.7435098425111825,0.5735556953092372,2,Q2,JJ3+JJ4,False,False
23,9.97584816551,2218854127.471,6.636855161551e-09,0.32091783095349136,0.7570493611083742,4,Q2,JJ3+JJ4,False,False
24,10.4941939082,1734893378.783,9.594169658132001e-11,0.4354292170042921,0.6966557376385142,7,Q2,JJ3+JJ4,False,False
25,10.56194950597,98145562.27706,1.743922871232896e-12,0.0007505196463743827,0.9992500432109297,7,Q2,JJ3+JJ4,False,False
26,10.61830919196,83310618.40916,1.1865023714929e-13,0.061722677714868314,0.9418655370084839,7,Q2,JJ3+JJ4,False,False
27,10.68604520495,10130624673.36,5.019168080305201e-11,0.028186332987592717,0.9725863570801491,6,Q2,JJ3+JJ4,False,False
28,10.76518692908,3732527763.245,0.003702456511939304,1.8762760603762084e-08,0.9999999812372398,3,Q2,JJ3+JJ4,False,False
29,10.76986161536,22850704.30395,4.2528961489356254e-09,5.11233780020282e-05,0.999948879235464,6,Q2,JJ3+JJ4,False,False
30,10.77239100396,83336729.53856,4.908820775714101e-11,0.12554029721871546,0.8884621923098321,2,Q2,JJ3+JJ4,False,False
31,10.79959315776,76095640.42662,6.10178755789426e-09,0.0035473152829276914,0.9964652236831228,8,Q2,JJ3+JJ4,False,False
32,10.80061726084,20845431.70801,0.0017241896250620211,6.792768592042627e-09,0.9999999932072314,4,Q2,JJ3+JJ4,False,False
33,10.8011342194,88969340.0765,2.6524524568973002e-05,0.016003475975043865,0.984248601157899,3,Q2,JJ3+JJ4,False,False
34,10.80613061487,401629691.0411,2.42162267026098e-10,0.03529083961744005,0.9659121492560674,2,Q2,JJ3+JJ4,False,False
35,10.80876323758,84754339.97625,5.6783181223050006e-11,0.4947976926591857,0.6689868501342411,1,Q2,JJ3+JJ4,False,False
36,10.82350221656,31498717.30369,1.4120157610193902e-11,0.019931669765632622,0.9804578381508512,6,Q2,JJ3+JJ4,False,False
37,10.83205792037,26250621.36473,7.33259417178585e-12,0.012191031051512658,0.9879558001626946,8,Q2,JJ3+JJ4,False,False
