Mode,Frequency_GHz,ImagFrequency_GHz,Q,Linewidth_MHz,Photon_lifetime_ns,Dominant_JJ,Dominant_JJ_fraction,Total_abs_JJ_EPR,Dominant_qubit,Mode_localization
1,5.570851514297,-1.338627746443e-10,20808068296.44,2.67725549288499e-07,594470507.2596235,7,0.9689384120510925,9.699928149696893e-07,Q4,single-JJ localized
2,5.666259124642,-4.351727283944e-10,6510356411.29,8.703454567887865e-07,182864105.109609,6,0.5128603295922914,2.3428044554122198e-08,Q3,distributed/mixed
3,5.681751713662,8.430018940718e-10,3369951926.334,1.6860037881439126e-06,94397737.54429449,6,0.602583113602156,8.758606965958824e-08,Q3,distributed/mixed
4,5.821776500398,1.849373546022e-09,1573986097.325,3.6987470920436645e-06,43029420.26889372,7,0.9987963704976343,0.9997747838682851,Q4,single-JJ localized
5,5.876664594072,5.582178029675e-10,5263773891.509,1.1164356059350601e-06,142556312.46962658,7,0.7284331311589741,4.6947230801335706e-07,Q4,distributed/mixed
6,5.981589543296,-6.852634809429e-09,436444499.7904,1.3705269618860185e-05,11612682.385531329,7,0.986940575399285,1.0562648721269253e-05,Q4,single-JJ localized
7,6.652832452088,1.861777337291e-08,178668853.6495,3.723554674581983e-05,4274274.369551524,3,0.9908746295930673,0.9996444793247841,Q2,single-JJ localized
8,6.807000960044,1.829077516728e-08,186077432.4158,3.6581550334558524e-05,4350688.848240036,8,0.9987950092394767,0.9997552373510928,Q4,single-JJ localized
9,6.832612991191,-1.696500705063e-09,2013737150.477,3.3930014101257147e-06,46906830.81266343,2,0.9938102815016634,0.9998397047744136,Q1,single-JJ localized
10,6.890922915515,-9.118469576238e-09,377855234.2529,1.8236939152476788e-05,8727064.435606249,4,0.9908759206098307,0.9997795634675468,Q2,single-JJ localized
11,6.987460169349,-4.224623515187e-09,826992055.5322,8.44924703037481e-06,18836583.013816226,6,0.9736190366250214,0.9998410916426227,Q3,single-JJ localized
12,7.018249314955,1.68956838248e-08,207693556.1688,3.379136764961074e-05,4709929.019215909,1,0.9938082824496893,0.9998304206510797,Q1,single-JJ localized
13,7.168394141588,2.496882387806e-09,1435468922.484,4.993764775613176e-06,31870732.852520663,5,0.9736089762947411,0.9997879613382092,Q3,single-JJ localized
14,7.761073653743,-1.497059903892e-09,2592105243.606,2.9941198077845806e-06,53155836.54271264,4,0.6373751454384552,3.7465712726486953e-07,Q2,distributed/mixed
15,8.091680255463,7.363373268573e-12,549454710519.6,1.4726746537145861e-08,10807203253.648214,1,0.5245854641600907,2.743318836855571e-07,Q1,distributed/mixed
16,8.723732611927,-8.605579500019e-10,5068649131.594,1.7211159000038224e-06,92471949.79230736,8,0.5184781877883724,8.046519015684929e-08,Q4,distributed/mixed
17,8.791548571182,-1.210540298291e-09,3631249857.437,2.4210805965820348e-06,65737151.96288081,2,0.517007437295078,9.75328484330298e-08,Q1,distributed/mixed
18,9.193955950172,1.169981205516e-10,39291041201.46,2.3399624110318479e-07,680160255.3167219,3,0.3147021854965299,1.650856682685887e-07,Q2,distributed/mixed
19,9.277046159931,-1.710763665073e-09,2711375729.252,3.4215273301462733e-06,46515759.69878087,7,0.5546454798843248,4.474526522955874e-09,Q4,distributed/mixed
20,9.675939233058,-5.204742007705e-09,929531110.162,1.0409484015410376e-05,15289417.117724536,1,0.7387119353324685,2.2751599167131107e-08,Q1,distributed/mixed
21,9.711981681561,1.384507931201e-11,350737668694.1,2.7690158624026833e-08,5747707886.143929,1,0.26837218349901376,1.37398321558894e-09,Q1,distributed/mixed
22,9.908285613387,-8.197448600432e-09,604351798.7331,1.639489720086495e-05,9707590.181382705,2,0.27432072163076393,1.44614317052165e-07,Q1,distributed/mixed
23,9.97584816551,2.247972960909e-09,2218854127.471,4.495945921816972e-06,35399656.904141575,4,0.6682950874835853,7.51827606385691e-09,Q2,distributed/mixed
24,10.4941939082,3.024449236057e-09,1734893378.783,6.048898472113317e-06,26311392.698295865,7,0.43462119806737265,5.055380674477377e-10,Q4,distributed/mixed
25,10.56194950597,-5.380757550787e-08,98145562.27706,0.00010761515101573463,1478926.9130758827,7,0.9999998210506799,0.00031033366092279765,Q4,single-JJ localized
26,10.61830919196,6.372722586099e-08,83310618.40916,0.000127454451721997,1248720.1579984296,7,0.9975792657041745,1.991383465616357e-05,Q4,single-JJ localized
27,10.68604520495,-5.274129458696e-10,10130624673.36,1.0548258917389923e-06,150882666.36071244,6,0.6870214927768481,8.780151756155186e-09,Q3,distributed/mixed
28,10.76518692908,-1.442077274693e-09,3732527763.245,2.884154549387978e-06,55182529.357058294,3,0.9999999795323006,0.0037024565182517673,Q2,single-JJ localized
29,10.76986161536,2.356571043085e-07,22850704.30395,0.0004713142086171194,337683.3122830543,6,0.9999030250600772,0.00033186813725177226,Q3,single-JJ localized
30,10.77239100396,-6.463171199308e-08,83336729.53856,0.0001292634239861261,1231244.9893712976,2,0.9999928547823742,0.0001502591057180106,Q1,single-JJ localized
31,10.79959315776,-7.096065620328e-08,76095640.42662,0.00014192131240651275,1121430.8858420036,8,0.9999924107740715,0.0012338996502162186,Q4,single-JJ localized
32,10.80061726084,-2.590643698851e-07,20845431.70801,0.0005181287397703445,307172.58255629527,4,0.9999928995752916,0.0017242018559154601,Q2,single-JJ localized
33,10.8011342194,-6.070144057556e-08,88969340.0765,0.0001214028811511098,1310965.1235854581,3,0.9841823393331245,2.652631037972064e-05,Q2,single-JJ localized
34,10.80613061487,1.345285328241e-08,401629691.0411,2.690570656481713e-05,5915285.766923961,2,0.9999863031315446,9.421788775027467e-05,Q1,single-JJ localized
35,10.80876323758,6.37652493112e-08,84754339.97625,0.00012753049862235786,1247975.5416246234,1,0.9999983049613912,0.0006292395322928014,Q1,single-JJ localized
36,10.82350221656,-1.718086186211e-07,31498717.30369,0.0003436172372419766,463175.08507239935,6,0.9999993353751484,0.00012197055430906157,Q3,single-JJ localized
37,10.83205792037,-2.063200289599e-07,26250621.36473,0.0004126400579196885,385699.20694144396,8,0.9999925732658027,0.000244156211437885,Q4,single-JJ localized
