Mode,Frequency_GHz,E_electric_J,E_magnetic_J,E_capacitive_J,E_inductive_J,substrate_electric_fraction,vacuum_electric_fraction,substrate_magnetic_fraction,vacuum_magnetic_fraction
1,5.570851514297,1.667820079509e-11,1.6678188581340003e-11,3.964155818693e-18,1.617773878306e-17,0.9135075514529,0.08649244854711,0.4806027959049,0.5193972040951
2,5.666259124642,1.6678204660530003e-11,1.667820436769e-11,9.905306943747e-20,3.907377241901e-19,0.9196606528644,0.08033934713559,0.4844024005948,0.5155975994052
3,5.681751713662,1.667820438725e-11,1.667820329813e-11,3.723390404741e-19,1.46077840387e-18,0.9180546480416,0.0819453519584,0.488371356553,0.511628643447
4,5.821776500398,1.221584314734e-11,3.276612374888e-15,4.4621863917640005e-12,1.66742733778e-11,0.941031547037,0.05896845296304,0.7683078037719,0.2316921962281
5,5.876664594072,1.667820262449e-11,1.667819692548e-11,2.135063631879e-18,7.829955281987e-18,0.9161712962736,0.0838287037264,0.4720765248102,0.5279234751898
6,5.981589543296,1.667815496269e-11,1.6678028597030002e-11,4.9767415381560005e-17,1.7616601786560002e-16,0.9207720598018,0.07922794019822,0.4697519966045,0.5302480033955
7,6.652832452088,1.0850640062770001e-11,2.5006995569529998e-15,5.825722733252e-12,1.667043400426e-11,0.9063709098285,0.09362909017152,0.7089372726007,0.2910627273993
8,6.807000960044,1.057755338463e-11,2.855815054124e-15,6.0999457097730004e-12,1.6673417065550003e-11,0.934218886368,0.065781113632,0.752272083961,0.247727916039
9,6.832612991191,1.053141175004e-11,2.4622259258859998e-15,6.1466690351840005e-12,1.6675407368510002e-11,0.906920672028,0.09307932797203,0.7151902573211,0.2848097426789
10,6.890922915515,1.0425965088710001e-11,2.236632536058e-15,6.251375102432e-12,1.6673663896100003e-11,0.9175467851873,0.08245321481268,0.7233925970527,0.2766074029474
11,6.987460169349,1.0249560445460001e-11,2.236205300419e-15,6.428386789947e-12,1.66752969702e-11,0.9044199531077,0.09558004689228,0.7040683922622,0.2959316077378
12,7.018249314955,1.019278480372e-11,2.250411498037e-15,6.485050038336e-12,1.667500662568e-11,0.923311540669,0.07668845933106,0.7318166456751,0.2681833543249
13,7.168394141588,9.912262697946e-12,2.093015079617e-15,6.764956931994e-12,1.6673683414610002e-11,0.9162380068033,0.08376199319673,0.7150908996153,0.2849091003847
14,7.761073653743,1.667820178567e-11,1.667819850018e-11,2.971779910177e-18,6.24860828236e-18,0.9204626302391,0.07953736976094,0.483151115089,0.516848884911
15,8.091680255463,1.6678202393560002e-11,1.6678200181990002e-11,2.365335477092e-18,4.5753633280009995e-18,0.8923768383004,0.1076231616996,0.4728910418029,0.5271089581971
16,8.723732611927,1.667820393228e-11,1.6678203375160003e-11,8.064023163542e-19,1.342014915773e-18,0.9218389970582,0.07816100294178,0.4980730051642,0.5019269948358
17,8.791548571182,1.667820374401e-11,1.6678203093170003e-11,9.927061232632e-19,1.626672814721e-18,0.9069286669195,0.09307133308046,0.4904408656858,0.5095591343142
18,9.193955950172,1.6678202879430003e-11,1.667820195104e-11,1.8376095620289998e-18,2.7533325712319998e-18,0.9014605449301,0.09853945506994,0.4877563759271,0.5122436240729
19,9.277046159931,1.6678204699340002e-11,1.667820466001e-11,5.071139473883e-20,7.46270695094e-20,0.935740770768,0.06425922923206,0.4988756609126,0.5011243390874
20,9.675939233058,1.6678204132700002e-11,1.667820397217e-11,2.805028105082e-19,3.7945582163660004e-19,0.9179216771945,0.08207832280548,0.4948958802454,0.5051041197546
21,9.711981681561,1.667820392859e-11,1.6678203794e-11,1.7066173213929998e-20,2.29155722875e-20,0.9219998547848,0.07800014521521,0.4897471712682,0.5102528287318
22,9.908285613387,1.667820272188e-11,1.667820208572e-11,1.869594209245e-18,2.411907166652e-18,0.9014697227574,0.0985302772426,0.4839543929501,0.5160456070499
23,9.97584816551,1.667820164116e-11,1.667820130117e-11,9.852736871648e-20,1.253913249277e-19,0.9149490766764,0.08505092332364,0.4932734001866,0.5067265998134
24,10.4941939082,1.6678202710110002e-11,1.667820247966e-11,7.331469190952e-21,8.431466370277e-21,0.9048798713489,0.09512012865113,0.490302130442,0.5096978695581
25,10.56194950597,1.9886039780880002e-12,6.658628137156001e-16,5.437181393295e-16,6.172994866862e-16,0.9442890765773,0.05571092342269,0.987337946253,0.01266205374704
26,10.61830919196,1.8314046030090002e-12,6.418539603153001e-16,3.2467388999350004e-17,3.6470935003080005e-17,0.9441974644461,0.05580253555393,0.9760409593557,0.02395904064435
27,10.68604520495,1.6678138727070002e-11,1.6678130763010003e-11,1.320302221897e-19,1.464365901931e-19,0.9179112743809,0.08208872561913,0.4871047075203,0.5128952924797
28,10.76518692908,1.417436158092e-12,2.1778893217020001e-16,4.818370322867e-15,5.265835549343e-15,0.9038211627813,0.09617883721879,0.9648145341644,0.03518546583562
29,10.76986161536,1.404159783502e-12,2.002494065634e-16,4.26897962549e-16,4.661375655862e-16,0.9047085547516,0.09529144524854,0.9557649479321,0.04423505206795
