Mode,Frequency_GHz,Q,Total_abs_JJ_EPR,Mode_localization
1,5.570851514297,20808068296.44,9.699928149696893e-07,single-JJ localized
2,5.666259124642,6510356411.29,2.3428044554122198e-08,distributed/mixed
3,5.681751713662,3369951926.334,8.758606965958824e-08,distributed/mixed
5,5.876664594072,5263773891.509,4.6947230801335706e-07,distributed/mixed
6,5.981589543296,436444499.7904,1.0562648721269253e-05,single-JJ localized
14,7.761073653743,2592105243.606,3.7465712726486953e-07,distributed/mixed
15,8.091680255463,549454710519.6,2.743318836855571e-07,distributed/mixed
16,8.723732611927,5068649131.594,8.046519015684929e-08,distributed/mixed
17,8.791548571182,3631249857.437,9.75328484330298e-08,distributed/mixed
18,9.193955950172,39291041201.46,1.650856682685887e-07,distributed/mixed
19,9.277046159931,2711375729.252,4.474526522955874e-09,distributed/mixed
20,9.675939233058,929531110.162,2.2751599167131107e-08,distributed/mixed
21,9.711981681561,350737668694.1,1.37398321558894e-09,distributed/mixed
22,9.908285613387,604351798.7331,1.44614317052165e-07,distributed/mixed
23,9.97584816551,2218854127.471,7.51827606385691e-09,distributed/mixed
24,10.4941939082,1734893378.783,5.055380674477377e-10,distributed/mixed
25,10.56194950597,98145562.27706,0.00031033366092279765,single-JJ localized
26,10.61830919196,83310618.40916,1.991383465616357e-05,single-JJ localized
27,10.68604520495,10130624673.36,8.780151756155186e-09,distributed/mixed
29,10.76986161536,22850704.30395,0.00033186813725177226,single-JJ localized
30,10.77239100396,83336729.53856,0.0001502591057180106,single-JJ localized
33,10.8011342194,88969340.0765,2.652631037972064e-05,single-JJ localized
34,10.80613061487,401629691.0411,9.421788775027467e-05,single-JJ localized
35,10.80876323758,84754339.97625,0.0006292395322928014,single-JJ localized
36,10.82350221656,31498717.30369,0.00012197055430906157,single-JJ localized
37,10.83205792037,26250621.36473,0.000244156211437885,single-JJ localized
