Mode,Port1_Vmag_V,Port1_Imag_A,Port1_Zmag_Ohm,Port2_Vmag_V,Port2_Imag_A,Port2_Zmag_Ohm,Port3_Vmag_V,Port3_Imag_A,Port3_Zmag_Ohm,Port4_Vmag_V,Port4_Imag_A,Port4_Zmag_Ohm,Port5_Vmag_V,Port5_Imag_A,Port5_Zmag_Ohm,Port6_Vmag_V,Port6_Imag_A,Port6_Zmag_Ohm,Port7_Vmag_V,Port7_Imag_A,Port7_Zmag_Ohm,Port8_Vmag_V,Port8_Imag_A,Port8_Zmag_Ohm
1,8.173496961389601e-05,8.814582089668709e-08,927.2699350057102,0.00014096275638275207,1.5201911661447574e-07,927.2699350058527,0.0012408925983444234,1.3382215377625448e-06,927.2699350057901,0.0011387838173433811,1.228103893324824e-06,927.269935005557,9.45197642558688e-05,1.0193338604828407e-07,927.2699350053616,0.00010405013411630352,1.1221126684725053e-07,927.2699350052211,0.02771650354603641,2.9890436969544777e-05,927.2699350055211,0.004663007653612246,5.028748887004137e-06,927.2699350056869
2,0.0013418401539583515,1.406768799432483e-06,953.8455462615286,0.0012074095967664366,1.2658334480875616e-06,953.8455462609298,0.0002028044585329262,2.1261771292836536e-07,953.8455462610239,0.00013451161250941726,1.4102032874892512e-07,953.8455462609502,0.0013602208101681668,1.4260388545086574e-06,953.845546260962,0.0031874877204104194,3.3417231258300004e-06,953.8455462610258,0.0020869784357727987,2.1879626570085402e-06,953.8455462609171,0.0003567356451207904,3.739972855344808e-07,953.8455462610598
3,0.0006117756899251377,6.384398690624118e-07,958.2354103661601,0.00048162824918706297,5.026199658004644e-07,958.235410366219,3.300429363144804e-05,3.444278230005955e-08,958.2354103661066,3.9320199588853795e-05,4.103396635470366e-08,958.2354103662364,0.005125038080841445,5.348412326866023e-06,958.2354103660764,0.006698734482341645,6.990698120602058e-06,958.2354103662442,0.0016310114289269772,1.7020988906098662e-06,958.2354103659522,0.0002442952964386397,2.549428812542398e-07,958.235410366364
4,2.5069402345565643e-06,2.50969854725266e-09,998.9009386409714,2.1660471223327744e-06,2.1684303603512644e-09,998.9009386411174,9.393148624609444e-06,9.403483630107148e-09,998.9009386410145,7.829855250607755e-06,7.838470210328906e-09,998.9009386410885,1.8801917358629027e-05,1.882260455597162e-08,998.9009386410326,1.4944590175385487e-05,1.496103326894819e-08,998.9009386405932,29.85570489062,0.02988855424566,998.9009386412603,1.036418755377536,0.0010375590964885387,998.9009386406402
5,0.0009811105864192939,9.662808605161541e-07,1015.3472209883348,0.0010701563212743772,1.0539806473612002e-06,1015.3472209889956,0.0003641198552896415,3.586160948322419e-07,1015.3472209884341,0.0002635923597242704,2.5960809689094886e-07,1015.3472209882389,0.006268795450133451,6.17404107732841e-06,1015.3472209883713,0.00862243793560492,8.492107682346334e-06,1015.3472209884386,0.017636615812531183,1.7370034061211914e-05,1015.3472209887346,9.165136270623037e-05,9.026602999613082e-08,1015.3472209884376
6,0.00043793746122753756,4.1802837193308124e-07,1047.6261675789876,0.0004986182019845027,4.7595050354350393e-07,1047.6261675788455,0.0009307545410492891,8.884414783188896e-07,1047.6261675788307,0.0009601476242928136,9.164983216406052e-07,1047.6261675788699,0.0009429348361629016,9.000680446365608e-07,1047.6261675789744,0.0012251885113847539,1.1694901762680562e-06,1047.6261675787955,0.09911355262809597,9.460774815996527e-05,1047.6261675789194,0.011196783107146226,1.0687765782924666e-05,1047.626167578896
7,7.596857999312627e-05,5.911376840809726e-08,1285.1249723866408,8.462836365922451e-05,6.5852244316798e-08,1285.1249723866583,33.97811311836569,0.026439540004634426,1285.1249723864287,3.260732364029804,0.002537288150251973,1285.1249723867536,7.27877118335274e-06,5.663862534578723e-09,1285.1249723867343,2.4225344024234477e-05,1.88505744925745e-08,1285.1249723862354,1.2930645542334695e-05,1.006178062069624e-08,1285.1249723868398,4.721336222367182e-05,3.6738343148045426e-08,1285.1249723868862
8,9.297876870433229e-06,6.893044689887106e-09,1348.8780776475003,0.0005087669058996297,3.77177829731623e-07,1348.8780776474523,6.977735241470235e-05,5.1729918048926186e-08,1348.878077647579,3.6489105216449833e-05,2.7051448030115058e-08,1348.8780776477581,8.167970869675627e-06,6.055381138613321e-09,1348.8780776474935,3.2342852626168646e-05,2.3977595278718836e-08,1348.8780776475255,1.2124666501600696,0.0008988704540850583,1348.878077647145,34.90729245173013,0.02587876030471906,1348.8780776475098
9,2.75848330288905,0.002028493186832772,1359.8681626316243,34.95317692043184,0.025703357046601347,1359.8681626318362,4.615808779615522e-05,3.394306085291807e-08,1359.8681626317455,0.00019720071577386064,1.4501458390808044e-07,1359.8681626315538,1.9090859436213198e-05,1.4038757550782909e-08,1359.8681626315674,5.11641626554317e-05,3.7624355111323255e-08,1359.8681626315388,8.058870770201738e-06,5.926214754969674e-09,1359.8681626317434,0.0001722279071019594,1.2665044438475334e-07,1359.8681626315151
10,4.8826679802677105e-05,3.5245363806216695e-08,1385.3362408494957,0.00045996098498922265,3.320211883774937e-07,1385.3362408493851,3.3775150917578602,0.002438047162966514,1385.336240849517,35.19754837968019,0.025407224139385103,1385.336240849648,2.200342774040742e-05,1.588309544757901e-08,1385.3362408497837,0.00020334920885221292,1.4678689754596202e-07,1385.3362408490177,3.6675074050851833e-06,2.647377074923665e-09,1385.336240849231,0.00030921922103409224,2.2320878636980314e-07,1385.3362408493658
