Mode,Frequency_GHz,Im_Frequency_GHz,Q_factor,Error_Backward,Error_Absolute
1,5.570851514297,-1.338627746443e-10,20808068296.44,1.717941423681e-19,242.4946532504
2,5.666259124642,-4.351727283944e-10,6510356411.29,2.592793712278e-19,365.9837311994
3,5.681751713662,8.430018940718e-10,3369951926.334,2.11359681586e-19,298.3430749846
4,5.821776500398,1.849373546022e-09,1573986097.325,2.266847161265e-19,319.9750054299
5,5.876664594072,5.582178029675e-10,5263773891.509,1.861898630285e-19,262.8148180974
6,5.981589543296,-6.852634809429e-09,436444499.7904,1.6644892740950002e-19,234.9496576724
7,6.652832452088,1.861777337291e-08,178668853.6495,1.223307847571e-19,172.6750448511
8,6.807000960044,1.829077516728e-08,186077432.4158,1.367145158212e-19,192.9782858745
9,6.832612991191,-1.696500705063e-09,2013737150.477,2.269387064876e-19,320.3335235748
10,6.890922915515,-9.118469576238e-09,377855234.2529,2.731732716263e-19,385.5955557432
11,6.987460169349,-4.224623515187e-09,826992055.5322,5.311717860507001e-19,749.7713038428
12,7.018249314955,1.68956838248e-08,207693556.1688,2.607704628583e-19,368.0884698267
13,7.168394141588,2.496882387806e-09,1435468922.484,9.1639249677e-19,1293.526529854
14,7.761073653743,-1.497059903892e-09,2592105243.606,6.13286019431e-19,865.6789961124
15,8.091680255463,7.363373268573e-12,549454710519.6,3.474672571432e-19,490.4646394077
16,8.723732611927,-8.605579500019e-10,5068649131.594,2.79293785525e-19,394.2349185898
17,8.791548571182,-1.210540298291e-09,3631249857.437,8.43925407682e-19,1191.236187999
18,9.193955950172,1.169981205516e-10,39291041201.46,7.402044491940001e-19,1044.829695238
19,9.277046159931,-1.710763665073e-09,2711375729.252,6.029134005758e-19,851.0376089767
20,9.675939233058,-5.204742007705e-09,929531110.162,3.465899246453e-18,4892.262479552
21,9.711981681561,1.384507931201e-11,350737668694.1,1.807239463107e-18,2550.994471661
22,9.908285613387,-8.197448600432e-09,604351798.7331,7.908977086188001e-19,1116.385362129
23,9.97584816551,2.247972960909e-09,2218854127.471,1.545647965239e-18,2181.74707631
24,10.4941939082,3.024449236057e-09,1734893378.783,1.072131232816e-18,1513.358303876
25,10.56194950597,-5.380757550787e-08,98145562.27706,1.4223714530349999e-18,2007.737097675
26,10.61830919196,6.372722586099e-08,83310618.40916,5.0035087332410006e-17,70626.62907818
27,10.68604520495,-5.274129458696e-10,10130624673.36,4.437066252497e-16,626310.5535053
28,10.76518692908,-1.442077274693e-09,3732527763.245,9.266360931242e-19,1307.985798215
29,10.76986161536,2.356571043085e-07,22850704.30395,2.2576419151909998e-18,3186.756467227
30,10.77239100396,-6.463171199308e-08,83336729.53856,1.085000857463e-18,1531.524320223
31,10.79959315776,-7.096065620328e-08,76095640.42662,1.1537502417149999e-18,1628.566966114
32,10.80061726084,-2.590643698851e-07,20845431.70801,9.051657077342e-19,1277.679446709
33,10.8011342194,-6.070144057556e-08,88969340.0765,8.739567820385e-19,1233.626736167
34,10.80613061487,1.345285328241e-08,401629691.0411,5.580635595658e-19,787.730173518
35,10.80876323758,6.37652493112e-08,84754339.97625,3.4222471340800003e-19,483.0645689982
36,10.82350221656,-1.718086186211e-07,31498717.30369,1.801233615275e-18,2542.516966025
37,10.83205792037,-2.063200289599e-07,26250621.36473,3.777489916994e-19,533.2085811375
