Mode,JJ1,JJ2,JJ3,JJ4,JJ5,JJ6,JJ7,JJ8
1,-8.173416227917e-12,-2.43106500322e-11,-1.883892828771e-09,-1.58661069966e-09,1.093032472149e-11,-1.324564445674e-11,9.398632978377e-07,2.660235356812e-08
2,-2.129313832074e-09,-1.724040066244e-09,-4.863994829750001e-11,-2.1397235455100002e-11,2.188048465584e-09,-1.201531465173e-08,-5.150792218962e-09,1.504981357756e-10
3,4.40200871762e-10,2.728288994398e-10,1.281171744232e-12,-1.818435472377e-12,3.089304099632e-08,-5.277788656365e-08,3.128819256729e-09,7.019346447083e-11
4,7.040644833103e-15,-5.256059546005e-15,9.884321523189e-14,-6.868026189560999e-14,3.9603061000109997e-13,2.502029901495e-13,0.9985714254427,-0.001203358424759
5,1.058290957874e-09,1.259109799583e-09,-1.457665532296e-10,7.638969881558001e-11,-4.320533331706e-08,-8.17389991531e-08,-3.419791833186e-07,9.23521509484e-12
6,2.035269606919e-10,2.638359739101e-10,9.193229077038e-10,9.783038841649e-10,9.435417377675e-10,1.592955288216e-09,-1.042470660671e-05,-1.330406278068e-07
7,-4.951465784135e-12,6.144657099746e-12,-0.9905223531757,0.009122126135383,-4.545502480803e-14,5.035071839994999e-13,-1.434518583967e-13,1.9124743682430002e-12
8,7.084436366571999e-14,2.121169774008e-10,-3.989943043679e-12,1.09109898057e-12,-5.467214117805e-14,8.572240879765999e-13,-0.001204695605612,0.9985505415273
9,0.006188726256049,0.9936509784584,1.732830852576e-12,3.1628422238800004e-11,-2.964227377325e-13,-2.1290815472330002e-12,5.282128196742e-14,-2.4125015569830002e-11
10,1.906395865678e-12,1.691767553444e-10,-0.00912206782874,-0.9906574953578,-3.871501068687e-13,-3.3066153297680005e-11,-1.0755750007049999e-14,7.645953707382001e-11
11,-3.3625302061200005e-11,-1.1287045347270001e-11,1.6511203064579997e-13,1.5614146041670003e-11,-0.02637677115508,0.9734643204232,-4.850078329696e-13,3.166181562189e-12
12,0.9936397530882,-0.006190667205794,-4.910809042536e-12,-2.606144380085e-12,-2.7155146663850003e-11,-3.159013475926e-10,-2.462949308644e-14,-6.487664873415e-12
13,1.432226163249e-11,-8.026900064054e-14,-5.043360861224999e-13,-2.3034484565409997e-13,0.9734025335503,0.02638542777248,-1.9310189959139998e-13,9.890298169267999e-14
14,-2.9692769483080003e-11,-6.503978463537e-12,-1.350043579704e-07,-2.3879714098e-07,-1.42876385977e-10,-5.933906674199001e-11,-1.706002438795e-10,4.466158699244e-10
15,1.439105185371e-07,1.204609234942e-07,-5.237453752189e-09,-3.848718936761e-09,4.060277490816e-10,2.884981782055e-10,6.037804743853e-11,-1.193649905815e-10
16,-1.276242905261e-10,2.515665013352e-10,-2.463209885895e-10,1.647239341745e-10,2.271763561185e-08,-8.047656478081e-09,-7.190216379723e-09,4.171944597257e-08
17,-1.942537992355e-08,-5.042520802045e-08,1.892746304735e-08,-8.483880704296e-09,-9.243141148125e-11,6.045759288566e-11,6.254694958882001e-11,-5.5480783428070004e-11
18,9.149540871857e-10,1.281949460023e-09,5.195282059828e-08,-3.678094745845e-08,-1.092263436152e-09,-6.07565730398e-10,3.140320644689e-08,-4.105196105121e-08
19,-1.4625495862080002e-11,1.266074264093e-11,-2.036591606929e-10,1.478088262723e-10,-4.666413994738e-12,-1.417691268926e-12,2.48177591058e-09,-1.607912281644e-09
20,-1.680687785266e-08,5.831651614031e-09,-5.3367031658670006e-11,4.213385930387e-12,-1.1062169816950001e-11,6.374966881887e-12,4.0567637318239997e-13,-3.764646977903e-11
21,3.687388756586e-10,1.940944810379e-10,1.620270539047e-11,1.665211272898e-11,3.516520216913e-10,2.039909735069e-10,3.512273132079e-11,1.87529314254e-10
22,2.791725935413e-08,-3.967070381189e-08,-8.162365802182e-09,-6.068799312099e-09,3.271035720278e-08,-2.036871736345e-08,-4.705242523845e-09,5.010871681789e-09
23,-2.215272364822e-10,-2.44131870482e-10,-1.61242820173e-09,-5.024426959821e-09,-2.00144238339e-10,-1.026434771981e-10,-6.999027986268001e-11,4.298379994193e-11
24,-3.899348127482e-12,-8.858187321528e-14,-2.9103363179170004e-11,6.683833340215001e-11,-7.585195574641e-14,-3.421786657674e-12,2.197175605428e-10,1.823932417095e-10
25,-5.14397908223e-13,-3.9431608282779995e-13,1.742615004436e-12,-1.307866796896e-15,1.2758500574629998e-13,-5.434793032070999e-13,-0.0003103336053888,-5.221029644461e-11
26,-6.209364451670999e-14,5.49692576232e-15,-1.1175256932879999e-13,6.89766782049e-15,-2.0945515739209998e-14,-6.006149106613e-14,1.986562855365e-05,-4.820583526576e-08
27,-1.83850563864e-11,2.2795556120180003e-11,4.8815743987970007e-11,1.375936815082e-12,2.645391700978e-09,-6.032152966321e-09,8.751286434854e-12,-2.4835091117e-12
28,-8.207709092584999e-13,1.174801303527e-12,0.003702456442471,-6.946830387594e-11,-3.652281956661e-13,1.416160876805e-12,-7.555731060462e-15,2.52794639607e-12
29,7.900127414726e-13,2.359746977062e-10,-4.252678737633e-09,2.1741130262519997e-13,-2.769296983988e-08,-0.0003318359543591,-2.038952085423e-13,5.807779414479e-14
30,-1.006400610304e-09,0.000150258032084,4.3613016680470006e-11,-5.475191076671e-12,-5.734840231766e-14,-1.3670789454240002e-11,-2.5399081825709998e-14,4.391655601049e-12
31,1.0719290817490001e-11,3.96060315956e-11,2.156845415026e-11,6.080219103744e-09,-4.3376558312349997e-13,-4.629131476338e-12,3.207167441124e-09,-0.001233890285873
32,-1.4074683949e-10,-8.608395312912e-11,-1.171202105229e-11,-0.00172418961335,-1.0440105436019999e-13,-1.671998364411e-12,-1.221758161584e-13,1.200212407102e-08
33,3.476974175551e-11,-2.4609963899940002e-11,2.610672620339e-05,4.17798365583e-07,2.0569359764859998e-14,7.081511844349e-13,-6.229494310117e-14,1.725640026497e-09
34,-1.043343051871e-09,-9.421659726026e-05,8.254791214198e-12,-2.339074758119e-10,3.4674166383789996e-13,-1.219376178351e-12,-6.151519265855e-14,-3.357062726586e-12
35,0.0006292384657075,8.857207191053e-10,-1.879597967604e-11,-3.7987201547010005e-11,3.6447506817049996e-13,-1.481215435454e-12,-3.384839472173e-14,1.222018622041e-10
36,6.963406174181e-13,-3.171262393568e-14,-1.3844219204840002e-11,2.759384053539e-13,5.5918993497360004e-11,0.0001219704732444,4.109480384483e-15,1.02933477239e-11
37,8.201396986483e-12,-1.530985139497e-12,7.244278942255e-12,-8.831522953084999e-14,1.331100282437e-12,3.154943478836e-13,-1.794571714028e-09,0.0002441543981546
