        m,               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A),               Re{I[3]} (A),               Im{I[3]} (A),               Re{I[4]} (A),               Im{I[4]} (A),               Re{I[5]} (A),               Im{I[5]} (A),               Re{I[6]} (A),               Im{I[6]} (A),               Re{I[7]} (A),               Im{I[7]} (A),               Re{I[8]} (A),               Im{I[8]} (A)
 1.00e+00,        -8.856228281677e-09,        +8.769978883768e-08,        -1.355982700569e-08,        +1.514131530212e-07,        -2.814397325615e-09,        +1.338218578297e-06,        -1.273339052017e-08,        +1.228037879532e-06,        +8.583659066896e-09,        -1.015713344812e-07,        -9.708782739161e-09,        -1.117904644645e-07,        +4.448746069743e-09,        -2.989043663848e-05,        +1.810528721757e-08,        -5.028716294157e-06
 2.00e+00,        -1.558401177529e-08,        -1.406682477901e-06,        -6.753216604469e-09,        -1.265815433767e-06,        -5.495303092950e-08,        -2.053934182065e-07,        -3.753586010812e-09,        -1.409703646605e-07,        +4.136252493814e-09,        +1.426032855857e-06,        -5.606796068233e-09,        +3.341718422241e-06,        -5.761268015179e-09,        +2.187955071809e-06,        +1.534535990698e-08,        +3.736823377101e-07
 3.00e+00,        +7.284728675443e-11,        -6.384398649064e-07,        +4.097230704133e-10,        -5.026197988025e-07,        +1.274047489541e-08,        +3.199977424934e-08,        -1.142693603276e-08,        +3.941080470762e-08,        +4.830017055057e-08,        +5.348194229055e-06,        -4.129100769312e-09,        +6.990696901162e-06,        +2.329231949884e-09,        +1.702097296894e-06,        +9.605140729185e-09,        +2.547618770024e-07
 4.00e+00,        +1.675544007223e-10,        -2.504099103646e-09,        -9.297903349753e-11,        -2.166436042680e-09,        +3.421012249089e-10,        -9.397258703133e-09,        -4.375584592621e-09,        -6.503527866553e-09,        +4.814638191090e-09,        -1.819642001492e-08,        +6.643578734954e-10,        -1.494627529154e-08,        +4.342083923119e-10,        -2.988855424566e-02,        -2.295316400246e-09,        -1.037559096486e-03
 5.00e+00,        +3.725635790506e-09,        -9.662736781253e-07,        +5.198779307836e-09,        -1.053967825745e-06,        -2.653776709649e-08,        -3.576328429972e-07,        +7.439666733959e-08,        -2.487197214941e-07,        -5.910774227784e-08,        -6.173758134179e-06,        -7.766482152627e-09,        -8.492104130916e-06,        -2.092643038987e-08,        -1.737002145572e-05,        +1.657198525175e-08,        +8.873176137144e-08
 6.00e+00,        +2.483644311372e-07,        +3.362481659235e-07,        +1.892811726412e-07,        +4.366938510065e-07,        +4.410788960957e-07,        +7.712183010124e-07,        +2.605613525384e-07,        +8.786790967887e-07,        +5.421426128989e-08,        +8.984338032647e-07,        +7.276737585363e-08,        +1.167224135031e-06,        -1.383706002241e-07,        -9.460764697146e-05,        -4.666778597622e-07,        +1.067757225243e-05
 7.00e+00,        -6.431003259758e-09,        +5.876291187883e-08,        +1.185741361954e-08,        +6.477592009238e-08,        -1.530224462801e-08,        +2.643954000463e-02,        +1.253700988177e-08,        +2.537288150221e-03,        -3.613941969463e-09,        +4.361050590392e-09,        +1.459548153264e-08,        -1.192963023444e-08,        -8.683702480908e-10,        -1.002423874273e-08,        +3.672881201984e-08,        -8.367944041362e-10
 8.00e+00,        +3.063676421500e-09,        +6.174783549334e-09,        +1.395365893614e-08,        -3.769196341972e-07,        -2.104785181618e-08,        -4.725433689380e-08,        +2.629308395273e-08,        -6.360391244311e-09,        -4.598328073811e-09,        +3.939926352037e-09,        +5.641453355297e-10,        -2.397095774871e-08,        -2.599342058373e-09,        -8.988704540813e-04,        +6.789446793985e-08,        +2.587876030463e-02
 9.00e+00,        +1.769818217734e-09,        -2.028493186832e-03,        +8.327770422289e-09,        -2.570335704660e-02,        +1.493087008077e-08,        +3.048279020523e-08,        +9.253838261370e-10,        -1.450116312949e-07,        -1.760765989117e-09,        -1.392790065664e-08,        -5.509777543924e-11,        -3.762431476822e-08,        +2.813274833063e-10,        +5.919533441848e-09,        -1.061079093178e-08,        -1.262051749282e-07
 1.00e+01,        +1.752161319882e-08,        -3.058150978522e-08,        +5.793178501991e-08,        +3.269280927299e-07,        -2.202816314476e-08,        +2.438047162867e-03,        -5.751825214945e-08,        -2.540722413932e-02,        -7.071191500011e-09,        -1.422219996228e-08,        -4.428524685717e-08,        -1.399471693246e-07,        -2.241018984184e-09,        -1.409410972484e-09,        +5.250675688868e-08,        +2.169451607981e-07
