Mode,Frequency_GHz,Frequency_MHz,Im_Frequency_GHz,Q_factor,Error_Backward,Error_Absolute,Dominant_Qubit,Mode_Purity,Dominant_JJ,Dominant_JJ_Participation
1,5.570851514297,5570.851514297,-1.338627746443e-10,20808068296.44,1.717941423681e-19,242.4946532504,Q4,0.9963637219684152,JJ7,9.398632978377e-07
2,5.666259124642,5666.259124642,-4.351727283944e-10,6510356411.29,2.592793712278e-19,365.9837311994,Q3,0.6062547424520284,JJ6,1.201531465173e-08
3,5.681751713662,5681.751713662,8.430018940718e-10,3369951926.334,2.11359681586e-19,298.3430749846,Q3,0.9552994886648662,JJ6,5.277788656365e-08
4,5.821776500398,5821.776500398,1.849373546022e-09,1573986097.325,2.266847161265e-19,319.9750054299,Q4,0.9999999999991738,JJ7,0.9985714254427
5,5.876664594072,5876.664594072,5.582178029675e-10,5263773891.509,1.861898630285e-19,262.8148180974,Q4,0.7284528026389256,JJ7,3.419791833186e-07
6,5.981589543296,5981.589543296,-6.852634809429e-09,436444499.7904,1.6644892740950002e-19,234.9496576724,Q4,0.9995359604506601,JJ7,1.042470660671e-05
7,6.652832452088,6652.832452088,1.861777337291e-08,178668853.6495,1.223307847571e-19,172.6750448511,Q2,0.9999999999862941,JJ3,0.9905223531757
8,6.807000960044,6807.000960044,1.829077516728e-08,186077432.4158,1.367145158212e-19,192.9782858745,Q4,0.9999999997817658,JJ8,0.9985505415273
9,6.832612991191,6832.612991190999,-1.696500705063e-09,2013737150.477,2.269387064876e-19,320.3335235748,Q1,0.9999999999400258,JJ2,0.9936509784584
10,6.890922915515,6890.922915515,-9.118469576238e-09,377855234.2529,2.731732716263e-19,385.5955557432,Q2,0.9999999997189313,JJ4,0.9906574953578
11,6.987460169349,6987.460169349,-4.224623515187e-09,826992055.5322,5.311717860507001e-19,749.7713038428,Q3,0.999999999935647,JJ6,0.9734643204232
12,7.018249314955,7018.249314955,1.68956838248e-08,207693556.1688,2.607704628583e-19,368.0884698267,Q1,0.9999999996428536,JJ1,0.9936397530882
13,7.168394141588,7168.394141588,2.496882387806e-09,1435468922.484,9.1639249677e-19,1293.526529854,Q3,0.9999999999845676,JJ5,0.9734025335503
14,7.761073653743,7761.073653743,-1.497059903892e-09,2592105243.606,6.13286019431e-19,865.6789961124,Q2,0.9977162363873446,JJ4,2.3879714098e-07
