Mode,Frequency_GHz,Frequency_MHz,Dominant_Qubit,Mode_Purity,Dominant_JJ,Dominant_JJ_Participation
1,5.570851514297,5570.851514297,Q4,0.9963637219684152,JJ7,9.398632978377e-07
2,5.666259124642,5666.259124642,Q3,0.6062547424520284,JJ6,1.201531465173e-08
3,5.681751713662,5681.751713662,Q3,0.9552994886648662,JJ6,5.277788656365e-08
4,5.821776500398,5821.776500398,Q4,0.9999999999991738,JJ7,0.9985714254427
5,5.876664594072,5876.664594072,Q4,0.7284528026389256,JJ7,3.419791833186e-07
6,5.981589543296,5981.589543296,Q4,0.9995359604506601,JJ7,1.042470660671e-05
7,6.652832452088,6652.832452088,Q2,0.9999999999862941,JJ3,0.9905223531757
8,6.807000960044,6807.000960044,Q4,0.9999999997817658,JJ8,0.9985505415273
9,6.832612991191,6832.612991190999,Q1,0.9999999999400258,JJ2,0.9936509784584
10,6.890922915515,6890.922915515,Q2,0.9999999997189313,JJ4,0.9906574953578
11,6.987460169349,6987.460169349,Q3,0.999999999935647,JJ6,0.9734643204232
12,7.018249314955,7018.249314955,Q1,0.9999999996428536,JJ1,0.9936397530882
13,7.168394141588,7168.394141588,Q3,0.9999999999845676,JJ5,0.9734025335503
14,7.761073653743,7761.073653743,Q2,0.9977162363873446,JJ4,2.3879714098e-07
15,8.091680255463,8091.680255463,Q1,0.9636920013800733,JJ1,1.439105185371e-07
16,8.723732611927,8723.732611927,Q4,0.6078362861872855,JJ8,4.171944597257e-08
17,8.791548571182,8791.548571182,Q1,0.7161750022297603,JJ2,5.042520802045e-08
18,9.193955950172,9193.955950172001,Q2,0.537501340893888,JJ3,5.195282059828e-08
19,9.277046159931,9277.046159931,Q4,0.9139935077471281,JJ7,2.48177591058e-09
20,9.675939233058,9675.939233058,Q1,0.9950302526161126,JJ1,1.680687785266e-08
21,9.711981681561,9711.981681561,Q1,0.4096362679767153,JJ1,3.687388756586e-10
22,9.908285613387,9908.285613387,Q1,0.4673670252277981,JJ2,3.967070381189e-08
23,9.97584816551,9975.84816551,Q2,0.8827628973956914,JJ4,5.024426959821e-09
24,10.4941939082,10494.193908199999,Q4,0.795411519220301,JJ7,2.197175605428e-10
25,10.56194950597,10561.94950597,Q4,0.9999999892899109,JJ7,0.0003103336053888
26,10.61830919196,10618.30919196,Q4,0.9999999865797914,JJ7,1.986562855365e-05
27,10.68604520495,10686.04520495,Q3,0.9883137453991891,JJ6,6.032152966321e-09
28,10.76518692908,10765.18692908,Q2,0.9999999982950607,JJ3,0.003702456442471
29,10.76986161536,10769.86161536,Q3,0.9999864707625457,JJ6,0.0003318359543591
30,10.77239100396,10772.39100396,Q1,0.9999995525502433,JJ2,0.000150258032084
31,10.79959315776,10799.59315776,Q4,0.9999950099866094,JJ8,0.001233890285873
32,10.80061726084,10800.61726084,Q2,0.9999929063680121,JJ4,0.00172418961335
33,10.8011342194,10801.134219399999,Q2,0.9999326777557047,JJ3,2.610672620339e-05
34,10.80613061487,10806.13061487,Q1,0.9999973768573177,JJ2,9.421659726026e-05
35,10.80876323758,10808.763237579999,Q1,0.9999997125664027,JJ1,0.0006292384657075
36,10.82350221656,10823.50221656,Q3,0.9999997938382079,JJ6,0.0001219704732444
37,10.83205792037,10832.05792037,Q4,0.9999999233622983,JJ8,0.0002441543981546
