Mode,Frequency_GHz,Delta_f_GHz,Delta_f_MHz
1,5.570851514297,,
2,5.666259124642,0.09540761034500012,95.40761034500011
3,5.681751713662,0.015492589019999947,15.492589019999947
4,5.821776500398,0.14002478673600027,140.02478673600027
5,5.876664594072,0.05488809367400016,54.88809367400016
6,5.981589543296,0.10492494922399942,104.92494922399942
7,6.652832452088,0.6712429087920002,671.2429087920002
8,6.807000960044,0.15416850795600023,154.16850795600024
9,6.832612991191,0.025612031146999392,25.612031146999392
10,6.890922915515,0.05830992432399995,58.30992432399995
11,6.987460169349,0.09653725383400058,96.53725383400058
12,7.018249314955,0.030789145605999657,30.789145605999657
13,7.168394141588,0.15014482663300033,150.14482663300032
14,7.761073653743,0.5926795121549997,592.6795121549997
15,8.091680255463,0.33060660172000045,330.60660172000047
16,8.723732611927,0.6320523564639995,632.0523564639994
17,8.791548571182,0.06781595925500028,67.81595925500028
18,9.193955950172,0.40240737899000045,402.40737899000044
19,9.277046159931,0.08309020975899983,83.09020975899983
20,9.675939233058,0.39889307312699884,398.89307312699884
21,9.711981681561,0.0360424485030002,36.0424485030002
22,9.908285613387,0.1963039318259998,196.30393182599983
23,9.97584816551,0.06756255212300033,67.56255212300033
24,10.4941939082,0.5183457426900002,518.3457426900002
25,10.56194950597,0.06775559777000062,67.75559777000062
26,10.61830919196,0.05635968598999952,56.35968598999952
27,10.68604520495,0.0677360129900002,67.7360129900002
28,10.76518692908,0.07914172413000031,79.14172413000031
29,10.76986161536,0.0046746862799995625,4.6746862799995625
30,10.77239100396,0.0025293885999992938,2.5293885999992938
31,10.79959315776,0.027202153800001128,27.202153800001128
32,10.80061726084,0.0010241030799988948,1.0241030799988948
33,10.8011342194,0.0005169585600004467,0.5169585600004467
34,10.80613061487,0.004996395470000081,4.996395470000081
35,10.80876323758,0.0026326227099993105,2.6326227099993105
36,10.82350221656,0.014738978980000539,14.738978980000539
37,10.83205792037,0.008555703809999926,8.555703809999926
