Mode,Frequency_GHz,Im_Frequency_GHz,Q_factor,Error_Backward,Error_Absolute,p[1],p[2],p[3],p[4],p[5],p[6],p[7],p[8],Dominant_EPR_Channel,Dominant_EPR_Participation,Total_Abs_EPR,EPR_Purity,Adjacent_spacing_MHz
1,5.570851514297,-1.338627746443e-10,20808068296.44,1.717941423681e-19,242.4946532504,-8.173416227917e-12,-2.43106500322e-11,-1.883892828771e-09,-1.58661069966e-09,1.093032472149e-11,-1.324564445674e-11,9.398632978377e-07,2.660235356812e-08,p[7],9.398632978377e-07,9.699928149696893e-07,0.9689384120510925,
2,5.666259124642,-4.351727283944e-10,6510356411.29,2.592793712278e-19,365.9837311994,-2.129313832074e-09,-1.724040066244e-09,-4.863994829750001e-11,-2.1397235455100002e-11,2.188048465584e-09,-1.201531465173e-08,-5.150792218962e-09,1.504981357756e-10,p[6],1.201531465173e-08,2.34280445541222e-08,0.5128603295922913,95.40761034500011
3,5.681751713662,8.430018940718e-10,3369951926.334,2.11359681586e-19,298.3430749846,4.40200871762e-10,2.728288994398e-10,1.281171744232e-12,-1.818435472377e-12,3.089304099632e-08,-5.277788656365e-08,3.128819256729e-09,7.019346447083e-11,p[6],5.277788656365e-08,8.758606965958824e-08,0.602583113602156,15.492589019999947
4,5.821776500398,1.849373546022e-09,1573986097.325,2.266847161265e-19,319.9750054299,7.040644833103e-15,-5.256059546005e-15,9.884321523189e-14,-6.868026189560999e-14,3.9603061000109997e-13,2.502029901495e-13,0.9985714254427,-0.001203358424759,p[7],0.9985714254427,0.999774783868285,0.9987963704976344,140.02478673600027
5,5.876664594072,5.582178029675e-10,5263773891.509,1.861898630285e-19,262.8148180974,1.058290957874e-09,1.259109799583e-09,-1.457665532296e-10,7.638969881558001e-11,-4.320533331706e-08,-8.17389991531e-08,-3.419791833186e-07,9.23521509484e-12,p[7],3.419791833186e-07,4.69472308013357e-07,0.7284331311589741,54.88809367400016
6,5.981589543296,-6.852634809429e-09,436444499.7904,1.6644892740950002e-19,234.9496576724,2.035269606919e-10,2.638359739101e-10,9.193229077038e-10,9.783038841649e-10,9.435417377675e-10,1.592955288216e-09,-1.042470660671e-05,-1.330406278068e-07,p[7],1.042470660671e-05,1.0562648721269253e-05,0.986940575399285,104.92494922399942
7,6.652832452088,1.861777337291e-08,178668853.6495,1.223307847571e-19,172.6750448511,-4.951465784135e-12,6.144657099746e-12,-0.9905223531757,0.009122126135383,-4.545502480803e-14,5.035071839994999e-13,-1.434518583967e-13,1.9124743682430002e-12,p[3],0.9905223531757,0.999644479324784,0.9908746295930674,671.2429087920002
8,6.807000960044,1.829077516728e-08,186077432.4158,1.367145158212e-19,192.9782858745,7.084436366571999e-14,2.121169774008e-10,-3.989943043679e-12,1.09109898057e-12,-5.467214117805e-14,8.572240879765999e-13,-0.001204695605612,0.9985505415273,p[8],0.9985505415273,0.9997552373510928,0.9987950092394767,154.16850795600024
9,6.832612991191,-1.696500705063e-09,2013737150.477,2.269387064876e-19,320.3335235748,0.006188726256049,0.9936509784584,1.732830852576e-12,3.1628422238800004e-11,-2.964227377325e-13,-2.1290815472330002e-12,5.282128196742e-14,-2.4125015569830002e-11,p[2],0.9936509784584,0.9998397047744138,0.9938102815016633,25.612031146999392
10,6.890922915515,-9.118469576238e-09,377855234.2529,2.731732716263e-19,385.5955557432,1.906395865678e-12,1.691767553444e-10,-0.00912206782874,-0.9906574953578,-3.871501068687e-13,-3.3066153297680005e-11,-1.0755750007049999e-14,7.645953707382001e-11,p[4],0.9906574953578,0.9997795634675467,0.9908759206098308,58.30992432399995
11,6.987460169349,-4.224623515187e-09,826992055.5322,5.311717860507001e-19,749.7713038428,-3.3625302061200005e-11,-1.1287045347270001e-11,1.6511203064579997e-13,1.5614146041670003e-11,-0.02637677115508,0.9734643204232,-4.850078329696e-13,3.166181562189e-12,p[6],0.9734643204232,0.9998410916426228,0.9736190366250213,96.53725383400058
12,7.018249314955,1.68956838248e-08,207693556.1688,2.607704628583e-19,368.0884698267,0.9936397530882,-0.006190667205794,-4.910809042536e-12,-2.606144380085e-12,-2.7155146663850003e-11,-3.159013475926e-10,-2.462949308644e-14,-6.487664873415e-12,p[1],0.9936397530882,0.9998304206510797,0.9938082824496893,30.789145605999657
13,7.168394141588,2.496882387806e-09,1435468922.484,9.1639249677e-19,1293.526529854,1.432226163249e-11,-8.026900064054e-14,-5.043360861224999e-13,-2.3034484565409997e-13,0.9734025335503,0.02638542777248,-1.9310189959139998e-13,9.890298169267999e-14,p[5],0.9734025335503,0.9997879613382092,0.9736089762947411,150.14482663300032
14,7.761073653743,-1.497059903892e-09,2592105243.606,6.13286019431e-19,865.6789961124,-2.9692769483080003e-11,-6.503978463537e-12,-1.350043579704e-07,-2.3879714098e-07,-1.42876385977e-10,-5.933906674199001e-11,-1.706002438795e-10,4.466158699244e-10,p[4],2.3879714098e-07,3.746571272648696e-07,0.6373751454384551,592.6795121549997
15,8.091680255463,7.363373268573e-12,549454710519.6,3.474672571432e-19,490.4646394077,1.439105185371e-07,1.204609234942e-07,-5.237453752189e-09,-3.848718936761e-09,4.060277490816e-10,2.884981782055e-10,6.037804743853e-11,-1.193649905815e-10,p[1],1.439105185371e-07,2.743318836855571e-07,0.5245854641600907,330.60660172000047
16,8.723732611927,-8.605579500019e-10,5068649131.594,2.79293785525e-19,394.2349185898,-1.276242905261e-10,2.515665013352e-10,-2.463209885895e-10,1.647239341745e-10,2.271763561185e-08,-8.047656478081e-09,-7.190216379723e-09,4.171944597257e-08,p[8],4.171944597257e-08,8.04651901568493e-08,0.5184781877883723,632.0523564639994
17,8.791548571182,-1.210540298291e-09,3631249857.437,8.43925407682e-19,1191.236187999,-1.942537992355e-08,-5.042520802045e-08,1.892746304735e-08,-8.483880704296e-09,-9.243141148125e-11,6.045759288566e-11,6.254694958882001e-11,-5.5480783428070004e-11,p[2],5.042520802045e-08,9.75328484330298e-08,0.517007437295078,67.81595925500028
18,9.193955950172,1.169981205516e-10,39291041201.46,7.402044491940001e-19,1044.829695238,9.149540871857e-10,1.281949460023e-09,5.195282059828e-08,-3.678094745845e-08,-1.092263436152e-09,-6.07565730398e-10,3.140320644689e-08,-4.105196105121e-08,p[3],5.195282059828e-08,1.650856682685887e-07,0.3147021854965299,402.40737899000044
19,9.277046159931,-1.710763665073e-09,2711375729.252,6.029134005758e-19,851.0376089767,-1.4625495862080002e-11,1.266074264093e-11,-2.036591606929e-10,1.478088262723e-10,-4.666413994738e-12,-1.417691268926e-12,2.48177591058e-09,-1.607912281644e-09,p[7],2.48177591058e-09,4.474526522955874e-09,0.5546454798843248,83.09020975899983
20,9.675939233058,-5.204742007705e-09,929531110.162,3.465899246453e-18,4892.262479552,-1.680687785266e-08,5.831651614031e-09,-5.3367031658670006e-11,4.213385930387e-12,-1.1062169816950001e-11,6.374966881887e-12,4.0567637318239997e-13,-3.764646977903e-11,p[1],1.680687785266e-08,2.2751599167131104e-08,0.7387119353324686,398.89307312699884
21,9.711981681561,1.384507931201e-11,350737668694.1,1.807239463107e-18,2550.994471661,3.687388756586e-10,1.940944810379e-10,1.620270539047e-11,1.665211272898e-11,3.516520216913e-10,2.039909735069e-10,3.512273132079e-11,1.87529314254e-10,p[1],3.687388756586e-10,1.37398321558894e-09,0.26837218349901376,36.0424485030002
22,9.908285613387,-8.197448600432e-09,604351798.7331,7.908977086188001e-19,1116.385362129,2.791725935413e-08,-3.967070381189e-08,-8.162365802182e-09,-6.068799312099e-09,3.271035720278e-08,-2.036871736345e-08,-4.705242523845e-09,5.010871681789e-09,p[2],3.967070381189e-08,1.44614317052165e-07,0.27432072163076393,196.30393182599983
23,9.97584816551,2.247972960909e-09,2218854127.471,1.545647965239e-18,2181.74707631,-2.215272364822e-10,-2.44131870482e-10,-1.61242820173e-09,-5.024426959821e-09,-2.00144238339e-10,-1.026434771981e-10,-6.999027986268001e-11,4.298379994193e-11,p[4],5.024426959821e-09,7.518276063856909e-09,0.6682950874835856,67.56255212300033
24,10.4941939082,3.024449236057e-09,1734893378.783,1.072131232816e-18,1513.358303876,-3.899348127482e-12,-8.858187321528e-14,-2.9103363179170004e-11,6.683833340215001e-11,-7.585195574641e-14,-3.421786657674e-12,2.197175605428e-10,1.823932417095e-10,p[7],2.197175605428e-10,5.055380674477377e-10,0.43462119806737265,518.3457426900002
25,10.56194950597,-5.380757550787e-08,98145562.27706,1.4223714530349999e-18,2007.737097675,-5.14397908223e-13,-3.9431608282779995e-13,1.742615004436e-12,-1.307866796896e-15,1.2758500574629998e-13,-5.434793032070999e-13,-0.0003103336053888,-5.221029644461e-11,p[7],0.0003103336053888,0.00031033366092279765,0.9999998210506799,67.75559777000062
26,10.61830919196,6.372722586099e-08,83310618.40916,5.0035087332410006e-17,70626.62907818,-6.209364451670999e-14,5.49692576232e-15,-1.1175256932879999e-13,6.89766782049e-15,-2.0945515739209998e-14,-6.006149106613e-14,1.986562855365e-05,-4.820583526576e-08,p[7],1.986562855365e-05,1.9913834656163575e-05,0.9975792657041744,56.35968598999952
27,10.68604520495,-5.274129458696e-10,10130624673.36,4.437066252497e-16,626310.5535053,-1.83850563864e-11,2.2795556120180003e-11,4.8815743987970007e-11,1.375936815082e-12,2.645391700978e-09,-6.032152966321e-09,8.751286434854e-12,-2.4835091117e-12,p[6],6.032152966321e-09,8.780151756155186e-09,0.6870214927768481,67.7360129900002
28,10.76518692908,-1.442077274693e-09,3732527763.245,9.266360931242e-19,1307.985798215,-8.207709092584999e-13,1.174801303527e-12,0.003702456442471,-6.946830387594e-11,-3.652281956661e-13,1.416160876805e-12,-7.555731060462e-15,2.52794639607e-12,p[3],0.003702456442471,0.0037024565182517677,0.9999999795323005,79.14172413000031
29,10.76986161536,2.356571043085e-07,22850704.30395,2.2576419151909998e-18,3186.756467227,7.900127414726e-13,2.359746977062e-10,-4.252678737633e-09,2.1741130262519997e-13,-2.769296983988e-08,-0.0003318359543591,-2.038952085423e-13,5.807779414479e-14,p[6],0.0003318359543591,0.00033186813725177226,0.9999030250600772,4.6746862799995625
