Relative_Path,Size_kB
01_TABLES_CSV/Table_1_Primary_EM_Results.csv,0.477
01_TABLES_CSV/Table_2_Complete_Eigenmode_Spectrum.csv,5.444
01_TABLES_CSV/Table_3_EPR_Participation_Matrix.csv,5.936
01_TABLES_CSV/Table_4_Numerical_Validation.csv,0.328
01_TABLES_CSV/Table_5_Pairwise_Detuning.csv,0.374
01_TABLES_CSV/Table_6_Validation_Checklist.csv,0.402
02_GROUPED_PAPER_FIGURES/Figure_A_EM_EPR_Validation.pdf,34.642
02_GROUPED_PAPER_FIGURES/Figure_A_EM_EPR_Validation.png,610.051
02_GROUPED_PAPER_FIGURES/Figure_A_EM_EPR_Validation.svg,144.142
02_GROUPED_PAPER_FIGURES/Figure_B_Spectral_Numerical_Validation.pdf,47.26
02_GROUPED_PAPER_FIGURES/Figure_B_Spectral_Numerical_Validation.png,1018.714
02_GROUPED_PAPER_FIGURES/Figure_B_Spectral_Numerical_Validation.svg,203.241
02_GROUPED_PAPER_FIGURES/Figure_C_Paper_Validation_Dashboard.pdf,40.2
02_GROUPED_PAPER_FIGURES/Figure_C_Paper_Validation_Dashboard.png,865.943
02_GROUPED_PAPER_FIGURES/Figure_C_Paper_Validation_Dashboard.svg,175.876
03_INDIVIDUAL_PLOTS/Figure_10_Primary_EPR_Channel_Distribution.pdf,14.436
03_INDIVIDUAL_PLOTS/Figure_10_Primary_EPR_Channel_Distribution.png,305.123
03_INDIVIDUAL_PLOTS/Figure_10_Primary_EPR_Channel_Distribution.svg,42.58
03_INDIVIDUAL_PLOTS/Figure_1_Complete_Eigenmode_Spectrum.pdf,14.48
03_INDIVIDUAL_PLOTS/Figure_1_Complete_Eigenmode_Spectrum.png,173.977
03_INDIVIDUAL_PLOTS/Figure_1_Complete_Eigenmode_Spectrum.svg,37.717
03_INDIVIDUAL_PLOTS/Figure_2_Primary_Mode_Frequencies.pdf,11.252
03_INDIVIDUAL_PLOTS/Figure_2_Primary_Mode_Frequencies.png,107.179
03_INDIVIDUAL_PLOTS/Figure_2_Primary_Mode_Frequencies.svg,29.023
03_INDIVIDUAL_PLOTS/Figure_3_EPR_Heatmap.pdf,27.908
03_INDIVIDUAL_PLOTS/Figure_3_EPR_Heatmap.png,150.016
03_INDIVIDUAL_PLOTS/Figure_3_EPR_Heatmap.svg,91.267
03_INDIVIDUAL_PLOTS/Figure_4_EPR_Localization_Purity.pdf,11.855
03_INDIVIDUAL_PLOTS/Figure_4_EPR_Localization_Purity.png,114.535
03_INDIVIDUAL_PLOTS/Figure_4_EPR_Localization_Purity.svg,28.214
03_INDIVIDUAL_PLOTS/Figure_5_Primary_Mode_Q.pdf,10.478
03_INDIVIDUAL_PLOTS/Figure_5_Primary_Mode_Q.png,82.686
03_INDIVIDUAL_PLOTS/Figure_5_Primary_Mode_Q.svg,23.483
03_INDIVIDUAL_PLOTS/Figure_6_Adjacent_Mode_Spacing.pdf,12.294
03_INDIVIDUAL_PLOTS/Figure_6_Adjacent_Mode_Spacing.png,322.629
03_INDIVIDUAL_PLOTS/Figure_6_Adjacent_Mode_Spacing.svg,35.664
03_INDIVIDUAL_PLOTS/Figure_7_Numerical_Errors.pdf,13.637
03_INDIVIDUAL_PLOTS/Figure_7_Numerical_Errors.png,201.256
03_INDIVIDUAL_PLOTS/Figure_7_Numerical_Errors.svg,46.118
03_INDIVIDUAL_PLOTS/Figure_8_Imaginary_Eigenfrequency.pdf,14.203
03_INDIVIDUAL_PLOTS/Figure_8_Imaginary_Eigenfrequency.png,297.102
03_INDIVIDUAL_PLOTS/Figure_8_Imaginary_Eigenfrequency.svg,53.766
03_INDIVIDUAL_PLOTS/Figure_9_Pairwise_Detuning.pdf,44.232
03_INDIVIDUAL_PLOTS/Figure_9_Pairwise_Detuning.png,176.757
03_INDIVIDUAL_PLOTS/Figure_9_Pairwise_Detuning.svg,76.063
04_RECONSTRUCTED_DATA/PALACE_Primary_Detuning_Matrix_MHz.csv,0.251
04_RECONSTRUCTED_DATA/PALACE_Primary_Localized_Modes.csv,1.488
04_RECONSTRUCTED_DATA/PALACE_Reconstructed_All_Modes_EPR.csv,12.073
05_VALIDATION/FINAL_VALIDATION_REPORT.csv,0.402
05_VALIDATION/FINAL_VALIDATION_REPORT.json,0.478
06_LATEX_TABLES/Table_1_Primary_EM_Results.tex,0.639
06_LATEX_TABLES/Table_2_Complete_Eigenmode_Spectrum.tex,4.29
06_LATEX_TABLES/Table_3_EPR_Participation_Matrix.tex,4.597
06_LATEX_TABLES/Table_4_Numerical_Validation.tex,0.536
06_LATEX_TABLES/Table_5_Pairwise_Detuning.tex,0.517
06_LATEX_TABLES/Table_6_Validation_Checklist.tex,0.667
07_SUMMARY/FINAL_PAPER_ANALYSIS_SUMMARY.json,0.478
07_SUMMARY/FINAL_PAPER_ANALYSIS_SUMMARY.txt,2.239
09_SOURCE_METADATA/FINAL_N48_EIGENMODE_resolved.json,6.171
09_SOURCE_METADATA/domain-E.csv,12.84
09_SOURCE_METADATA/eig.csv,5.566
09_SOURCE_METADATA/palace.json,0.28
09_SOURCE_METADATA/port-EPR.csv,8.684
09_SOURCE_METADATA/port-I.csv,16.996
09_SOURCE_METADATA/port-V.csv,16.996
