Mode,JJ1,JJ2,Q1_Total_Participation,Q1_Max_JJ_Participation,Q1_Fraction_of_Total
1.0,-8.173416227917e-12,-2.43106500322e-11,3.2484066260117e-11,2.43106500322e-11,3.348701544308908e-05
2.0,-2.129313832074e-09,-1.724040066244e-09,3.853353898318e-09,2.129313832074e-09,0.13101872069745585
3.0,4.40200871762e-10,2.728288994398e-10,7.130297712017999e-10,4.40200871762e-10,0.00803510697932891
4.0,7.040644833103e-15,-5.256059546005e-15,1.2296704379107999e-14,7.040644833103e-15,1.2299474419158571e-14
5.0,1.058290957874e-09,1.259109799583e-09,2.317400757457e-09,1.259109799583e-09,0.004898861737907785
6.0,2.035269606919e-10,2.638359739101e-10,4.673629346020001e-10,2.638359739101e-10,4.424369265648215e-05
7.0,-4.951465784135e-12,6.144657099746e-12,1.1096122883881e-11,6.144657099746e-12,1.1100069187782211e-11
8.0,7.084436366571999e-14,2.121169774008e-10,2.121878217644657e-10,2.121169774008e-10,2.1223977004273046e-10
9.0,0.006188726256049,0.9936509784584,0.999839704714449,0.9936509784584,0.33402250173931164
10.0,1.906395865678e-12,1.691767553444e-10,1.71083151210078e-10,1.691767553444e-10,1.7112087244360428e-10
11.0,-3.3625302061200005e-11,-1.1287045347270001e-11,4.491234740847001e-11,3.3625302061200005e-11,4.491948548659504e-11
12.0,0.9936397530882,-0.006190667205794,0.9998304202939939,0.9936397530882,0.3340227247096453
13.0,1.432226163249e-11,-8.026900064054e-14,1.440253063313054e-11,1.432226163249e-11,1.4405585173719292e-11
14.0,-2.9692769483080003e-11,-6.503978463537e-12,3.6196747946617006e-11,2.9692769483080003e-11,9.659600912010704e-05
15.0,1.439105185371e-07,1.204609234942e-07,2.643714420313e-07,1.439105185371e-07,0.38729282193248965
16.0,-1.276242905261e-10,2.515665013352e-10,3.791907918613e-10,2.515665013352e-10,0.0046758291108797674
17.0,-1.942537992355e-08,-5.042520802045e-08,6.9850587944e-08,5.042520802045e-08,0.32069704183333236
18.0,9.149540871857e-10,1.281949460023e-09,2.1969035472087e-09,1.281949460023e-09,0.013033012703865064
19.0,-1.4625495862080002e-11,1.266074264093e-11,2.728623850301e-11,1.4625495862080002e-11,0.006041539139559831
20.0,-1.680687785266e-08,5.831651614031e-09,2.2638529466691e-08,1.680687785266e-08,0.36398101364591007
21.0,3.687388756586e-10,1.940944810379e-10,5.628333566964999e-10,3.687388756586e-10,0.2441205034554263
22.0,2.791725935413e-08,-3.967070381189e-08,6.758796316602e-08,3.967070381189e-08,0.2683414556201455
23.0,-2.215272364822e-10,-2.44131870482e-10,4.656591069642e-10,2.44131870482e-10,0.05659398551648795
24.0,-3.899348127482e-12,-8.858187321528e-14,3.98793000069728e-12,3.899348127482e-12,0.007767302559292155
25.0,-5.14397908223e-13,-3.9431608282779995e-13,9.087139910508e-13,5.14397908223e-13,2.928183762539796e-09
26.0,-6.209364451670999e-14,5.49692576232e-15,6.759057027902999e-14,6.209364451670999e-14,3.3941514030770576e-09
27.0,-1.83850563864e-11,2.2795556120180003e-11,4.1180612506580004e-11,2.2795556120180003e-11,0.004656266039661035
28.0,-8.207709092584999e-13,1.174801303527e-12,1.9955722127855e-12,1.174801303527e-12,5.389859951735465e-10
29.0,7.900127414726e-13,2.359746977062e-10,2.367647104476726e-10,2.359746977062e-10,7.134290599341853e-07
30.0,-1.006400610304e-09,0.000150258032084,0.0001502590384846103,0.000150258032084,0.33333402781488125
31.0,1.0719290817490001e-11,3.96060315956e-11,5.032532241309e-11,3.96060315956e-11,4.0785584740516415e-08
32.0,-1.4074683949e-10,-8.608395312912e-11,2.2683079261912e-10,1.4074683949e-10,1.3155695400947773e-07
33.0,3.476974175551e-11,-2.4609963899940002e-11,5.937970565545e-11,3.476974175551e-11,2.2385131611092237e-06
34.0,-1.043343051871e-09,-9.421659726026e-05,9.421764060331187e-05,9.421659726026e-05,0.333334272292118
35.0,0.0006292384657075,8.857207191053e-10,0.0006292393514282191,0.0006292384657075,0.3333334577969061
36.0,6.963406174181e-13,-3.171262393568e-14,7.280532413537799e-13,6.963406174181e-13,5.969090137990423e-09
37.0,8.201396986483e-12,-1.530985139497e-12,9.73238212598e-12,8.201396986483e-12,3.986128943351673e-08
