m,p[1],p[2],p[3],p[4],p[5],p[6],p[7],p[8],Q1_JJ_Participation,Q1_Max_JJ_Participation,Q1_fraction_of_total
9.0,0.006188726256049,0.9936509784584,1.732830852576e-12,3.1628422238800004e-11,-2.964227377325e-13,-2.1290815472330002e-12,5.282128196742e-14,-2.4125015569830002e-11,0.999839704714449,0.9936509784584,0.33402250173931164
12.0,0.9936397530882,-0.006190667205794,-4.910809042536e-12,-2.606144380085e-12,-2.7155146663850003e-11,-3.159013475926e-10,-2.462949308644e-14,-6.487664873415e-12,0.9998304202939939,0.9936397530882,0.3340227247096453
35.0,0.0006292384657075,8.857207191053e-10,-1.879597967604e-11,-3.7987201547010005e-11,3.6447506817049996e-13,-1.481215435454e-12,-3.384839472173e-14,1.222018622041e-10,0.0006292393514282191,0.0006292384657075,0.3333334577969061
30.0,-1.006400610304e-09,0.000150258032084,4.3613016680470006e-11,-5.475191076671e-12,-5.734840231766e-14,-1.3670789454240002e-11,-2.5399081825709998e-14,4.391655601049e-12,0.0001502590384846103,0.000150258032084,0.33333402781488125
34.0,-1.043343051871e-09,-9.421659726026e-05,8.254791214198e-12,-2.339074758119e-10,3.4674166383789996e-13,-1.219376178351e-12,-6.151519265855e-14,-3.357062726586e-12,9.421764060331187e-05,9.421659726026e-05,0.333334272292118
15.0,1.439105185371e-07,1.204609234942e-07,-5.237453752189e-09,-3.848718936761e-09,4.060277490816e-10,2.884981782055e-10,6.037804743853e-11,-1.193649905815e-10,2.643714420313e-07,1.439105185371e-07,0.38729282193248965
17.0,-1.942537992355e-08,-5.042520802045e-08,1.892746304735e-08,-8.483880704296e-09,-9.243141148125e-11,6.045759288566e-11,6.254694958882001e-11,-5.5480783428070004e-11,6.9850587944e-08,5.042520802045e-08,0.32069704183333236
22.0,2.791725935413e-08,-3.967070381189e-08,-8.162365802182e-09,-6.068799312099e-09,3.271035720278e-08,-2.036871736345e-08,-4.705242523845e-09,5.010871681789e-09,6.758796316602e-08,3.967070381189e-08,0.2683414556201455
20.0,-1.680687785266e-08,5.831651614031e-09,-5.3367031658670006e-11,4.213385930387e-12,-1.1062169816950001e-11,6.374966881887e-12,4.0567637318239997e-13,-3.764646977903e-11,2.2638529466691e-08,1.680687785266e-08,0.36398101364591007
2.0,-2.129313832074e-09,-1.724040066244e-09,-4.863994829750001e-11,-2.1397235455100002e-11,2.188048465584e-09,-1.201531465173e-08,-5.150792218962e-09,1.504981357756e-10,3.853353898318e-09,2.129313832074e-09,0.13101872069745585
