m,E_elec (J),E_mag (J),E_cap (J),E_ind (J),E_elec[1] (J),p_elec[1],E_mag[1] (J),p_mag[1],E_elec[2] (J),p_elec[2],E_mag[2] (J),p_mag[2]
1.0,1.667820079509e-11,1.6678188581340003e-11,3.964155818693e-18,1.617773878306e-17,1.523566237096e-11,0.9135075514529,8.015584062822e-12,0.4806027959049,1.442538424127e-12,0.08649244854711,8.66260451852e-12,0.5193972040951
2.0,1.6678204660530003e-11,1.667820436769e-11,9.905306943747e-20,3.907377241901e-19,1.5338288586710002e-11,0.9196606528644,8.078962233322e-12,0.4844024005948,1.33991607382e-12,0.08033934713559,8.599242134373001e-12,0.5155975994052
3.0,1.667820438725e-11,1.667820329813e-11,3.723390404741e-19,1.46077840387e-18,1.5311503058710002e-11,0.9180546480416,8.145156769577e-12,0.488371356553,1.366701328548e-12,0.0819453519584,8.533046528558e-12,0.511628643447
4.0,1.221584314734e-11,3.276612374888e-15,4.4621863917640005e-12,1.66742733778e-11,1.1495493775300001e-11,0.941031547037,2.517446857562e-15,0.7683078037719,7.203493720376e-13,0.05896845296304,7.591655173262e-16,0.2316921962281
5.0,1.667820262449e-11,1.667819692548e-11,2.135063631879e-18,7.829955281987e-18,1.528009051799e-11,0.9161712962736,7.87338524468e-12,0.4720765248102,1.398112106497e-12,0.0838287037264,8.804811680799e-12,0.5279234751898
6.0,1.667815496269e-11,1.6678028597030002e-11,4.9767415381560005e-17,1.7616601786560002e-16,1.5356779098690002e-11,0.9207720598018,7.834537232881e-12,0.4697519966045,1.321375864001e-12,0.07922794019822,8.843491364147e-12,0.5302480033955
7.0,1.0850640062770001e-11,2.5006995569529998e-15,5.825722733252e-12,1.667043400426e-11,9.834704505916e-12,0.9063709098285,1.7728391235e-15,0.7089372726007,1.015935556856e-12,0.09362909017152,7.278604334530001e-16,0.2910627273993
8.0,1.057755338463e-11,2.855815054124e-15,6.0999457097730004e-12,1.6673417065550003e-11,9.881750143488001e-12,0.934218886368,2.148349942173e-15,0.752272083961,6.958032411429e-13,0.065781113632,7.074651119509e-16,0.247727916039
9.0,1.053141175004e-11,2.4622259258859998e-15,6.1466690351840005e-12,1.6675407368510002e-11,9.551155021753e-12,0.906920672028,1.760959993517e-15,0.7151902573211,9.802567282908e-13,0.09307932797203,7.012659323687e-16,0.2848097426789
10.0,1.0425965088710001e-11,2.236632536058e-15,6.251375102432e-12,1.6673663896100003e-11,9.566310749622e-12,0.9175467851873,1.617963418912e-15,0.7233925970527,8.596543390888999e-13,0.08245321481268,6.186691171467e-16,0.2766074029474
