        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2]
 1.00e+00,        +1.667820079509e-11,        +1.667818858134e-11,        +3.964155818693e-18,        +1.617773878306e-17,        +1.523566237096e-11,        +9.135075514529e-01,        +8.015584062822e-12,        +4.806027959049e-01,        +1.442538424127e-12,        +8.649244854711e-02,        +8.662604518520e-12,        +5.193972040951e-01
 2.00e+00,        +1.667820466053e-11,        +1.667820436769e-11,        +9.905306943747e-20,        +3.907377241901e-19,        +1.533828858671e-11,        +9.196606528644e-01,        +8.078962233322e-12,        +4.844024005948e-01,        +1.339916073820e-12,        +8.033934713559e-02,        +8.599242134373e-12,        +5.155975994052e-01
 3.00e+00,        +1.667820438725e-11,        +1.667820329813e-11,        +3.723390404741e-19,        +1.460778403870e-18,        +1.531150305871e-11,        +9.180546480416e-01,        +8.145156769577e-12,        +4.883713565530e-01,        +1.366701328548e-12,        +8.194535195840e-02,        +8.533046528558e-12,        +5.116286434470e-01
 4.00e+00,        +1.221584314734e-11,        +3.276612374888e-15,        +4.462186391764e-12,        +1.667427337780e-11,        +1.149549377530e-11,        +9.410315470370e-01,        +2.517446857562e-15,        +7.683078037719e-01,        +7.203493720376e-13,        +5.896845296304e-02,        +7.591655173262e-16,        +2.316921962281e-01
 5.00e+00,        +1.667820262449e-11,        +1.667819692548e-11,        +2.135063631879e-18,        +7.829955281987e-18,        +1.528009051799e-11,        +9.161712962736e-01,        +7.873385244680e-12,        +4.720765248102e-01,        +1.398112106497e-12,        +8.382870372640e-02,        +8.804811680799e-12,        +5.279234751898e-01
 6.00e+00,        +1.667815496269e-11,        +1.667802859703e-11,        +4.976741538156e-17,        +1.761660178656e-16,        +1.535677909869e-11,        +9.207720598018e-01,        +7.834537232881e-12,        +4.697519966045e-01,        +1.321375864001e-12,        +7.922794019822e-02,        +8.843491364147e-12,        +5.302480033955e-01
 7.00e+00,        +1.085064006277e-11,        +2.500699556953e-15,        +5.825722733252e-12,        +1.667043400426e-11,        +9.834704505916e-12,        +9.063709098285e-01,        +1.772839123500e-15,        +7.089372726007e-01,        +1.015935556856e-12,        +9.362909017152e-02,        +7.278604334530e-16,        +2.910627273993e-01
 8.00e+00,        +1.057755338463e-11,        +2.855815054124e-15,        +6.099945709773e-12,        +1.667341706555e-11,        +9.881750143488e-12,        +9.342188863680e-01,        +2.148349942173e-15,        +7.522720839610e-01,        +6.958032411429e-13,        +6.578111363200e-02,        +7.074651119509e-16,        +2.477279160390e-01
 9.00e+00,        +1.053141175004e-11,        +2.462225925886e-15,        +6.146669035184e-12,        +1.667540736851e-11,        +9.551155021753e-12,        +9.069206720280e-01,        +1.760959993517e-15,        +7.151902573211e-01,        +9.802567282908e-13,        +9.307932797203e-02,        +7.012659323687e-16,        +2.848097426789e-01
 1.00e+01,        +1.042596508871e-11,        +2.236632536058e-15,        +6.251375102432e-12,        +1.667366389610e-11,        +9.566310749622e-12,        +9.175467851873e-01,        +1.617963418912e-15,        +7.233925970527e-01,        +8.596543390889e-13,        +8.245321481268e-02,        +6.186691171467e-16,        +2.766074029474e-01
 1.10e+01,        +1.024956044546e-11,        +2.236205300419e-15,        +6.428386789947e-12,        +1.667529697020e-11,        +9.269906977455e-12,        +9.044199531077e-01,        +1.574441470634e-15,        +7.040683922622e-01,        +9.796534680020e-13,        +9.558004689228e-02,        +6.617638297848e-16,        +2.959316077378e-01
 1.20e+01,        +1.019278480372e-11,        +2.250411498037e-15,        +6.485050038336e-12,        +1.667500662568e-11,        +9.411115840831e-12,        +9.233115406690e-01,        +1.646888593882e-15,        +7.318166456751e-01,        +7.816689628904e-13,        +7.668845933106e-02,        +6.035229041548e-16,        +2.681833543249e-01
 1.30e+01,        +9.912262697946e-12,        +2.093015079617e-15,        +6.764956931994e-12,        +1.667368341461e-11,        +9.081991817277e-12,        +9.162380068033e-01,        +1.496696036192e-15,        +7.150908996153e-01,        +8.302708806696e-13,        +8.376199319673e-02,        +5.963190434253e-16,        +2.849091003847e-01
 1.40e+01,        +1.667820178567e-11,        +1.667819850018e-11,        +2.971779910177e-18,        +6.248608282360e-18,        +1.535166148329e-11,        +9.204626302391e-01,        +8.058090203038e-12,        +4.831511150890e-01,        +1.326540302374e-12,        +7.953736976094e-02,        +8.620108297142e-12,        +5.168488849110e-01
