        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +5.570851514297e+00,        -1.338627746443e-10,        +2.080806829644e+10,        +1.717941423681e-19,        +2.424946532504e+02
 2.00e+00,        +5.666259124642e+00,        -4.351727283944e-10,        +6.510356411290e+09,        +2.592793712278e-19,        +3.659837311994e+02
 3.00e+00,        +5.681751713662e+00,        +8.430018940718e-10,        +3.369951926334e+09,        +2.113596815860e-19,        +2.983430749846e+02
 4.00e+00,        +5.821776500398e+00,        +1.849373546022e-09,        +1.573986097325e+09,        +2.266847161265e-19,        +3.199750054299e+02
 5.00e+00,        +5.876664594072e+00,        +5.582178029675e-10,        +5.263773891509e+09,        +1.861898630285e-19,        +2.628148180974e+02
 6.00e+00,        +5.981589543296e+00,        -6.852634809429e-09,        +4.364444997904e+08,        +1.664489274095e-19,        +2.349496576724e+02
 7.00e+00,        +6.652832452088e+00,        +1.861777337291e-08,        +1.786688536495e+08,        +1.223307847571e-19,        +1.726750448511e+02
 8.00e+00,        +6.807000960044e+00,        +1.829077516728e-08,        +1.860774324158e+08,        +1.367145158212e-19,        +1.929782858745e+02
 9.00e+00,        +6.832612991191e+00,        -1.696500705063e-09,        +2.013737150477e+09,        +2.269387064876e-19,        +3.203335235748e+02
 1.00e+01,        +6.890922915515e+00,        -9.118469576238e-09,        +3.778552342529e+08,        +2.731732716263e-19,        +3.855955557432e+02
 1.10e+01,        +6.987460169349e+00,        -4.224623515187e-09,        +8.269920555322e+08,        +5.311717860507e-19,        +7.497713038428e+02
 1.20e+01,        +7.018249314955e+00,        +1.689568382480e-08,        +2.076935561688e+08,        +2.607704628583e-19,        +3.680884698267e+02
 1.30e+01,        +7.168394141588e+00,        +2.496882387806e-09,        +1.435468922484e+09,        +9.163924967700e-19,        +1.293526529854e+03
 1.40e+01,        +7.761073653743e+00,        -1.497059903892e-09,        +2.592105243606e+09,        +6.132860194310e-19,        +8.656789961124e+02
 1.50e+01,        +8.091680255463e+00,        +7.363373268573e-12,        +5.494547105196e+11,        +3.474672571432e-19,        +4.904646394077e+02
 1.60e+01,        +8.723732611927e+00,        -8.605579500019e-10,        +5.068649131594e+09,        +2.792937855250e-19,        +3.942349185898e+02
 1.70e+01,        +8.791548571182e+00,        -1.210540298291e-09,        +3.631249857437e+09,        +8.439254076820e-19,        +1.191236187999e+03
 1.80e+01,        +9.193955950172e+00,        +1.169981205516e-10,        +3.929104120146e+10,        +7.402044491940e-19,        +1.044829695238e+03
 1.90e+01,        +9.277046159931e+00,        -1.710763665073e-09,        +2.711375729252e+09,        +6.029134005758e-19,        +8.510376089767e+02
 2.00e+01,        +9.675939233058e+00,        -5.204742007705e-09,        +9.295311101620e+08,        +3.465899246453e-18,        +4.892262479552e+03
 2.10e+01,        +9.711981681561e+00,        +1.384507931201e-11,        +3.507376686941e+11,        +1.807239463107e-18,        +2.550994471661e+03
 2.20e+01,        +9.908285613387e+00,        -8.197448600432e-09,        +6.043517987331e+08,        +7.908977086188e-19,        +1.116385362129e+03
 2.30e+01,        +9.975848165510e+00,        +2.247972960909e-09,        +2.218854127471e+09,        +1.545647965239e-18,        +2.181747076310e+03
 2.40e+01,        +1.049419390820e+01,        +3.024449236057e-09,        +1.734893378783e+09,        +1.072131232816e-18,        +1.513358303876e+03
 2.50e+01,        +1.056194950597e+01,        -5.380757550787e-08,        +9.814556227706e+07,        +1.422371453035e-18,        +2.007737097675e+03
 2.60e+01,        +1.061830919196e+01,        +6.372722586099e-08,        +8.331061840916e+07,        +5.003508733241e-17,        +7.062662907818e+04
 2.70e+01,        +1.068604520495e+01,        -5.274129458696e-10,        +1.013062467336e+10,        +4.437066252497e-16,        +6.263105535053e+05
 2.80e+01,        +1.076518692908e+01,        -1.442077274693e-09,        +3.732527763245e+09,        +9.266360931242e-19,        +1.307985798215e+03
 2.90e+01,        +1.076986161536e+01,        +2.356571043085e-07,        +2.285070430395e+07,        +2.257641915191e-18,        +3.186756467227e+03
 3.00e+01,        +1.077239100396e+01,        -6.463171199308e-08,        +8.333672953856e+07,        +1.085000857463e-18,        +1.531524320223e+03
 3.10e+01,        +1.079959315776e+01,        -7.096065620328e-08,        +7.609564042662e+07,        +1.153750241715e-18,        +1.628566966114e+03
 3.20e+01,        +1.080061726084e+01,        -2.590643698851e-07,        +2.084543170801e+07,        +9.051657077342e-19,        +1.277679446709e+03
 3.30e+01,        +1.080113421940e+01,        -6.070144057556e-08,        +8.896934007650e+07,        +8.739567820385e-19,        +1.233626736167e+03
 3.40e+01,        +1.080613061487e+01,        +1.345285328241e-08,        +4.016296910411e+08,        +5.580635595658e-19,        +7.877301735180e+02
 3.50e+01,        +1.080876323758e+01,        +6.376524931120e-08,        +8.475433997625e+07,        +3.422247134080e-19,        +4.830645689982e+02
 3.60e+01,        +1.082350221656e+01,        -1.718086186211e-07,        +3.149871730369e+07,        +1.801233615275e-18,        +2.542516966025e+03
 3.70e+01,        +1.083205792037e+01,        -2.063200289599e-07,        +2.625062136473e+07,        +3.777489916994e-19,        +5.332085811375e+02
