        m,                       p[1],                       p[2],                       p[3],                       p[4],                       p[5],                       p[6],                       p[7],                       p[8]
 1.00e+00,        -8.173416227917e-12,        -2.431065003220e-11,        -1.883892828771e-09,        -1.586610699660e-09,        +1.093032472149e-11,        -1.324564445674e-11,        +9.398632978377e-07,        +2.660235356812e-08
 2.00e+00,        -2.129313832074e-09,        -1.724040066244e-09,        -4.863994829750e-11,        -2.139723545510e-11,        +2.188048465584e-09,        -1.201531465173e-08,        -5.150792218962e-09,        +1.504981357756e-10
 3.00e+00,        +4.402008717620e-10,        +2.728288994398e-10,        +1.281171744232e-12,        -1.818435472377e-12,        +3.089304099632e-08,        -5.277788656365e-08,        +3.128819256729e-09,        +7.019346447083e-11
 4.00e+00,        +7.040644833103e-15,        -5.256059546005e-15,        +9.884321523189e-14,        -6.868026189561e-14,        +3.960306100011e-13,        +2.502029901495e-13,        +9.985714254427e-01,        -1.203358424759e-03
 5.00e+00,        +1.058290957874e-09,        +1.259109799583e-09,        -1.457665532296e-10,        +7.638969881558e-11,        -4.320533331706e-08,        -8.173899915310e-08,        -3.419791833186e-07,        +9.235215094840e-12
 6.00e+00,        +2.035269606919e-10,        +2.638359739101e-10,        +9.193229077038e-10,        +9.783038841649e-10,        +9.435417377675e-10,        +1.592955288216e-09,        -1.042470660671e-05,        -1.330406278068e-07
 7.00e+00,        -4.951465784135e-12,        +6.144657099746e-12,        -9.905223531757e-01,        +9.122126135383e-03,        -4.545502480803e-14,        +5.035071839995e-13,        -1.434518583967e-13,        +1.912474368243e-12
 8.00e+00,        +7.084436366572e-14,        +2.121169774008e-10,        -3.989943043679e-12,        +1.091098980570e-12,        -5.467214117805e-14,        +8.572240879766e-13,        -1.204695605612e-03,        +9.985505415273e-01
 9.00e+00,        +6.188726256049e-03,        +9.936509784584e-01,        +1.732830852576e-12,        +3.162842223880e-11,        -2.964227377325e-13,        -2.129081547233e-12,        +5.282128196742e-14,        -2.412501556983e-11
 1.00e+01,        +1.906395865678e-12,        +1.691767553444e-10,        -9.122067828740e-03,        -9.906574953578e-01,        -3.871501068687e-13,        -3.306615329768e-11,        -1.075575000705e-14,        +7.645953707382e-11
