        m,               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V),               Re{V[3]} (V),               Im{V[3]} (V),               Re{V[4]} (V),               Im{V[4]} (V),               Re{V[5]} (V),               Im{V[5]} (V),               Re{V[6]} (V),               Im{V[6]} (V),               Re{V[7]} (V),               Im{V[7]} (V),               Re{V[8]} (V),               Im{V[8]} (V)
 1.00e+00,        -8.132137749553e-05,        -8.212114223147e-06,        -1.404008645610e-04,        -1.257361990625e-05,        -1.240889854121e-03,        -2.609706025203e-06,        -1.138722604738e-03,        -1.180729020004e-05,        +9.418404472279e-05,        +7.959368985071e-06,        +1.036599367182e-04,        -9.002662339526e-06,        +2.771650323905e-02,        +4.125188478947e-06,        +4.662977431245e-03,        +1.678848850150e-05
 2.00e+00,        +1.341757816550e-03,        -1.486474022474e-05,        +1.207392413887e-03,        -6.441525581108e-06,        +1.959135971876e-04,        -5.241670380564e-05,        +1.344639544862e-04,        -3.580341298920e-06,        -1.360215088381e-03,        +3.945346019435e-06,        -3.187483233913e-03,        -5.348017458477e-06,        -2.086971200664e-03,        -5.495359837094e-06,        -3.564352335412e-04,        +1.463710320305e-05
 3.00e+00,        +6.117756859427e-04,        +6.980484971719e-08,        +4.816280891637e-04,        +3.926111545139e-07,        -3.066331680944e-05,        +1.220837418966e-05,        -3.776482862187e-05,        -1.094969473858e-05,        -5.124829091796e-03,        +4.628293374828e-05,        -6.698733313831e-03,        -3.956650570125e-06,        -1.631009901772e-03,        +2.231952533335e-06,        -2.441218517551e-04,        +9.203985968255e-06
 4.00e+00,        +2.501346945082e-06,        +1.673702481550e-07,        +2.164054996539e-06,        -9.287684383462e-08,        +9.386930539212e-06,        +3.417252346717e-07,        +6.496380090378e-06,        -4.370775556673e-06,        +1.817642103281e-05,        +4.809346608297e-06,        +1.492984841790e-05,        +6.636277034281e-07,        +2.985570489062e+01,        +4.337311706462e-07,        +1.036418755375e+00,        -2.292793706684e-06
 5.00e+00,        +9.811032937987e-04,        +3.782813946305e-06,        +1.070143302882e-03,        +5.278566122743e-06,        +3.631215132714e-04,        -2.694504807266e-05,        +2.525368780240e-04,        +7.553844943405e-05,        +6.268508164593e-03,        -6.001488186070e-05,        +8.622434329670e-03,        -7.885676070526e-06,        +1.763660301358e-02,        -2.124759294156e-05,        -9.009354732190e-05,        +1.682631917163e-05
 6.00e+00,        -3.522623774219e-04,        +2.601930771552e-04,        -4.574919055352e-04,        +1.982959094889e-04,        -8.079484730563e-04,        +4.620857935166e-04,        -9.205272147004e-04,        +2.729708911790e-04,        -9.412227621376e-04,        +5.679627878325e-05,        -1.222814547288e-03,        +7.623300709032e-05,        +9.911344662037e-02,        -1.449606616184e-04,        -1.118610409786e-02,        -4.889039377166e-04
 7.00e+00,        -7.551768550564e-05,        -8.264642886615e-06,        -8.324515252004e-05,        +1.523825835039e-05,        -3.397811311836e+01,        -1.966529670502e-05,        -3.260732363990e+00,        +1.611162447812e-05,        -5.604495019555e-06,        -4.644367073713e-06,        +1.533106572561e-05,        +1.875701780160e-05,        +1.288239953745e-05,        -1.115964291099e-06,        +1.075385385509e-06,        +4.720111353280e-05
 8.00e+00,        -8.329030163915e-06,        +4.132525961967e-06,        +5.084186316035e-04,        +1.882178464193e-05,        +6.374033910982e-05,        -2.839098589642e-05,        +8.579392314712e-06,        +3.546616453759e-05,        -5.314480283808e-06,        -6.202583932595e-06,        +3.233389940745e-05,        +7.609632757031e-07,        +1.212466650155e+00,        -3.506195518847e-06,        -3.490729245161e+01,        +9.158135939761e-05
 9.00e+00,        +2.758483302888e+00,        +2.406719447942e-06,        +3.495317692043e+01,        +1.132466986298e-05,        -4.145257590828e-05,        +2.030401486322e-05,        +1.971967006092e-04,        +1.258400003378e-06,        +1.894010867526e-05,        -2.394409610445e-06,        +5.116410779413e-05,        -7.492571065165e-08,        -8.049785065203e-06,        +3.825682878215e-07,        +1.716223993442e-04,        -1.442927676847e-05
 1.00e+01,        +4.236567380536e-05,        +2.427332576247e-05,        -4.529053350105e-04,        +8.025500128517e-05,        -3.377515091620e+00,        -3.051641272377e-05,        +3.519754837959e+01,        -7.968211921294e-05,        +1.970252903236e-05,        -9.795977850952e-06,        +1.938738854696e-04,        -6.134995740619e-05,        +1.952508098433e-06,        -3.104564815221e-06,        -3.005419935305e-04,        +7.273951320736e-05
 1.10e+01,        -2.078983536094e-04,        -4.054008778665e-06,        +1.204692201927e-04,        -9.858968783724e-07,        +1.073741014412e-05,        +9.850003110886e-06,        +1.358559470086e-04,        +4.026296369750e-05,        -5.823865315271e+00,        -2.080989738371e-06,        -3.538021976607e+01,        +3.159553866959e-05,        +2.496735777017e-05,        -5.419783086680e-07,        -6.380441900468e-05,        +5.753524217364e-07
 1.20e+01,        -3.590235769468e+01,        +5.352262516898e-05,        +2.833852353983e+00,        -1.143212003514e-06,        +7.783046755071e-05,        -1.768804939227e-05,        +2.581150765094e-05,        -5.210119695101e-05,        -1.842986566341e-04,        -3.550318052671e-05,        -6.311561962605e-04,        -1.069511956132e-04,        +5.618278975263e-06,        -6.205307833312e-07,        -9.127844140350e-05,        -9.178212290380e-06
 1.30e+01,        -1.324918079036e-04,        +4.275426523327e-05,        +4.413504315580e-06,        -9.441783681752e-06,        +1.686614856952e-05,        -1.995094310293e-05,        -1.757035414078e-05,        -1.733015948200e-06,        +3.629441497866e+01,        +6.249309388604e-05,        -5.975519034406e+00,        +5.626480559608e-06,        -1.615720938368e-05,        -5.149775240068e-07,        -8.585574492025e-06,        +7.754429244467e-06
 1.40e+01,        -2.144255436036e-04,        -3.356023016698e-05,        -9.999080780027e-05,        -1.788150777658e-05,        +1.463442690440e-02,        -6.657445800466e-05,        +1.946349560388e-02,        -8.328839397593e-06,        +4.756505577516e-04,        -2.038659707079e-05,        +3.059905371325e-04,        -2.247828411157e-05,        +5.202203972411e-04,        -3.305546232263e-06,        +8.402727567931e-04,        +4.952786409707e-05
 1.50e+01,        +1.575322566784e-02,        +1.699109814061e-06,        +1.441272999685e-02,        +8.257107983101e-06,        +3.005248434889e-03,        -1.107458447382e-05,        +2.576204522381e-03,        -5.495149478431e-06,        +8.366103673660e-04,        +1.584150150331e-05,        +7.053314766749e-04,        +1.853788807171e-06,        +3.226719032700e-04,        +8.784214365894e-07,        +4.532934161379e-04,        -1.902812600277e-05
 1.60e+01,        +5.056992325673e-04,        -8.492766227780e-06,        +7.097267061308e-04,        +2.270473962917e-05,        -7.023997606498e-04,        -1.866096174243e-05,        -5.741717704760e-04,        +2.216567189274e-05,        +6.747885136640e-03,        +1.248543100593e-05,        +4.015919739710e-03,        -5.210417337683e-05,        -3.796242065252e-03,        -1.617679795473e-05,        -9.144401450923e-03,        +1.801184839562e-05
 1.70e+01,        +6.288258040095e-03,        -2.798346653157e-05,        +1.013147234205e-02,        -2.362069594613e-05,        -6.207179070057e-03,        +1.798630954925e-05,        -4.155726069045e-03,        -4.530908012546e-06,        +4.329870479736e-04,        -2.605341093238e-05,        +3.472914832897e-04,        +4.958007129616e-05,        -3.568025266006e-04,        +3.831617839265e-06,        -3.324037004657e-04,        -4.946082340530e-05
 1.80e+01,        -1.427156383876e-03,        +1.186924561253e-05,        -1.689354420435e-03,        +4.603063151315e-06,        +1.075443187812e-02,        +4.630367984417e-05,        +9.048954167795e-03,        -3.783780032826e-07,        -1.559375066172e-03,        -7.095078813544e-07,        -1.163005041097e-03,        -3.503349876245e-06,        +8.361302241553e-03,        +1.554178200308e-06,        +9.559888871555e-03,        -2.095196208097e-05
 1.90e+01,        -1.820397055953e-04,        -3.568064710345e-06,        -1.693897921050e-04,        +2.198846787944e-06,        +6.794261180938e-04,        -2.904817635237e-06,        +5.788157461038e-04,        +2.508705056290e-06,        -1.027159218548e-04,        -5.163728187583e-06,        -4.879797505368e-05,        -2.884782728882e-05,        -2.371784152774e-03,        +3.017740106981e-06,        -1.909077685698e-03,        -5.507075891326e-06
 2.00e+01,        +6.431446685843e-03,        -2.804430967122e-04,        +3.790538140320e-03,        +1.068750828679e-04,        +3.088883512056e-04,        -1.902094541672e-04,        +1.007622128773e-04,        +1.537147234277e-05,        -1.559108097049e-04,        -5.448629877308e-05,        -1.191294351148e-04,        +3.908296618613e-05,        -2.803943006801e-05,        +1.463219936570e-05,        -1.749413168965e-05,        -3.041744115377e-04
 2.10e+01,        -9.452090229332e-04,        +1.503234407698e-04,        -6.942492266328e-04,        +1.361903963935e-05,        +1.155395707070e-04,        +1.640158461733e-04,        +2.002342384118e-04,        +3.568267006531e-05,        +9.275109171921e-04,        +1.152985237744e-04,        +6.882020512770e-04,        +1.820169386854e-04,        +2.948525342305e-04,        +1.770600273682e-05,        +6.785136491144e-04,        +7.401065234779e-05
