        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2]
 1.00e+00,        +1.667820079509e-11,        +1.667818858137e-11,        +3.964155842728e-18,        +1.617773888117e-17,        +1.523566237096e-11,        +9.135075514529e-01,        +8.015584062838e-12,        +4.806027959051e-01,        +1.442538424127e-12,        +8.649244854709e-02,        +8.662604518530e-12,        +5.193972040949e-01
 2.00e+00,        +1.667820466053e-11,        +1.667820436751e-11,        +9.905307994955e-20,        +3.907377656532e-19,        +1.533828858659e-11,        +9.196606528575e-01,        +8.078962233549e-12,        +4.844024006136e-01,        +1.339916073936e-12,        +8.033934714252e-02,        +8.599242133966e-12,        +5.155975993864e-01
 3.00e+00,        +1.667820438725e-11,        +1.667820329796e-11,        +3.723390862045e-19,        +1.460778583267e-18,        +1.531150305888e-11,        +9.180546480523e-01,        +8.145156769128e-12,        +4.883713565312e-01,        +1.366701328369e-12,        +8.194535194771e-02,        +8.533046528834e-12,        +5.116286434689e-01
 4.00e+00,        +1.221584314734e-11,        +3.276612373481e-15,        +4.462186391765e-12,        +1.667427337781e-11,        +1.149549377530e-11,        +9.410315470372e-01,        +2.517446856739e-15,        +7.683078038505e-01,        +7.203493720377e-13,        +5.896845296305e-02,        +7.591655167424e-16,        +2.316921961495e-01
 5.00e+00,        +1.667820262449e-11,        +1.667819692575e-11,        +2.135063003941e-18,        +7.829952979265e-18,        +1.528009051799e-11,        +9.161712962737e-01,        +7.873385244787e-12,        +4.720765248089e-01,        +1.398112106496e-12,        +8.382870372631e-02,        +8.804811680963e-12,        +5.279234751911e-01
 6.00e+00,        +1.667815496269e-11,        +1.667802859664e-11,        +4.976741410211e-17,        +1.761660133325e-16,        +1.535677909869e-11,        +9.207720598020e-01,        +7.834537232710e-12,        +4.697519966050e-01,        +1.321375863998e-12,        +7.922794019803e-02,        +8.843491363934e-12,        +5.302480033950e-01
 7.00e+00,        +1.085064006274e-11,        +2.500699453815e-15,        +5.825722733289e-12,        +1.667043400428e-11,        +9.834704505887e-12,        +9.063709098287e-01,        +1.772839077047e-15,        +7.089372832639e-01,        +1.015935556853e-12,        +9.362909017151e-02,        +7.278603767677e-16,        +2.910627167360e-01
 8.00e+00,        +1.057755338461e-11,        +2.855814986501e-15,        +6.099945709809e-12,        +1.667341706495e-11,        +9.881750143471e-12,        +9.342188863686e-01,        +2.148349904356e-15,        +7.522720885320e-01,        +6.958032411415e-13,        +6.578111363201e-02,        +7.074650821447e-16,        +2.477279114680e-01
 9.00e+00,        +1.053141175004e-11,        +2.462225922926e-15,        +6.146669034309e-12,        +1.667540736866e-11,        +9.551155021941e-12,        +9.069206720458e-01,        +1.760959991908e-15,        +7.151902575274e-01,        +9.802567281072e-13,        +9.307932795459e-02,        +7.012659310180e-16,        +2.848097424726e-01
 1.00e+01,        +1.042596508870e-11,        +2.236632511454e-15,        +6.251375103210e-12,        +1.667366390357e-11,        +9.566310749556e-12,        +9.175467851817e-01,        +1.617963406868e-15,        +7.233925996258e-01,        +8.596543391500e-13,        +8.245321481860e-02,        +6.186691045860e-16,        +2.766074003743e-01
 1.10e+01,        +1.024956044545e-11,        +2.236205294670e-15,        +6.428386791565e-12,        +1.667529697671e-11,        +9.269906977562e-12,        +9.044199531185e-01,        +1.574441467870e-15,        +7.040683928361e-01,        +9.796534678961e-13,        +9.558004688198e-02,        +6.617638268002e-16,        +2.959316071639e-01
 1.20e+01,        +1.019278480371e-11,        +2.250411479935e-15,        +6.485050037931e-12,        +1.667500663830e-11,        +9.411115840747e-12,        +9.233115406614e-01,        +1.646888584338e-15,        +7.318166473205e-01,        +7.816689629699e-13,        +7.668845933891e-02,        +6.035228955975e-16,        +2.681833526795e-01
 1.30e+01,        +9.912262697941e-12,        +2.093015067445e-15,        +6.764956936200e-12,        +1.667368342833e-11,        +9.081991817222e-12,        +9.162380067982e-01,        +1.496696030309e-15,        +7.150909009635e-01,        +8.302708807249e-13,        +8.376199320235e-02,        +5.963190371354e-16,        +2.849090990365e-01
 1.40e+01,        +1.667820178567e-11,        +1.667819850012e-11,        +2.971777354676e-18,        +6.248602909015e-18,        +1.535166148330e-11,        +9.204626302391e-01,        +8.058090203010e-12,        +4.831511150891e-01,        +1.326540302375e-12,        +7.953736976098e-02,        +8.620108297112e-12,        +5.168488849110e-01
 1.50e+01,        +1.667820239362e-11,        +1.667820018221e-11,        +2.365269910390e-18,        +4.575236499722e-18,        +1.488324152055e-11,        +8.923768383003e-01,        +7.886971459561e-12,        +4.728910418029e-01,        +1.794960873069e-12,        +1.076231616997e-01,        +8.791228722645e-12,        +5.271089581971e-01
 1.60e+01,        +1.667820391249e-11,        +1.667820336297e-11,        +7.980667845513e-19,        +1.328142922590e-18,        +1.537461876706e-11,        +9.218389970369e-01,        +8.306962871251e-12,        +4.980730052551e-01,        +1.303585145424e-12,        +7.816100296315e-02,        +8.371240491720e-12,        +5.019269947449e-01
 1.70e+01,        +1.667820373455e-11,        +1.667820308323e-11,        +9.942612952510e-19,        +1.629221158058e-18,        +1.512594107952e-11,        +9.069286669150e-01,        +8.179672357781e-12,        +4.904408656594e-01,        +1.552262655038e-12,        +9.307133308499e-02,        +8.498530725446e-12,        +5.095591343406e-01
 1.80e+01,        +1.667820288377e-11,        +1.667820195509e-11,        +1.838279794605e-18,        +2.754336795943e-18,        +1.503474186003e-11,        +9.014605449283e-01,        +8.134899342514e-12,        +4.877563759222e-01,        +1.643461023742e-12,        +9.853945507168e-02,        +8.543302612579e-12,        +5.122436240779e-01
 1.90e+01,        +1.667820470077e-11,        +1.667820466189e-11,        +5.041216440487e-20,        +7.418672108307e-20,        +1.560647612134e-11,        +9.357407707449e-01,        +8.320350373412e-12,        +4.988756609053e-01,        +1.071728579431e-12,        +6.425922925514e-02,        +8.357854288474e-12,        +5.011243390947e-01
 2.00e+01,        +1.667820409103e-11,        +1.667820392422e-11,        +2.821201756519e-19,        +3.816437448327e-19,        +1.530928507378e-11,        +9.179216773113e-01,        +8.253974411097e-12,        +4.948958801918e-01,        +1.368919017252e-12,        +8.207832268869e-02,        +8.424229513128e-12,        +5.051041198083e-01
 2.10e+01,        +1.667820441755e-11,        +1.667820433088e-11,        +1.724285340845e-20,        +2.315280929615e-20,        +1.537730205752e-11,        +9.219998551727e-01,        +8.168103390508e-12,        +4.897471711258e-01,        +1.300902360029e-12,        +7.800014482735e-02,        +8.510100940374e-12,        +5.102528288742e-01
 2.20e+01,        +1.667820277914e-11,        +1.667820215496e-11,        +1.856885515972e-18,        +2.395512066095e-18,        +1.503489483550e-11,        +9.014697227632e-01,        +8.071489201925e-12,        +4.839543931013e-01,        +1.643307943639e-12,        +9.853027723675e-02,        +8.606712953037e-12,        +5.160456068987e-01
 2.30e+01,        +1.667820167508e-11,        +1.667820133911e-11,        +9.852013567778e-20,        +1.253821197645e-19,        +1.525970522343e-11,        +9.149490766878e-01,        +8.226913083780e-12,        +4.932734002009e-01,        +1.418496451654e-12,        +8.505092331223e-02,        +8.451288255334e-12,        +5.067265997991e-01
 2.40e+01,        +1.667820252072e-11,        +1.667820226271e-11,        +7.826966969389e-21,        +9.001307522537e-21,        +1.509176975225e-11,        +9.048798714071e-01,        +8.177358101723e-12,        +4.903021304644e-01,        +1.586432768469e-12,        +9.512012859290e-02,        +8.500844160986e-12,        +5.096978695356e-01
 2.50e+01,        +1.988603985230e-12,        +6.658627231932e-16,        +5.437118247332e-16,        +6.172923503999e-16,        +1.877817021000e-12,        +9.442890766323e-01,        +6.574315534100e-16,        +9.873379759979e-01,        +1.107869642305e-13,        +5.571092336803e-02,        +8.431169783453e-18,        +1.266202400252e-02
 2.60e+01,        +1.831404603131e-12,        +6.418539165633e-16,        +3.246736185589e-17,        +3.647090238166e-17,        +1.729207582655e-12,        +9.441974644482e-01,        +6.264757440024e-16,        +9.760410084537e-01,        +1.021970204768e-13,        +5.580253555225e-02,        +1.537817256095e-17,        +2.395899154637e-02
 2.70e+01,        +1.667794991523e-11,        +1.667791975992e-11,        +1.358987518517e-19,        +1.507272310385e-19,        +1.530887874797e-11,        +9.179113035941e-01,        +8.123893231284e-12,        +4.871047077951e-01,        +1.369071167266e-12,        +8.208869640597e-02,        +8.554026528632e-12,        +5.128952922049e-01
 2.80e+01,        +1.417436158522e-12,        +2.177889438905e-16,        +4.818362512010e-15,        +5.265826422366e-15,        +1.281108796989e-12,        +9.038211627994e-01,        +2.101259453005e-16,        +9.648145656385e-01,        +1.363273615336e-13,        +9.617883720121e-02,        +7.662998589940e-18,        +3.518543436160e-02
 2.90e+01,        +1.404159786489e-12,        +2.002492802317e-16,        +4.269063436023e-16,        +4.661466987597e-16,        +1.270355370938e-12,        +9.047085546544e-01,        +1.913913003468e-16,        +9.557652348380e-01,        +1.338044155515e-13,        +9.529144534620e-02,        +8.857979884935e-18,        +4.423476516213e-02
 3.00e+01,        +1.397002027125e-12,        +2.153083351560e-16,        +1.923548346659e-16,        +2.099370503614e-16,        +1.263696273112e-12,        +9.045772651549e-01,        +2.083501820908e-16,        +9.676828439543e-01,        +1.333057540135e-13,        +9.542273484590e-02,        +6.958153065192e-18,        +3.231715604578e-02
