        m,               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A),               Re{I[3]} (A),               Im{I[3]} (A),               Re{I[4]} (A),               Im{I[4]} (A),               Re{I[5]} (A),               Im{I[5]} (A),               Re{I[6]} (A),               Im{I[6]} (A),               Re{I[7]} (A),               Im{I[7]} (A),               Re{I[8]} (A),               Im{I[8]} (A)
 1.00e+00,        -8.856287608319e-09,        +8.769989136135e-08,        -1.355985297858e-08,        +1.514131959502e-07,        -2.814381917392e-09,        +1.338218732793e-06,        -1.273345398371e-08,        +1.228037953992e-06,        +8.583697734991e-09,        -1.015713622708e-07,        -9.708805465283e-09,        -1.117904412134e-07,        +4.448559952012e-09,        -2.989043670234e-05,        +1.810535299065e-08,        -5.028716407735e-06
 2.00e+00,        -1.558372325545e-08,        -1.406682333583e-06,        -6.753154894252e-09,        -1.265815186803e-06,        -5.495218474023e-08,        -2.053929500209e-07,        -3.753557729788e-09,        -1.409700861022e-07,        +4.136166313367e-09,        +1.426034036008e-06,        -5.606681263478e-09,        +3.341718357446e-06,        -5.761138427070e-09,        +2.187955386678e-06,        +1.534509358847e-08,        +3.736815570364e-07
 3.00e+00,        +7.286395373349e-11,        -6.384397801668e-07,        +4.097005103949e-10,        -5.026196927761e-07,        +1.274063532405e-08,        +3.199988386902e-08,        -1.142691005753e-08,        +3.941079631451e-08,        +4.829966055594e-08,        +5.348195081633e-06,        -4.129040039879e-09,        +6.990696924576e-06,        +2.329795853965e-09,        +1.702097580007e-06,        +9.605215323331e-09,        +2.547614831211e-07
 4.00e+00,        +1.675874743140e-10,        -2.504135960990e-09,        -9.296434700092e-11,        -2.166455451549e-09,        +3.420751514046e-10,        -9.397382064079e-09,        -4.375521613274e-09,        -6.503577987718e-09,        +4.814672192204e-09,        -1.819641901656e-08,        +6.643550405733e-10,        -1.494628048364e-08,        +4.390291702205e-10,        -2.988855424567e-02,        -2.295177348159e-09,        -1.037559096439e-03
 5.00e+00,        +3.725195188308e-09,        -9.662729483526e-07,        +5.198616182479e-09,        -1.053967480480e-06,        -2.653698949175e-08,        -3.576308810315e-07,        +7.439586825577e-08,        -2.487187458540e-07,        -5.910836585578e-08,        -6.173758002931e-06,        -7.766452857475e-09,        -8.492104026284e-06,        -2.092574404792e-08,        -1.737001817005e-05,        +1.657229836655e-08,        +8.873103383670e-08
 6.00e+00,        +2.483638689214e-07,        +3.362480927135e-07,        +1.892809839982e-07,        +4.366938625541e-07,        +4.410786930867e-07,        +7.712184568286e-07,        +2.605611697786e-07,        +8.786791758479e-07,        +5.421434806733e-08,        +8.984338731228e-07,        +7.276715479735e-08,        +1.167224009076e-06,        -1.383711225340e-07,        -9.460764572876e-05,        -4.666770410865e-07,        +1.067757237906e-05
 7.00e+00,        -6.430673154101e-09,        +5.876233842036e-08,        +1.185688475819e-08,        +6.477650254457e-08,        -1.530564157980e-08,        +2.643954000451e-02,        +1.253573863231e-08,        +2.537288150670e-03,        -3.613941982094e-09,        +4.361020672663e-09,        +1.459575712376e-08,        -1.192994251375e-08,        -8.684526649657e-10,        -1.002411468030e-08,        +3.673062190530e-08,        -8.390552417345e-10
 8.00e+00,        +3.051232380018e-09,        +6.202607056632e-09,        +1.399109666630e-08,        -3.768351236352e-07,        -2.095335789512e-08,        -4.718293654611e-08,        +2.629142529600e-08,        -6.430130782067e-09,        -4.605366875707e-09,        +3.939160149354e-09,        +5.526390328219e-10,        -2.397275078371e-08,        -2.596613387951e-09,        -8.988704549432e-04,        +6.783523273297e-08,        +2.587876030350e-02
 9.00e+00,        +1.845873077267e-09,        -2.028493366744e-03,        +7.853485937980e-09,        -2.570335703481e-02,        +1.437526490091e-08,        +3.007995738195e-08,        +1.000883294936e-09,        -1.442935974005e-07,        -1.707139584522e-09,        -1.392627828550e-08,        +4.039462230225e-11,        -3.761640415223e-08,        +2.735119617478e-10,        +5.955811638768e-09,        -1.050499530569e-08,        -1.270747191441e-07
 1.00e+01,        +1.745530942142e-08,        -3.034941981030e-08,        +5.780774718505e-08,        +3.267967754744e-07,        -2.171259040319e-08,        +2.438047234757e-03,        -5.716928215778e-08,        -2.540722414315e-02,        -7.123665457299e-09,        -1.420517201009e-08,        -4.441051677800e-08,        -1.399205019679e-07,        -2.240927876792e-09,        -1.420272071155e-09,        +5.254894305115e-08,        +2.171217288580e-07
