        m,               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V),               Re{V[3]} (V),               Im{V[3]} (V),               Re{V[4]} (V),               Im{V[4]} (V),               Re{V[5]} (V),               Im{V[5]} (V),               Re{V[6]} (V),               Im{V[6]} (V),               Re{V[7]} (V),               Im{V[7]} (V),               Re{V[8]} (V),               Im{V[8]} (V)
 1.00e+00,        -8.132147256255e-05,        -8.212169234948e-06,        -1.404009043676e-04,        -1.257364399012e-05,        -1.240889997379e-03,        -2.609691737618e-06,        -1.138722673781e-03,        -1.180734904786e-05,        +9.418407049115e-05,        +7.959404840824e-06,        +1.036599151581e-04,        -9.002683412764e-06,        +2.771650329823e-02,        +4.125015897566e-06,        +4.662977536557e-03,        +1.678854949088e-05
 2.00e+00,        +1.341757678904e-03,        -1.486446502151e-05,        +1.207392178333e-03,        -6.441466719151e-06,        +1.959131506126e-04,        -5.241589667225e-05,        +1.344636887859e-04,        -3.580314323224e-06,        -1.360216214075e-03,        +3.945263816635e-06,        -3.187483172137e-03,        -5.347907952521e-06,        -2.086971501020e-03,        -5.495236230103e-06,        -3.564344889023e-04,        +1.463684917645e-05
 3.00e+00,        +6.117756047475e-04,        +6.982082060732e-08,        +4.816279875696e-04,        +3.925895367089e-07,        -3.066342185117e-05,        +1.220852791818e-05,        -3.776482057962e-05,        -1.094966984829e-05,        -5.124829908811e-03,        +4.628244505377e-05,        -6.698733336325e-03,        -3.956592377066e-06,        -1.631010173076e-03,        +2.232492886213e-06,        -2.441214743261e-04,        +9.204057447088e-06
 4.00e+00,        +2.501383761918e-06,        +1.674032853968e-07,        +2.164074384077e-06,        -9.286217347938e-08,        +9.387053764577e-06,        +3.416991898239e-07,        +6.496430156457e-06,        -4.370712646544e-06,        +1.817642003555e-05,        +4.809380572042e-06,        +1.492985360430e-05,        +6.636248736196e-07,        +2.985570489062e+01,        +4.385466502241e-07,        +1.036418755328e+00,        -2.292654807424e-06
 5.00e+00,        +9.811025528123e-04,        +3.782366582034e-06,        +1.070142952302e-03,        +5.278400493791e-06,        +3.631195211899e-04,        -2.694425853347e-05,        +2.525358874071e-04,        +7.553763808545e-05,        +6.268508031243e-03,        -6.001551500799e-05,        +8.622434223311e-03,        -7.885646325663e-06,        +1.763659967723e-02,        -2.124689606588e-05,        -9.009280862025e-05,        +1.682663709163e-05
 6.00e+00,        -3.522623007325e-04,        +2.601924881686e-04,        -4.574919176424e-04,        +1.982957118657e-04,        -8.079486363103e-04,        +4.620855808487e-04,        -9.205272975441e-04,        +2.729706997207e-04,        -9.412228353423e-04,        +5.679636969475e-05,        -1.222814415360e-03,        +7.623277550755e-05,        +9.911344532055e-02,        -1.449612088069e-04,        -1.118610423075e-02,        -4.889030800607e-04
 7.00e+00,        -7.551694854028e-05,        -8.264218659640e-06,        -8.324590104438e-05,        +1.523757869755e-05,        -3.397811311841e+01,        -1.966966221271e-05,        -3.260732364586e+00,        +1.610999076379e-05,        -5.604456571567e-06,        -4.644367089973e-06,        +1.533146704365e-05,        +1.875737197075e-05,        +1.288224010179e-05,        -1.116070207090e-06,        +1.078290844371e-06,        +4.720343946207e-05
 8.00e+00,        -8.366560683331e-06,        +4.115740467401e-06,        +5.083046371822e-04,        +1.887228357628e-05,        +6.364402874897e-05,        -2.826352511911e-05,        +8.673462448729e-06,        +3.546392721349e-05,        -5.313446770047e-06,        -6.212078418446e-06,        +3.233631799452e-05,        +7.454426762595e-07,        +1.212466651373e+00,        -3.502514875291e-06,        -3.490729245167e+01,        +9.150145832976e-05
 9.00e+00,        +2.758483547092e+00,        +2.510144029622e-06,        +3.495317689865e+01,        +1.067970549098e-05,        -4.090477637032e-05,        +1.954846506493e-05,        +1.962202691443e-04,        +1.361069327069e-06,        +1.893790246129e-05,        -2.321484769778e-06,        +5.115335039089e-05,        +5.493136080133e-08,        -8.099118628861e-06,        +3.719402088187e-07,        +1.728048648111e-04,        -1.428540866245e-05
 1.00e+01,        +4.204415113700e-05,        +2.418147272813e-05,        -4.527234162963e-04,        +8.008316714879e-05,        -3.377515190009e+00,        -3.007923835754e-05,        +3.519754837236e+01,        -7.919867840832e-05,        +1.967893958607e-05,        -9.868671922169e-06,        +1.938369421449e-04,        -6.152349834550e-05,        +1.967554371337e-06,        -3.104438599745e-06,        -3.007865995558e-04,        +7.279795520117e-05
